COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7064 
 NOMBRE    : FINCA MORELIA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TILA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.38333333 ° 
 LONGITUD  : -92.55 ° 
 ALTITUD   : 653 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1954						30.5	35.5	61	64	58.5	27.5	40	317	45.3	7
1955	22	84	20.5	14	33.5	47.5	34	36	37	199	18	28	573.5	47.8	12
1956	9.5	11.5	53.5	3	77	41	49.5	23.5	49.5	74	150	18	560	46.7	12
1957	35	34	19.5	11	16	53	47.5	180	41.5	41	76	56.5	611	50.9	12
1958	57	14.5	12	28	39.5	93	54.5	28	36	42	49	57	510.5	42.5	12
1959	44	66.5	82	81.5	13.5	96.5	43	44	29	66	106	30.5	702.5	58.5	12
1960	23.5	12.5	23	35.5	78	95.5	99	66	89	66	44.5	24.3	656.8	54.7	12
1961	50.1	41	51	29.5	54.3	37.5	58	91.3	55.5	218	37	18	741.2	61.8	12
1962	26.2	1.5	25.4	68.4	27.3	76.2	61	33.7	62.2	53.9	14.5	13.5	463.8	38.6	12
1963	23	84.6	148.3	17.7	46.5	17	71.2	65	152.6	26.2	160.2	35.5	847.8	70.7	12
1964	44.4	42.6	71	35.8	29	48.5	62.5	97	51.5	41	78	97	698.3	58.2	12
1965	30.5	34	77	16.5	55	51.5	50	50	57	46.5	29.5	48	545.5	45.5	12
1966	47.5	37	45	47.5	72	76.5	37	42	79	72.5	40	49	645	53.8	12
1967	75	28	14.5	33.5	38	92.5							281.5	46.9	6
1968			20.5	33.5	87.2	35.5	57.4	43.2	44.5	65.6	38.3	114.1	539.8	54	10
1969	48.6	77.4	62.7	99.4	43	52.2	72	55.6	78.4	73.8	134.8	16.5	814.4	67.9	12
1970	17	16.3	16.3	4.3	94.3	42.9	78.8	85.3	81.7	61.4	78	13.4	589.7	49.1	12
1971	29.2	29.4	76.6	31.7	26.7	94.3	34	57.2	68.6	77.7	76.4	18.5	620.3	51.7	12
1972	99.8	89.8	26.6	19.5	19.5	81.4	54.2	45.8	74.3	44.4	94.6	44.7	694.6	57.9	12
1973	44.4	39	7.1	38.5	61.7	57.7	35.5	78.3	43	54.5	64.4	47.3	571.4	47.6	12
1974	51.4	69.8	17.7	84.8	44.4	55.4	37.4	52	80	84.8	92	40.7	710.4	59.2	12
1975	68.3	35.5	25.1	4.5	29.5	66	98	62	72	74	84	16	634.9	52.9	12
1976	85	46	4	32.5	20.4	41	56.5	84	53	57.5	55	43	577.9	48.2	12
1977	65.3	14.1	12.5	12	20	71.4	47	60	33.2	54	57.7		447.2	40.7	11
MÍNIMA	9.5	1.5	4	3	13.5	17	34	23.5	29	26.2	14.5	13.4	281.5	38.6	6
MÁXIMA	99.8	89.8	148.3	99.4	94.3	96.5	99	180	152.6	218	160.2	114.1	847.8	70.7	12
MEDIA	45.3	41.3	39.6	34	44.6	60.6	55.4	62.6	62.3	71.8	69.8	39.5	598.1	52.1	11.4
DESV.ST	23	26.5	34.2	26.5	23.9	23.2	18.6	32.4	26.3	45.5	40	25.8	134.7	8	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1954						166.51	201.59	385.51	391.52	267.51	61	108.5	1582.14	226	7
1955	33.53	176.54	51.01	22	73.02	167.54	292.53	342.02	342.02	849.01	83.52	107	2539.74	211.6	12
1956	41	26.51	126.5	6.21	379.51	377	244.54	149.52	429.03	364.03	239.54	69.55	2452.94	204.4	12
1957	70.51	80.03	47.04	23.01	75	349.01	201.05	409.02	402.02	123.01	179.01	108.05	2066.76	172.2	12
1958	112.09	40.02	39	36.55	207	442.51	433.52	178.03	322.53	239.53	152.03	242.54	2445.35	203.8	12
1959	96.54	81.02	172.51	205.03	54.5	333.3	232.1	225.81	180.51	398.71	482.51	77.21	2539.75	211.6	12
1960	69.03	41.56	31.12	77.5	155	467	393.52	366.03	462.52	296.6	206.24	55.84	2621.96	218.5	12
1961	176.24	94.17	173.72	100.63	169	213.6	303.6	370.9	265.81	616.34	92.54	72.23	2648.78	220.7	12
1962	114.54	1.52	75.44	208.33	96.82	268.2	232.91	229.03	372.61	337.13	44.2	41.5	2022.23	168.5	12
1963	118.52	159.12	234.1	38.4	126.9	141.31	362.2	405.8	627.2	161.22	290.6	144.9	2810.27	234.2	12
1964	119.4	171.11	128.7	56.9	123.5	344.7	417.3	322.5	333	147.5	335.31	379.92	2879.84	240	12
1965	95.13	94.51	119.04	28.51	77.5	318.51	179.01	264.51	389.02	353.06	106.5	179	2204.3	183.7	12
1966	152	102	119.52	132.2	142	452.01	236.52	225.1	553.5	451.03	142.61	131.07	2839.56	236.6	12
1967	233.57	113.05	24.5	87.5	71.51	397.52							927.65	154.6	6
1968			61.61	66.72	261.11	226.23	233.52	333.33	447.21	459.1	153.3	290.12	2532.25	253.2	10
1969	246.9	254.1	211.2	133.5	164.5	179.7	449	452.2	660.4	341.5	400	24.4	3517.4	293.1	12
