COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7066 
 NOMBRE    : FINCA SAN ENRIQUE 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPACHULA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.13333333 ° 
 LONGITUD  : -92.3 ° 
 ALTITUD   : 570 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	17	35	57	76	88	83	80	72	91	72	89	43	803	66.9	12
1962	0	0.6	23	72	62	95	77	81	81	81	63	43	678.6	56.5	12
1963	14	70	42	52	40	81	54	92	94	130	99	0	768	64	12
1964	0	8	25	72	70	92	96	70	112	86	31	21	683	56.9	12
1965	47	34	9	178	49	81	45	170	83	99	75	12	882	73.5	12
1966	7	15	10	50.5	67	72	72	84	47.5	80	75.5	100	680.5	56.7	12
1967	8.5	3.5	88	66	87	71	68	83	74	48	58	22	677	56.4	12
1968		27	29	29	83	94	92	61	84	82	53	37	671	61	11
1969	22	14	70	52	40	81	54	92	95	85	50	26	681	56.8	12
1970	12	37	0	30	65	0.01	82	74	94	176	67	8	645.01	53.8	12
1971	18.7	66	26	32	43	89	85	86	96	87	63	45	736.7	61.4	12
1972	47	15	88	67	93	72	158	64	73	47	64	2	790	65.8	12
1973	0	6	2	86	79.5	150.5	84.5	86	94	87	75	5.5	756	63	12
1974	24	48	41	98	58	77	90	98	96	48	52	13	743	61.9	12
1975	15.5	61	70	47.5	47.5	92.5	79.5	98	68	86.5	80	80	826	68.8	12
1976	9	0.2	9.5	94	80	88							280.7	46.8	6
1978	18	3	27	43	88	55	68	85	96	91	53	33	660	55	12
MÍNIMA	0	0.2	0	29	40	0.01	45	61	47.5	47	31	0	280.7	46.8	6
MÁXIMA	47	70	88	178	93	150.5	158	170	112	176	99	100	882	73.5	12
MEDIA	16.2	26.1	36.3	67.4	67.1	80.8	80.3	87.2	86.2	86.6	65.5	30.7	703.6	60.3	11.6
DESV.ST	14.2	23.7	28.8	35.5	18.4	28.6	25.3	24.7	15.1	31.5	16.7	27.8	127.9	6.4	1.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	25	67.02	77.02	360.21	355.52	611.52	434.71	509.73	725.5	438.03	396.02	81.04	4081.32	340.1	12
1962	0	1.2	61.82	327.01	288.64	755.9	453.01	628.61	595.2	652.1	235.52	81.03	4080.04	340	12
1963	22.01	137.01	157.55	199.03	247.52	787.11	416.76	598.52	809.04	650.04	565.52	0	4590.11	382.5	12
1964	0	18.01	44.03	285.82	423.03	518.01	666.5	547.2	905.5	532.85	174.52	41.43	4156.9	346.4	12
1965	94.01	34	16.01	267.01	287.01	592.7	226.4	780.04	542.03	880.51	306.31	12	4038.03	336.5	12
1966	7	16.5	23.5	196.11	256.11	357.04	422.04	729.02	481.51	766.1	215.4	170	3640.33	303.4	12
1967	10.5	9.5	124	201	491	580.3	484	457	614.6	430.2	261	101	3764.1	313.7	12
1968		27	29	114	670.7	778.2	556	492	818.5	734.8	151	97	4468.2	406.2	11
1969	44.01	22.01	147.01	188.03	257.52	786.1	453.76	785.6	589.82	707	211	73	4264.86	355.4	12
1970	12	58	0	45.6	614	0.01	667	281.7	961	1009	95	16	3759.31	313.3	12
1971	34.7	66	106	109	453.8	322	398	587.9	764.1	1015	291	118	4265.5	355.5	12
1972	72	36	220.2	270.01	612.5	588	572	519	441	326	390	5.5	4052.21	337.7	12
1973	0	11	2	382	397	896.5	599.3	784.2	866.9	886	348	13	5185.9	432.2	12
1974	100.01	125	156	294	409	721	486	585	604	234	209	32	3955.01	329.6	12
1975	16.52	107.5	211.5	125.5	134	480.4	684	563.1	634.4	458.5	293.5	824.3	4533.22	377.8	12
1976	14	0.2	35.3	305.1	489.9	653.5							1498	249.7	6
1978	41	3	88	222.5	220	442.1	605.5	710.01	916.3	673.03	296	59	4276.44	356.4	12
MÍNIMA	0	0.2	0	45.6	134	0.01	226.4	281.7	441	234	95	0	1498	249.7	6
MÁXIMA	100.01	137.01	220.2	382	670.7	896.5	684	785.6	961	1015	565.52	824.3	5185.9	432.2	12
MEDIA	30.8	43.5	88.2	228.9	388.7	580.6	507.8	597.4	704.3	649.6	277.4	107.8	4035.9	345.7	11.6
DESV.ST	32.2	43.7	71.1	94.6	153.4	219	122.5	137.3	163.1	233.4	112.9	196.9	750	41.4	1.5
