COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7071 
 NOMBRE    : GUAQUITEPEC 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHILÓN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.14472222 ° 
 LONGITUD  : -92.29027778 ° 
 ALTITUD   : 1160 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1966		9.8	20.2	47	20.5	100.7	20.5	40.3	60.1		35	12	366.1	36.6	10
1967	49	14	8	40	15	36.5	15	22	60	166	22	45.5	493	41.1	12
1968	52	20	67	10.5	42	46.5	52	20	32	45	11	100	498	41.5	12
1969	30	53	15	29	69	60.5	50	102	89	40	91	14.5	643	53.6	12
1970	63	18	13.5	30	81	53.5	44	64	45	80	40	13	545	45.4	12
1971	20	10	27	17	24	27	35	27	60	35	62	16	360	30	12
1972	35	43.5	21	33	83.5	52	30	16	29	21	89	111	564	47	12
1973	34	8.5	21.5	52	95	46	30	100	32	40	60	40	559	46.6	12
1974	24.5	33	13.5	37.5	36	54	45	35	90	73	60	21	522.5	43.5	12
1975	25	14	15	40	45	54	23	31	40	80	32	10	409	34.1	12
1976	47	20	40	30	62	60	34	48	40	32	33	20	466	38.8	12
1977	18.5	12	30	103	32	93	46	17	49	25	30	63	518.5	43.2	12
1978	20	20	40	4	63	57	45	29	80	60	28	60	506	42.2	12
1979	23	23	17		21	67	80	43	60	60	60	25	479	43.5	11
1980	19	15	53	36	62	40	63	44	60	68	32	20	512	42.7	12
1981	15	23	52	40	63	45	38	48	51	31	11	23	440	36.7	12
1982	25	26	9	69	50	47	20	57	92	33		42	470	42.7	11
1983	20	40	31	35	23	85.5	35	52	145	48	106	50	670.5	55.9	12
1984	17	20	29	17	67	75	60	60	86	80		20	531	48.3	11
