COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7072 
 NOMBRE    : HACIENDA LAS MARAVILLAS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPACHULA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.1 ° 
 LONGITUD  : -92.28333333 ° 
 ALTITUD   : 660 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1954						73	78						151	75.5	2
1955			28	21	90	58	60	140	166.5	176	41.5	12	793	79.3	10
1956	6	19.5	4.5	68.5	81	126	116	62	98.5	156.5	44	12.5	795	66.2	12
1957	16	60	46.5	60.5	79	68	64	60	91	70	57	22	694	57.8	12
1958	0		20	47	87.5	67.9	62	110	85.1	68.6	90.2	73.7	712	64.7	11
1959	9.3	13	33.5	40	66	112	94	81	77	144	16.5	14	700.3	58.4	12
1960	23	11.5	1.5	71	112	61	61	97	68	104	20	4	634	52.8	12
1961												10	10	10	1
1962	0.01	4	103	73	135	117	98	200	73	124	40	19	986.01	82.2	12
1963	7	58	35	63	30	77	102	127	224	66	65	0	854	71.2	12
1964	0	3	22	67	58	102	117.5	116	123	105	63	62	838.5	69.9	12
1965	40	10	17.5	40	60	129	125	75	154	95	67	6	818.5	68.2	12
1966	3	8	30	97	66	72	65	109	109	90	77	50	776	64.7	12
1967	10	7	60	123	109	90	47	117	136	50	40	25	814	67.8	12
1968	17	33	38	28	77	120	72	80	186	76	70	21	818	68.2	12
1969	7	39	64	55	77	103	60	217	128	83	66	50	949	79.1	12
1970	32	10	0	39	81	60	87	115	103	134	45	16	722	60.2	12
1971	98	19.5	19	40	62	113	78	115	89	106.5	41	27.5	808.5	67.4	12
1972	42	35	56	50	73	59	114	75	84	100	80	3.5	771.5	64.3	12
1973	8	16	3.5	96	85	104	63	181	104.5	140	104	56	961	80.1	12
1974		49.5	52	22.5	76	71	83	96	220	45	32	7	754	68.5	11
1975	14	96	80	60	122	98	99	133	128	80.5	21.5	34	966	80.5	12
1976	2.5	3.5	13.5	87	103	137	76	40.5	68	100	98	8.5	737.5	61.5	12
1978	34.5	8.5	82.5	33	103	61.5	104	92	147.5	82	64	29	841.5	70.1	12
MÍNIMA	0	3	0	21	30	58	47	40.5	68	45	16.5	0	10	10	1
MÁXIMA	98	96	103	123	135	137	125	217	224	176	104	73.7	986.01	82.2	12
MEDIA	18.5	25.2	36.8	58.2	83.3	90.4	83.7	110.8	121	99.8	56.5	24.5	746.1	66.2	11
DESV.ST	23	24.6	28.4	26.1	23.7	26	22.4	44.2	46	34.2	24.6	20.6	224.9	14.3	3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1954						756	529						1285	642.5	2
1955			76	42.01	452.03	317.04	660.04	863.01	923.04	1173.62	160.51	21.5	4688.8	468.9	10
1956	6.52	49.01	21.9	224.06	589.56	770.52	475.03	471.52	973.5	517.05	200.5	28.7	4327.87	360.7	12
1957	21.5	137.2	46.5	170	441.54	540.03	326.04	326.03	662.55	515.02	178.5	22.01	3386.92	282.2	12
1958	0		33.01	131.02	537.55	733.63	509.23	726.81	756.43	814.13	292.24	198.69	4732.74	430.2	11
1959	9.51	13.5	55.33	217.92	306.93	980.42	645.51	524.5	619.52	1156.5	65.51	14.01	4609.16	384.1	12
1960	36	11.54	6.06	285.02	595.03	485.01	569.01	649.02	720.01	816.04	126.5	4	4303.24	358.6	12
1961												18	18	18	1
1962	0.01	7.51	154.52	360	511.02	1090	453	938	671.5	579.55	107.01	37	4909.12	409.1	12
1963	12	112.55	101	177.03	231.07	704.02	583.03	665.51	1097.51	518.01	457.05	0	4658.78	388.2	12
1964	0	3.02	52.01	311.56	480.54	583.01	700.05	536.51	730.53	452.58	214.09	119.6	4183.5	348.6	12
1965	54.02	10	33.54	85.02	430.07	819.04	340.56	601.53	991.51	513	345.2	9	4232.49	352.7	12
1966	3	12	89.01	296.02	428	673.01	492.02	589	669	809.02	186.02	111	4357.1	363.1	12
1967	10	18	119.5	246	378.7	623	443.02	598.02	718.01	409	204	97.5	3864.75	322.1	12
1968	38	42	38.5	106	658	984	510.5	584	1061	797	230	45	5094	424.5	12
1969	10	92	199	222	417	878	539	1047	760	928	212	88	5392	449.3	12
1970	42	19	0	86	385.5	642.5	650	1048.5	838	732.5	163	46	4653	387.8	12
1971	149	22	40.01	98	521.5	413	451	728.02	785.01	976	277.01	54.5	4515.05	376.3	12
1972	77.5	83	217.5	239	634	505.5	511.5	594	492	398	324	5	4081	340.1	12
1973	8	26	6.5	492	463	856.5	572.5	1114.8	861	1025	382	73.5	5880.8	490.1	12
1974		108.01	217.02	105.5	535	607	580.5	595.5	921.5	317.02	128	8.03	4123.08	374.8	11
1975	24.5	114.01	201.51	159.5	629.5	508.5	736	720.5	1245	473.5	163.5	71	5047.02	420.6	12
1976	5.5	4.5	56	354	646	707	325.6	317.9	516.1	756.6	246.6	16.6	3952.4	329.4	12
1978	87	14.8	149	210.5	275	413.5	435.1	735	1130	720	218	49	4436.9	369.7	12
MÍNIMA	0	3.02	0	42.01	231.07	317.04	325.6	317.9	492	317.02	65.51	0	18	18	1
MÁXIMA	149	137.2	217.5	492	658	1090	736	1114.8	1245	1173.62	457.05	198.69	5880.8	642.5	12
MEDIA	29.7	45	87	209.9	479.4	677.8	523.4	680.7	824.7	699.9	221.9	49.5	4197.2	378.8	11
DESV.ST	37.8	44.7	72.2	109.9	120.4	198.8	112.3	213.7	199.3	249.2	94	48.2	1223.3	104.7	3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962						10							10	10	1
1963							5				0.01		5.01	2.5	2
1973							3						3	3	1
1975				337	333	301	288	316					1575	315	5
MÍNIMA				337	333	10	3	316			0.01		3	2.5	1
MÁXIMA				337	333	301	288	316			0.01		1575	315	5
MEDIA				337	333	155.5	98.7	316			0		398.3	82.6	2.2
DESV.ST						205.8	164						784.5	155	1.9

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961												31.3		31.3	1
1962	32.2	31.8	32.3	32.1	31.4	29.5	31.3	31.2	31.1	31.3	31.8	31.8		31.5	12
1963	31.7	32.2	32.7	31.6	32.3	31.4	31.5	32.2	30.4	32.2	31.6	32.4		31.9	12
1964	32.5	32.8	33.1	32.8	32.4	30.8	30.9	31.9	31.9	31.8	32.4	32.7		32.2	12
1965	32.5	32.2	32.5	32.6	32.2	32.5	32.6	32.7	31.4	26.7	27.2	27.7		31.1	12
1966	28.6	28.9	29.4	29	28.4	27.1	27.8	27.7	27.5	27.3	27.6	27.3		28	12
1967	27.9	31.9	32.7	32.8	32.2	30.4	30.9	31.4	30.3	31.2	31.5	31.5		31.2	12
1968	31.9	31.2	32	31.8	31	29.7	31.2	31.6	30.8	29.6	31.2	31.8		31.1	12
1969	32.7	31.9	32.4	32	31	29.5	30.1	28.7	28.8	30.1	31.6	33		31	12
1970	33.7	33	32.5	31.3	30.3	29.7	28.9	29.1	27.9	29.2	29.8	31.2		30.6	12
1971	31.5	30.6	30.5	30.1	29.1	29.1	30.2	28.2	27.7	29.4	29.9	30.6		29.7	12
1972	31.1	30.6	30	29.9	29.3	28.4	29.8	29.3	29.7	30.1	30.6	33		30.1	12
1973	32.3	32.4	32.7	30.9	30.3	28.7	29.3	29.8	29.2	29.9	32.1	32		30.8	12
1975				30.5	30	29.5	28.1	29	28.9	30.1	30.5	30.6		29.7	9
1976	31	30.6	30.1	29.5	29.4	29	30	29.3	30.9	30.7	31	30.7		30.2	12
1978	30.9	31	30	29.9	29.6	29.4	29.4	29.4	28.7	29.2	30.9	29.4		29.8	12
