COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7074 
 NOMBRE    : HORCONES 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TONALÁ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.95527778 ° 
 LONGITUD  : -93.60555556 ° 
 ALTITUD   : 130 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964									41	17	19.5	9.4	86.9	21.7	4
1965	15.1	0	8.1	26.5	98.1	86.8	34.1	42.3	88.4	100.3	0.2	0	499.9	41.7	12
1966		0	0	73.4	69	84.2	52.9	50.4	65.8	68.5	0	0	464.2	42.2	11
1967	0	25.1	17.5	16.5	43	91.4	63.5	61.3	86	67	0.2	1.3	472.8	39.4	12
1968	0	0.1	0	5	76.5	62	60	39.2	95.5	104.5	1.8	51	495.6	41.3	12
1969	0	0	0	9.5	53	57	60.7	97.7	143.3	82	0.7	0	503.9	42	12
1970	0	0	0	0.9	13	30.5	91	79	111	27	0	8	360.4	30	12
1971	20	10	27	17	24	27	35	27	60	35	162	16	460	38.3	12
1972	0	0	36	89.5	32.6	118.2	38.9	81.1	128.2	102	26.8	6.5	659.8	55	12
1973	0	0	0	15.5	122	108.7	48	155.5	87.8	30.5	13	26.5	607.5	50.6	12
1974	27	18	33.5	35	24.6	131	72	35	69	5	5	0.1	455.2	37.9	12
1975	11	0	15	0	46	85	94	74	58	53	45	0.1	481.1	40.1	12
1976	0	0	0.1	0	44	69	90	50	50	44	57	0	404.1	33.7	12
1977	0	0	0	3	82	50.8	68.7	68	97.3	93.6	25.2	20.3	508.9	42.4	12
1978	0	0	0	37	65.2	60	87	82.5	152.5	60.5	9.5	8.3	562.5	46.9	12
1979	0	0	4		59.5	65.5	114.2	120.5	69.5	47.5	0	0	480.7	43.7	11
1980	26.2	0	0	5	80.2	65.5	62	64	88	26	0	0	416.9	34.7	12
1981				20.5	93.5	160.5	106	92.5	40.5	60	0	0	573.5	63.7	9
