COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7078 
 NOMBRE    : IGNACIO LOPEZ RAYON 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SUCHIATE 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 14.61777778 ° 
 LONGITUD  : -92.18472222 ° 
 ALTITUD   : 7 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1951							29.5	16.5	200.3	13.5	17.5	0	277.3	46.2	6
1952	0	0	0	39	43	58	40.1	56	50	65	4	2	357.1	29.8	12
1953	0	0	0	10.5			17.5	32	118	158	7.5	17	360.5	36	10
1954	0	0	0	25	55	78	40	45	40.3	62	19	0	364.3	30.4	12
1955	0	3	2	0	18	43	65	60	66	155.5	11.5	4	428	35.7	12
1956	5	0	0	4	30	45	90	34	48	21	4	2	283	23.6	12
1957	0	0	0	60	30	104	140.8	15.2	34.7	11.9	4.5	0	401.1	33.4	12
1958	1.3	0	0	40.5	34.1	74.2	40	51.3	26.1	19	10.2	19.1	315.8	26.3	12
1959	0	0	17.3	13.3	44.1	72.1	30	33.3	60.1	155	29.2	0	454.4	37.9	12
1960	0	0	0	25.9	40.4	54.2	40.5	115.5	46.1	300	3.2	0	625.8	52.1	12
1961	45	0	0	0.01	22.9	41	52.7	71.5	116.8	46.3	143.7	0	539.91	45	12
1962	0	0	0	22.7	81.2	120	17.1	41.5	90.4	38.3	40.8	0	452	37.7	12
1963	0	0	0	29	17.2	30.2	48.2	75	225.5	52.8	52.4	0	530.3	44.2	12
1964	0	0	1.4	47.3	14.4	108.3	40.3	45.5	51.3	33	7.8	3.9	353.2	29.4	12
1965	57.7	0.6	4.2	11.2	18.7	29.9	40	40	28.8	47.7	0	0	278.8	23.2	12
1966	0	1.3	0	80	23.7	102	31	44.8	66.5	28.8	0.2	0	378.3	31.5	12
1967	0.1	0	0.6	4.9	90.2	73.4	25.6	48.3	62.8	29.4	26.9	0	362.2	30.2	12
1968	29.4	0.2	0	39	40	76.8	41.4	61.9	97.2	48.2	0.6	22.5	457.2	38.1	12
1969	0	0	3.2	0.2	9.5	88.9	58.3	110.2	58.4	40.9	3.9	38.3	411.8	34.3	12
1970	10.4	0	0	42.8	19.2	83.2	70.5	70.3	67.6	62.6	23.2	0	449.8	37.5	12
1971	0.2	0	0	3.3	42.2	32.4	145.8	37.2	53.2	63.2	8.2	0	385.7	32.1	12
1972	6.5	0	5.6	32.8	73	28.2	57.1	22.7	101.5	34.5	24.1	0	386	32.2	12
1973	0	0	0	9.5	100.3	77.6	42.2	142.4	91.5	31.5	2.8	0	497.8	41.5	12
1974	23.2	1.9	1.4		62.8	90.3	19.2	33.8	117.6	17.2	53.5	0	420.9	38.3	11
1975	0	0	14.9	1.3			36.5	75.2	46.6		5.9	6	186.4	20.7	9
1976				27.5	44.2	50.3	45.5	22.2	56.4	69.8	7.6	0	323.5	35.9	9
1977	0	0	5.4	0	69.2	49.3	22.8	8.2	17.7	72.2	9.3	74.6	328.7	27.4	12
1978	0	0	0	28	34.2	115.3	38.3	34.5	103.6	54.5	7.2	11.2	426.8	35.6	12
1979	0	0	1.5		30.7	67.3	34.3	93.5	62	50.5	4.2	0.3	344.3	31.3	11
1980	0	0	0	78	50	75	78.5	45.5	68.3	34.9	2.4	4.2	436.8	36.4	12
1981	0	0	0	18.4	35.5	61	45	98	12.2	45.1	8.5	1	324.7	27.1	12
1982	0	0	6.3	45.1	77.2	21	21.6	7.3	100.8	52.3	3.2	0	334.8	27.9	12
1983	0	17	22	0	12.7	43.5	100.2	37.2	56.1	67.5	7.7	10.3	374.2	31.2	12
1984	0	0	14.4	32.2	30.7	75.1	33.6	60.4	83.2	25.8	15.8	0	371.2	30.9	12
1985		0	19.2	28	24.2	47.2	92.2	66.7	61.6	57.8	76.8	0.01	473.71	43.1	11
1986		1.2	0	28.5	133	15.1	35.6	34.5	56.5	19.5		0	323.9	32.4	10
1987	0	0	0	0		19.1	110.2	28.3	79.3	2.1	0	0	239	21.7	11
1988	0					34.8	56.7	39.9	103.6	86.1	1.7	7.7	330.5	41.3	8
1989	0	0	0	0	5.4	67.9	136.9	57.3	69.1	13.7	6.9	18.8	376	31.3	12
1990	0	14.2	0	0	48	26.3	40.5	82	38	60.9	82.2	0	392.1	32.7	12
1991	0	0	0	0	59	37.5	30	77	57.5	87.5	1.3	0	349.8	29.1	12
1992	0	0	70	23	30	33		53	81	20	0	0	310	28.2	11
1993	0	0	30.5	15.8	17	55	5.3	64	49.2	104	12.9	0	353.7	29.5	12
1994	0	0	0	0	37	104	22	24	63.5	65	23.5	15.5	354.5	29.5	12
1995	0	0	0	0.6	9.8	101	10.4	75	7.5	12.7	1.8	1.9	220.7	18.4	12
1996	0	0	0	0	19	3.5	2	58	100	16	0.2	0	198.7	16.6	12
1997	0.01	0	0	0	69.5	44.5	65.5	45.5	50.5	43.5	12.7	0.5	332.21	27.7	12
1998	0	0.01	0	0	6.5	73	89	48	144	107	43	1	511.51	42.6	12
1999	0	0	15	17	15	86.5	46.5	4.1	91.5	122.5	17.5	0	415.6	34.6	12
2000	0	0	0	0	53	40.5	80	87.5	120	16	31	0	428	35.7	12
2001	0	0	0	43	15	62.5	40	40	64	17.5	1	4.8	287.8	24	12
2002	0	0	0	0	145.2	43	63	42.5	42.5	43.5	9.1	0	388.8	32.4	12
2003	0	0	0	41.5	21	100.5	86.4	101.5	55.7	49.7	11.2	0	467.5	39	12
2004	0	0	0	0	0	6.5		71.4	32	38	10.5	0	158.4	14.4	11
2005	0	0	0	0	0	0	39.5	18.2	52	64	3.8	0	177.5	14.8	12
2006	0	0	0	0	1.2	13.6	53.9	65.3	64	30	19.7	0	247.7	20.6	12
2007	0	0	0	45	98	89	61	45.7	29.4	130.2	0	0	498.3	41.5	12
2008	0	0	18.5	72	70	183	61	65	152.4		0	0.01	621.91	56.5	11
2009	0	0		0	36.5	65.5	64	26.5	36	50	57		335.5	33.5	10
2010		0	0	19.3	165.5	181.5	66	71	149.5	0.7	3	0	656.5	59.7	11
2011	0	9.5	7.6	7.2	37.2	41.3	80.3	50	50.5	120	0	0	403.6	33.6	12
2012				0	40	0				49.9			89.9	22.5	4
2013				51.5	68.2	67.2	38.1	49.6	51.4	29.1	14.6		369.7	46.2	8
2014	0	0	88.8	0	52.6	88.5	81.4	56.2	22	29.7	0	11.5	430.7	35.9	12
2015	0	0	0	63.1	41.4	20.4	18	12.7	40.5	30	23.7	0	249.8	20.8	12
2016	0	0	0	0	40.1	55.8	37.3	37.3	30	23.6	12	0	236.1	19.7	12
2017	0	0	0	0									0	0	4
2020	3.5				40	111.4	48	40	162.4	42	52.6	0.01	499.91	55.5	9
2021				34.5	25.2	48.5	17	39	50	47.3	6.4		267.9	33.5	8
2022	0.01	0.01		3.5	33.3	54	37	27.8	83.4	28.5	109.5		377.02	37.7	10
2023					28	77	60	123	38.4				326.4	65.3	5
MÍNIMA	0	0	0	0	0	0	2	4.1	7.5	0.7	0	0	0	0	4
MÁXIMA	57.7	17	88.8	80	165.5	183	145.8	142.4	225.5	300	143.7	74.6	656.5	65.3	12
MEDIA	2.9	0.8	5.7	19.5	42.8	62.2	51.5	52.4	71.1	54.7	18.2	4.3	365.1	33.1	11.1
DESV.ST	10.3	3	15.3	22.1	33.1	36.8	30.4	28.1	41.9	47.2	26.6	11.4	114.8	10.8	1.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1951							50.52	78.52	589.8	53	17.5	0	789.34	131.6	6
1952	0	0	0	55	97	256	143.6	174	175.4	142.8	4	2	1049.8	87.5	12
1953	0	0	0	10.5			72	51	292	684	7.5	17	1134	113.4	10
1954	0	0	0	25	193	266	159	73	164.3	176.9	19	0	1076.2	89.7	12
1955	0	3	3	0	25	152	283	264.5	244	896.8	11.5	4	1886.8	157.2	12
1956	9	0	0	6	97.5	178	197	140	136	59.6	6	3	832.1	69.3	12
1957	0	0	0	116	74.5	350	306.8	30.9	141.6	41	6.8	0	1067.6	89	12
1958	1.3	0	0	48	83	222.5	127.5	140.3	125.71	61.2	21.4	19.1	850.01	70.8	12
1959	0	0	17.3	35.5	112.3	251.4	159.7	180.8	79.6	566.1	42.9	0	1445.6	120.5	12
1960	0	0	0	35.9	83	295.2	222.1	350.8	238.8	575.1	6.2	0	1807.1	150.6	12
1961	45	0	0	0.01	66.1	154.2	184.4	129.8	392.3	100	297	0	1368.81	114.1	12
1962	0	0	0	51.3	210.71	535.8	112.42	214.02	451.31	171.2	41.31	0	1788.07	149	12
1963	0	0	0	57.7	80.5	150.3	123	206.3	696.6	119	218	0	1651.4	137.6	12
1964	0	0	1.4	105.6	35.1	407.7	256.5	200.7	305.9	128.5	10.6	3.9	1455.9	121.3	12
1965	57.7	0.6	4.2	11.2	77	220.6	113	161	118.3	116.1	0	0	879.7	73.3	12
1966	0	1.3	0	113.5	57.1	462.8	161.6	182.11	271.4	133.8	0.2	0	1383.81	115.3	12
1967	0.1	0	1.1	5.2	118.6	350.4	114.3	129.8	223	81.8	27.1	0	1051.4	87.6	12
1968	29.4	0.2	0	43.8	161.9	370.8	155.1	158.7	213.5	89	0.6	28.4	1251.4	104.3	12
1969	0	0	6.7	0.2	24.1	355.4	230.8	418.8	431.7	171	6.8	38.3	1683.8	140.3	12
1970	10.4	0	0	87.5	41.3	259.6	371.5	278.2	220.8	187.7	40	0	1497	124.8	12
1971	0.2	0	0	3.3	202.7	130.8	286.3	209.7	278.2	188.9	21.2	0	1321.3	110.1	12
1972	6.5	0	6.6	54.3	248.8	102.8	105.6	109.1	239.5	109.6	46.9	0	1029.7	85.8	12
1973	0	0	0	26.8	279.3	229.5	207.6	390.1	194.1	174.1	4.2	0	1505.7	125.5	12
