COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7083 
 NOMBRE    : IXTAPA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : IXTAPA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.76666667 ° 
 LONGITUD  : -92.9 ° 
 ALTITUD   : 1380 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1942										12	13		25	12.5	2
1943											5.3	14	19.3	9.7	2
1946	0	0.01	0	20	66								86.01	17.2	5
1947							35.4	59	25.5	0	40	11	170.9	28.5	6
1948	0	0	5	3	60	62	45	11	32	1.8	1.8	0.01	221.61	18.5	12
1949	0	0	1.5	1.5	2.2	78	32	35	12	10	0	0	172.2	14.3	12
1950	3.5	0.4	4	100	40	40	40	40	40	40	5	5	357.9	29.8	12
1951	5	10	6	50	70	80	58	40	48	23	30	0	420	35	12
1952	5	0	14	180	38	55	50	60	60	40	8	2	512	42.7	12
1953	0	10	0	10	40	50	6	40	5	5	2	0.5	168.5	14	12
1954	0	1	2	3	2	50	28	70	50	40	0	0.4	246.4	20.5	12
1955	4	5	3	2	60	70	85.3	30.5	40.5	80	5.3	50	435.6	36.3	12
1956	8.5	2	15.3	45.3	40.3	60	45.3	40.8	50.3	40.5	20	8.3	376.6	31.4	12
1957	8.3	40.5	30	40.3						5.3	5	3	132.4	18.9	7
1958	8	5.3	1.5	20.3	15	40.5	40.5	30.3	25.3	40.3	20.5	5	252.5	21	12
1959	6.3	8	10	18.3	20	70.3	35.3	45.3	40.3	40.4	12.5	2.3	309	25.8	12
1960	2.3	1	0	6.3	40.3	50.3	50	20	40.3	60.3	30.5	5.3	306.6	25.6	12
1961	0.01	5	3	15	35	60.2	55.3	45.5	40	20.3	25	2	306.31	25.5	12
1962	3	0.01	1	10	10	35	30.3	40.5	60	20.5	5.3	3	218.61	18.2	12
1963	4.3	25	20	10.3	30	25	45	65	40.3	4.3	30.5	1	300.7	25.1	12
1964	5	1	3	20	50	40	40.5	20.3	40	20	15.3	3	258.1	21.5	12
1965	20	15	10	15.3	30	40	35	25	30.5	8.3	8.3	3.5	240.9	20.1	12
1966	3.5	2.5	3	15	23.5	50	30	83	25	18.3	8.5	2	264.3	22	12
1967	6.3	3.5	10	18	18	40	22.5	85	20.3	10.3	8.3	8.3	250.5	20.9	12
1968	12	5	0.01	44	23	18.3	24	28.3	25.3	18.5	5	18.5	221.91	18.5	12
1969	8.5	8.5	5	18.5	15.3	30.5	28	24	20	18.5	8.3	10	195.1	16.3	12
1970	10	5	8.5	13.5	20	40	30	30	18	20	8.3	1	204.3	17	12
1971	4.3	5	10		40.3	65	22	20	44	35	22	23.5	291.1	26.5	11
