COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7084 
 NOMBRE    : JESUS CHIAPAS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : PIJIJIAPAN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.80833333 ° 
 LONGITUD  : -93.35833333 ° 
 ALTITUD   : 90 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964									86.8	96	21.3	7.2	211.3	52.8	4
1965	6.4	0	9	39.5	52.6	70.9	54	60	80.5	81.3	0.01	0	454.21	37.9	12
1966	0	0	0.01	21.5	96.8	87.7	60.3	87.2	105.2	55.7	0	0	514.41	42.9	12
1967	0	0.01	28.8	45	22.2	76	80	31.4	93.3	70.2	0.7	2.2	449.81	37.5	12
1968	0	0	0	2	43	88	58	89	112	56	0	2.5	450.5	37.5	12
1969	0	0	0.2	38	39	92.4	104.7	92.2	66.8	64	16	0	513.3	42.8	12
1970	0	0	0	0	18.4	56.2	63.1	102.8	97.7	47.3	36.6	2.4	424.5	35.4	12
1971	46	0	0.01	0	71	77.7	61.3	93	60	67.7	63.5	3.5	543.71	45.3	12
1972	0	0.2	5	46.3	66.4	135.5	40.1	90.2	90.4	34	65	33.6	606.7	50.6	12
1973	0	5.3	0	54	118.2	80.2	67.4	121	128.6	57.7	8	8.3	648.7	54.1	12
1974	39.5	16	27.3	32.8	26	134.6	166.9	65	103.4	25.8	8.9	0	646.2	53.9	12
1975	0	0	26.5	1.3	56	109.8	120	65	62.5	35	4	12.8	492.9	41.1	12
1976	0	0	0	47	24.5	60.4	89.5	33	97.8	64.8	25.5	0	442.5	36.9	12
1977	0	0	0	4.6	84	50.2	48.6	60.9	76.4	126	25.5	7.8	484	40.3	12
1978	0	0	3.2	21.8	102	165	100	30.5	113.5	38.6	29.5	1.5	605.6	50.5	12
1979	0	0	0		67.4	94.5	131.5	72.3	125.5	27.3	0	1.5	520	47.3	11
1980	12.5	0	0	28.3	116.5	55.5	78.6	108.5	214.5	21.5	0	0	635.9	53	12
1981	0	0	0.1	33.5	129.1	121.2	85.6	94.6	101.3	82.1	1.6	0	649.1	54.1	12
1982	0	24.4	0	3.3	90.6	82.4	46	37.6	67.6	41.8	38.5	0	432.2	36	12
1983	0	49	60	0	7.8	62	48.7	73.3	33.6	30.5	8	4.5	377.4	31.4	12
1984	0	0	20.3	0	53	72.5	47.1	91	94.1	108.3	0	0	486.3	40.5	12
1985	0	0	0	30.2	81	117	60	68.2		53	147.5	0	556.9	50.6	11
1986	0	0	0	0	118.1	43.5	67.1	65.5	134	53	32.9	3.2	517.3	43.1	12
1987	0	0	0	0	49	65.1	55	55.5	56.5	0	0	0	281.1	23.4	12
1988		0	0	0	40.1	73.8	72.5	167.7	248	18.5	5.3	0	625.9	56.9	11
1989	0	0	1.5	20	140.4	86.5	70.5	106.5	174	60	31.8	0	691.2	57.6	12
1990	0	16.8	37.7	25.1	105.5	58	52.5	45.4	52.3	69.5	13.5	0	476.3	39.7	12
1991	0	0	0.4	13.6	35	90	41	160	101	47.3	0.01	31.4	519.71	43.3	12
1992	0.01	0.7	79.2	6.5	78.5	188.5	58	99	105.2	61.5	6.5	0	683.61	57	12
1993	0	0	9	30	40	91	88			90.1	3.5	0	351.6	35.2	10
1994	0	0	0	22.1	71	67	35.3	62.1	29.8	74	23.8	0	385.1	32.1	12
1995	61	0	0	28.6	61.1	67.5	91	93.5	77.5	40.5	45.8	16.5	583	48.6	12
1999				0	90	96.5	91.4	60	102	126.5	1	2	569.4	63.3	9
2000	0	0	0	40	88.8	80	49.2	90.9	67.4	40.6	44.3	0	501.2	41.8	12
2001	0	0	0	2.8	83.1	62.3	54.7	56.3	90.7	65	0	0	414.9	34.6	12
2002	0	0	0	80.1	80.3	69.4	90.1	90.2	90.6	70.4	52	0	623.1	51.9	12
2003	0	0	40.6	0	90.6	95	90	90					406.2	50.8	8
MÍNIMA	0	0	0	0	7.8	43.5	35.3	30.5	29.8	0	0	0	211.3	23.4	4
MÁXIMA	61	49	79.2	80.1	140.4	188.5	166.9	167.7	248	126.5	147.5	33.6	691.2	63.3	12
MEDIA	4.9	3.2	10	20.5	70.5	86.8	72.7	80.3	98.2	58.4	21.1	3.9	507.5	44.6	11.5
DESV.ST	14.3	9.7	19.1	20.3	33.5	31.3	28	31.2	44.4	28.3	29.1	8	111	8.9	1.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964									159.6	212.2	21.31	14.91	408.02	102	4
1965	7.32	0	9.01	146.81	313.2	488.71	220.81	322.01	561.13	267.1	0.01	0	2336.11	194.7	12
1966	0	0	0.01	23	468.1	337.6	404.41	325.21	573.72	263.6	0	0	2395.65	199.6	12
1967	0	0.01	55.8	57.1	131.11	535.21	388.61	221.81	554.23	183.5	0.7	3.4	2131.48	177.6	12
1968	0	0	0	2	223.8	361.8	273.3	435.7	633.9	190.6	0	2.5	2123.6	177	12
1969	0	0	0.2	72.6	61.7	448.6	457.9	548.81	544.01	332.51	19.4	0	2485.73	207.1	12
1970	0	0	0	0	38.1	241.1	490.1	578.51	737.4	242.1	36.6	2.4	2366.31	197.2	12
1971	46.3	0	0.02	0	202.22	529.22	429.61	699.91	385.84	274.01	68.52	3.51	2639.16	219.9	12
1972	0	0.2	9.8	147	227.7	595.6	183	366.3	472.7	76.9	104.7	42.2	2226.1	185.5	12
1973	0	5.3	0	74	188.6	411.8	355.5	512.6	696.4	216.6	21.3	8.3	2490.4	207.5	12
1974	77	27	89.4	47.1	111.8	510.7	447.5	311.2	513.6	34.4	9.6	0	2179.3	181.6	12
1975	0	0	35.2	1.3	284.7	330.3	456.8	470.2	497.1	144.6	5.51	16.5	2242.21	186.9	12
1976	0	0	0	146.1	75.8	344.4	135.6	146.2	377.2	234.7	59.1	0	1519.1	126.6	12
1977	0	0	0	4.6	289.1	218.7	186.81	255.1	303	375.4	25.5	11.5	1669.71	139.1	12
1978	0	0	3.2	30.1	247.3	691.9	456.7	221	459.6	130.7	34.3	1.5	2276.3	189.7	12
1979	0	0	0		253.61	370.9	418.22	454.2	433	122.7	0	1.5	2054.13	186.7	11
1980	12.5	0	0	39.2	284.1	282.8	511.7	485.5	905.3	48.4	0	0	2569.5	214.1	12
1981	0	0	0.1	89.4	394.8	645.8	380.2	415.8	650.9	416.8	1.6	0	2995.4	249.6	12
