COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7085 
 NOMBRE    : PALENQUE (SMN) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : PALENQUE 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.50916667 ° 
 LONGITUD  : -91.98222222 ° 
 ALTITUD   : 60 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1927	25.5	7.6	39.5	15	100.5	110	80	68	160.2	189.5	51	85.9	932.7	77.7	12
1928	121	66.7	65	17.2	40	50	56.8	56.7	86.9	156.4	80	63.9	860.6	71.7	12
1929	60.8	30	17.3	0.01									108.11	27	4
1942		7											7	7	1
1948							78	85	43.5	64	18.3	8.5	297.3	49.5	6
1949	42	10	60.2	40	26.2	60.2	40.2	60.2	60.2	120.5	20.2	16.2	556.1	46.3	12
1950	20.1	50.6	50.6	40.1	35	50.3	30.7	30.3	150.2	50.4	30.2	30.6	569.1	47.4	12
1951	20.2	30.6	80	8	3.9	72.8	58.5	80.5	90	41.6	210.5	30.5	727.1	60.6	12
1952	40.5	45.5	22.5	15.8	40.5	40.5	55	40.8	70	130.5	45.2	70.5	617.3	51.4	12
1953	18.5	30.5	15.5	4	50.5	70.5	30.5	40	70.3	85.2	65.2	60.5	541.2	45.1	12
1954	22	30.5	39	22	40.5	72	55	65	105	60.5	55	53	619.5	51.6	12
1955	14	61	65	0	65	40	30	80	120.3	95.3	20	67.3	657.9	54.8	12
1956	12	6.2	37.3	6.2	60	8	46.4	39.5	80.9	103.5	49.3	120.8	570.1	47.5	12
1957	41.7	40.7	170.8	27.8	28	68.5	21.8	111.5	105.3	89.2	127.8	114	947.1	78.9	12
1958	22.4	20.8	160.3	1.2	102	184.3	70.3	48.3	110.3	68.4	120.8	6	915.1	76.3	12
1959	65.2	10.7	70.8	130.4	45.2	60.5	20.4	60.4	120.4	40.2	190.5	40.5	855.2	71.3	12
1960	60.4	40.5	15.2	80.2	90.5	90.8	60.5	9.9	140.7	8.6	20.7	20.6	638.6	53.2	12
1961	120	92.4	40.8	60.8	130.2	40	110.7	80.9	40.8	80.9	41.3	40.2	879	73.2	12
1962	40.6	10.8	28.8	100.7	40.7	60.7	30.7	88.8	82.6	62.8	42.7	26.6	616.5	51.4	12
1963	5	55	64.2	1	108.4	22.2	47	84.5	62.5	29.2	74.3	33.4	586.7	48.9	12
1964	60.9	42.8	25.1	39.4	120.7	100.5	115.4	45.3	230.4	94.5	71.5	40	986.5	82.2	12
1965	33.5	39.4	24.5	36.5	10.4	86.4	83.5	41.1	56.4	60.4	45.4	40.4	557.9	46.5	12
1966	160.3	44.8	88.8	41.2	44.1	121	60.5	41.2	108.6	99.1	44.4	59.9	913.9	76.2	12
1967	72.8	17.3	11.2	39.4	33.5	63.5	21.8	62.7	187.5	103.4	29.1	127.2	769.4	64.1	12
1968	68.3	36.8	26.3	37.7	43.7	37.7	54.5	43.6	66.3	100.2	92.4	171.3	778.8	64.9	12
1969	166.9	7.1	40.5	10.2	23.3	62	27.5	110.6	97.3	123	95.5	49.4	813.3	67.8	12
1970	26.7	56.6	20.3	22.4	111	69.3	75.7	80.6	83.4	85.3	109.8	16.7	757.8	63.1	12
1971	5.2	50.5	50.5	33.6	26.4	87	33.2	57	68.3	106.3	95.7	18	631.7	52.6	12
1972	32.3	61	29.6	34.6	36.3	20	86.6	84.5	71.8	37.6	71	87.5	652.8	54.4	12
1973	25.4	54.8	8.5	45.4	46.6	46.1	62.4	68				54.2	411.4	45.7	9
1974	26.5	74.6	28	63.3	35.8	51.6	46.2	29	111.5	62.2	33.6	42.8	605.1	50.4	12
1975	85.6	79.8	33.3	1.3	59.6	39.8	41.7	50	52.6	186.5	79.6	91.3	801.1	66.8	12
1976	78.4	34	12.1	17.9	47.7	62	29.5	58	84	98	91.2	73.6	686.4	57.2	12
1977	48.4	21.1	25.4	16.5	38.5	32.5	33.8	61.7	49.6	34.7	97.5	89	548.7	45.7	12
1978	63.3	42	182										287.3	95.8	3
1982			0										0	0	1
1983									46.8	98.5	71	62.1	278.4	69.6	4
1984	78.8	70.8	12.3	28.5	130.3	68.5	28.1	72.5	56.9	78.8	39	16	680.5	56.7	12
1987	20	48	40	20	24.5	130.5	78	31.5	67	34	32	33	558.5	46.5	12
1988	22	63	46	9	57	84	21.5	95	67	107	58	75	704.5	58.7	12
1989	32	41	43	36	40	105	42						339	48.4	7
1990			23	22	75	75	50	75	86	35	64.5	83	588.5	58.9	10
1991	14	39	40	0	58	87.5	27	20	59	46	87	27	504.5	42	12
1992	108	26	45	40	21.5	126	5.5	29.5	72	43	46.5	27	590	49.2	12
1993	39	58	57	45	56	75	30	27	72	29	25	47	560	46.7	12
1994	62	52	37.5	52	37	14.5	36	26	74	104	18.5	45	558.5	46.5	12
1995	80	30	85	28	16.5	62	105	52	56	61	34.5	63	673	56.1	12
1996	45	35	45	60	28	107	55	51	74	74	105	44	723	60.2	12
1997	41	84	45	20	54	18	35	81	48	72	53	40	591	49.2	12
1998	34	28	7	8	0	117	34	43	89	54	35	63	512	42.7	12
1999	72	40	18	28	80	133	53	32	60.7	56	20	40	632.7	52.7	12
2000	142	20	42	12	106	96	36	80	42			60	636	63.6	10
2001	20	20	0	8	85	27	39	75	60	40	40		414	37.6	11
2002	97	20	34	13	48	70	20	50	70	86	45	68	621	51.8	12
2003	17	0.9	18							58	54	33	180.9	30.1	6
2004	78	48	44	75	30	4	28	65	42	30	40	6	490	40.8	12
2005	27	0	2.3	46	23	62	68	85	61	20	45	30	469.3	39.1	12
2006	19	21.6	4.5	1	11.3	51.6	16	14	32	22	21.5		214.5	19.5	11
2007	41.8	17	16	8	3	16	5	78	87	33	46	25	375.8	31.3	12
2008	240	60	95	64	160	116	40	40	80	150	50	31	1126	93.8	12
2009	34	32	17	40	20	37	14	76	140	100	15	100	625	52.1	12
2010	70	16	24	86	20	83			124	40	40	0	503	50.3	10
2011	60	20	120	20	43	55	70	30	110	165	60	30	783	65.2	12
2012	80	20	60	200	85	75	30	80	150	100	20	30	930	77.5	12
2013	55	40	30	0	40	100				230	170	230	895	99.4	9
2014	60	40	160	100	60	70							490	81.7	6
2019	20	20	5	5	40	50	90	80	20				330	36.7	9
2020		8		0	115	80		50	160	200	30	30	673	74.8	9
2021	180	40	150	0	45	30	60	60	100	25	30	20	740	61.7	12
MÍNIMA	5	0	0	0	0	4	5	9.9	20	8.6	15	0	0	0	1
MÁXIMA	240	92.4	182	200	160	184.3	115.4	111.5	230.4	230	210.5	230	1126	99.4	12
MEDIA	57.1	36.4	46.4	33.1	53.2	67.8	47.6	58.7	86.2	81	60.3	53.5	604.3	55.3	10.7
DESV.ST	45.9	21.2	42.1	35.4	35.2	34.9	25.2	23.4	39.8	48.1	41	40.1	226.3	18.2	2.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1927	91.86	15.72	118.42	27.24	139.62	389.03	341.52	361.98	660.34	857.44	188.27	230.23	3421.67	285.1	12
1928	385.06	250.5	107.94	48.73	124.91	210.44	289.03	240.4	363.11	391.53	277.85	232.61	2922.11	243.5	12
1929	351.07	98.24	26.6	0.01									475.92	119	4
1942		13.03											13.03	13	1
1948							184	242.92	364.41	174	50.8	11.4	1027.53	171.3	6
1949	65	10.01	92.9	84.21	65.5	153.51	176.52	251.51	312.3	306.31	52.7	52.2	1622.67	135.2	12
1950	42.1	80.8	128.3	80.2	35	285.21	71.81	214.7	553.46	408.13	70.91	30.62	2001.24	166.8	12
1951	59.22	91.44	164.5	28	10.71	149.7	242.9	355	925	264.1	648.7	68	3007.27	250.6	12
1952	136.2	143.5	75	39.8	160.5	276.5	390	284.1	726.3	740.7	194.5	286.5	3453.6	287.8	12
1953	53.5	103.5	24.5	4	201.4	353.9	259.9	218.8	517	308.9	188.8	281.5	2515.7	209.6	12
1954	60.8	141	161.2	107	280.5	471	157	341	658	389	163	200.12	3129.62	260.8	12
1955	40.03	152.03	74	0	100	145	343	367	851	778.2	54	225.6	3129.86	260.8	12
1956	26.2	11.3	145.2	6.2	282	31.51	131.3	204.5	508.1	513.6	190.7	298.64	2349.25	195.8	12
1957	112.41	127.01	225.9	43.41	83.8	457.11	118.4	336.51	648.42	154.32	223.53	283.03	2813.85	234.5	12
1958	88.2	43.92	327.72	1.21	313.63	772.43	380.02	182.81	476.22	236.6	285.53	15	3123.29	260.3	12
1959	515.62	19.71	222.74	327.72	163.2	456.81	128.1	192	393.5	233.72	518.41	91.2	3262.73	271.9	12
1960	157.7	65.81	35	273.5	303.9	513.61	327.81	52.9	538.2	70.8	136.1	70.2	2545.53	212.1	12
1961	626	336.42	147.61	134.92	288.3	171.6	251.72	271.02	148.9	474.22	119.52	197.8	3168.03	264	12
1962	215.62	15.91	115.91	546.21	81.72	228.91	218.41	296	374.7	391.4	94.22	52.6	2631.61	219.3	12
1963	12.1	82	115.41	1	147.41	91.21	255.41	495.94	679.72	243.02	255.13	128.93	2507.28	208.9	12
1964	218.31	132.85	113.12	86.02	298.83	603.8	374.1	161.21	657.8	264.73	253.52	192	3356.29	279.7	12
1965	169.3	99.8	99.8	60.8	24.1	238.6	280.1	195.72	283.31	423	186.8	205.61	2266.94	188.9	12
1966	382.61	151.92	258	118.11	153.01	294.1	239.9	204.4	758.02	437.3	162.4	216.2	3375.97	281.3	12
1967	186.41	78	18.6	93.6	71	328.2	79.1	163.4	563.8	542	111.8	233.4	2469.31	205.8	12
1968	252.4	164.5	74.6	74	191.6	197.3	181	255.7	457.8	330.6	219.8	395.6	2794.9	232.9	12
1969	326.8	26.2	145.4	27.4	105.6	198.1	142.6	763.9	525.6	298	413.8	61.1	3034.5	252.9	12
1970	88	136.9	58.8	49.5	287.3	386	553.3	432.9	541.9	464.6	324.9	86	3410.1	284.2	12
1971	19.7	52.4	192.1	65.1	26.8	220.9	230.5	372.1	362.7	273.2	337.2	67.4	2220.1	185	12
1972	48.7	114.3	40.9	75.8	58.8	66	530.9	285.5	305.2	146	330.8	278.6	2281.5	190.1	12
1973	90.9	115.5	11.5	129.1	166.6	207.1	252.8	590				165.3	1728.8	192.1	9
1974	74.8	266.7	51.7	208.1	128.4	373.6	224.3	235.2	528.7	501.3	146	110.2	2849	237.4	12
1975	159.4	194	57	1.3	132.5	173.7	124.4	176.5	293.5	849.9	233.8	195.8	2591.8	216	12
1976	150	118.4	14.7	38.7	141.5	368.5	190.2	444.6	257	323	324.1	267.1	2637.8	219.8	12
1977	164.7	81.7	60.4	65.6	76.4	186.9	183.8	241.5	345.5	232.3	377.7	250.3	2266.8	188.9	12
