COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7087 
 NOMBRE    : LA CABAÑA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SAN CRISTÓBAL DE LAS CASAS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.71416667 ° 
 LONGITUD  : -92.62888889 ° 
 ALTITUD   : 2113 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956							42.5	40	42.5	26	17	0.01	168.01	28	6
1957	6	10	14.5	11.5	10.5	53	25	34	28	20	10	19	241.5	20.1	12
1958	3.5	6.5	0	30	30.5	38	30	44.5	69.5	56	22.5	6.5	337.5	28.1	12
1959	2.5	1.5	20.5	9	17.4	51	77	59	45	39.5	20	8.5	350.9	29.2	12
1960	5.5	0.01	0	97	44.5	68.5	28	45.8	48	39	8	0.5	384.81	32.1	12
1961	11	3.5	3	17.5	37.5	53.5	24	29.5	56	84	20.5	8.5	348.5	29	12
1962	3.5	0	0.5	25	20.5	33	58	20	35.5	15	3	1.5	215.5	18	12
1963	4	25	10.5	10	5	50	45	21	82	3.5	42	0	298	24.8	12
1964	5	0	4	29	22.5	41	41.5	37.5	27.5	42.5	15	12	277.5	23.1	12
1965	4.7	40	18	1	35.5	33		40	42.5	30	2	12	258.7	23.5	11
1966	8	1.5	15.5	22	20	57.5	38.5	20	34.8	21.5	6	6.5	251.8	21	12
1967	27	17	1	33	14	28.5	18	28	59.5	53	2.5	22	303.5	25.3	12
1968	11	3.5	3	13.8	44.5	40.5	34	46.5	34	22.5	2	9.5	264.8	22.1	12
1969	12	5	0	18	41.5	35		43	60	40	48	0.5	303	27.5	11
1970	7	0.5	0	28	18	60.5	36.7	25	40	30.5	5	3	254.2	21.2	12
1971	2	21	15	16	25.5	20	15	27	30	50	16	8	245.5	20.5	12
1972	9					32.5	20.5	17	25	12			116	19.3	6
1973									16.7	14.4	17	2.7	50.8	12.7	4
1974	7.5	4.2	15.5	14.5	20.4	52	55.5	18.3	55.2	10.7	9.3	1.2	264.3	22	12
1975	13.5	2	5.7	10.5	26.6	34.5	28.8	10.5	44	40.5	30.2	2.5	249.3	20.8	12
1976	3.8	7.2	10	20	63	57	71.1	25.6	42	46.8	39.5	1.6	387.6	32.3	12
1977	0	0	2	11	33.5	23.5	8.8	27.6	43.4	21	10	15.8	196.6	16.4	12
1978	13.3	1.5	20.5	14.2	28.5	38.3	30.2	42.3	38.8	54.3	17.3	28.3	327.5	27.3	12
1979	11.3	0	24		24	25.7	35.7	45.8	22.4	13.5	10	6.3	218.7	19.9	11
1980	10.5	16	1.4	15.1	24.7	24.1	98.7	31.7	60.2	23.7	2.1	1.3	309.5	25.8	12
1981	0	4.2	10.5	38.3	26.5	38.9	35.5	35.3	27.3	24.5	2.7	3.3	247	20.6	12
1982	0	22.5	17	33	31	17.5	19.2	19.5	65.6	32.3	19.2	7.3	284.1	23.7	12
1983	0.6	54.5	54.1	0	27.2	32.7	28.7	20		16.2		6.5	240.5	24	10
1984	1	0	2.5	6.1	69.6	43.1	45.5	35.5	37.7	19.2	1.5	1.7	263.4	22	12
1985	1.3	8.7	32.9	13.5	16.7	46	34.5	52.4	17.7		20.3	13.4	257.4	23.4	11
1986	6.4	1.8	18.7	14.5	54	45.8	19.3	14.5	9.5	28	23	6.3	241.8	20.1	12
1987	0	0.4	1.3	10	16.6	44.5	43.5	13.9		80	6.5	19	235.7	21.4	11
1988	10.5	3	16.5	22	15.3	76.3	21.7	55.2	42.8	42.2	6.3	0.2	312	26	12
1989	0.2	12.4	7.3	23.6	23.1	26.2	17	46.7	34.3	66	19.3	4	280.1	23.3	12
1990	0.1	12.4	3.1	19.7	20.5	29.3	40.5	38.2	18.7	24.8	20	10.5	237.8	19.8	12
1991	1.8	2	3.4	5	21.5	37	36.5	35.2	15.3	20	4.5	7.5	189.7	15.8	12
1992	3.2	2.5	16	23.3	50.6	70	20.6	50.7	51.7	19.6	22.5	0.01	330.71	27.6	12
1993	2.3	3	8.7	16.8	20.5	45.6	44.5	53.6	29.2	36.9	4	1.5	266.6	22.2	12
1994	0.01	2.4	7.5	16	23	31	41.9	18.7	10	31.7	5.8	0.01	188.02	15.7	12
1995	0.01	0.01	3.5	5.7	12	28.6	27.7	44.1	38.2	21.8	4.5	4.8	190.92	15.9	12
1996	25.9	2.7	16.8	24.8	46.4	92.7	47.8	42.9	20.2	22.6	5.4	0	348.2	29	12
1997	2.2	1.7	4.2	17.3	27.4	47.6	46.8	22.3	38.7	67.5	36.8	28.4	340.9	28.4	12
1998	1	21.8	0	2	14.5	32.7	65.2	31	73.5	36.2	51.9	0.01	329.81	27.5	12
1999	1.5	2	3.4	26.2	48.3	52.8	47.4	36.1	52.7	37.3	1.8	4.9	314.4	26.2	12
