COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7089 
 NOMBRE    : LA CATARATA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TENEJAPA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.21666667 ° 
 LONGITUD  : -91.31666667 ° 
 ALTITUD   : 327 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1966							104	104	73	83	24.5	8.5	397	66.2	6
1967	31.5	10	15	7.5	69.6	47.5	59	76	65.7	81	33.5	31	527.3	43.9	12
1968	19.5	23.5	24.5	21.2	43	98	87	67.5	114.5	63	20	72.5	654.2	54.5	12
1969	19.5	17.5	19	16	30	89	133	53	58	18.5	29	46.5	529	44.1	12
1970	16	16.5	31.5	13	27	72.5	125	72.5	80.5	73	31	50	608.5	50.7	12
1971	13	14	12	3.5	44.5	80	71	68.5	85	69	49	15.5	525	43.8	12
1972	46	23.5	24	9	25.5	61	83.5	79	31.5	30	11	11	435	36.2	12
1973	13	10.5	33	12.5	40.5	72.5	35	78.5	15.8	46.5	19	3.3	380.1	31.7	12
1974	45	21.5	11	14.5	51.5	100	58	87.5	61.5	52	34	22.5	559	46.6	12
1975	72	22	25.5	1.5	60.5	64.5	65	39.5	239	122	72	15.5	799	66.6	12
1976	36.5	24.5	5	12	21.5	78.5	112.5	51.5	62.5	43.5	34.5	45	527.5	44	12
1977	15.5	18.5	1	22.5	39.5	64.5	58.5	70	43	89	49	33	504	42	12
