COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7090 
 NOMBRE    : LA CONCORDIA (DGE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA CONCORDIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.08333333 ° 
 LONGITUD  : -92.66666667 ° 
 ALTITUD   : 540 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1951						32.5	51.2	41.3	56.2	42.5	18.2	0	241.9	34.6	7
1952	0	0	16.2	18.3	36.9	40.2	34.6	35.4	76.2	48.2	8.6	0	314.6	26.2	12
1953	0	0	0	30.2	34.5	96.4	66.4	58.4	66.7	24.4	6	0	383	31.9	12
1954	0	1.5	10	46.4	70.2	64.1	72.6	26.4	59	22.6	2	0	374.8	31.2	12
1955	0	0	8.6	7.5	38.8	44.5	76.9			77.3	10.2	8.6	272.4	27.2	10
1956	0	36.4	0	0	45	97.3	30	24	143	51	20	10.5	457.2	38.1	12
1957	0.5	8	16.9	42.8	28.2	56.7	44.9	46.6	82.5	17.5	5.2	0	349.8	29.1	12
1958	0.01	0	0	76	25	86.6	44	44.5	72.2	47.2	18	11.1	424.61	35.4	12
1959	0.5	0	0.01	26.5	86.5	33.5	17.5	30	37	45.8	8.3	0	285.61	23.8	12
1960	2	0	2	9.5	39	74	80	40	81	62	13.5	0	403	33.6	12
1961	0.01	0.3	50	17.5	33	64.5	48.5	60.5	41	23.5	16	3.5	358.31	29.9	12
1962	0.01	0	5.5	54.5	26	45.7	57	83.5	77	41.5	5.5	0	396.21	33	12
1963	0	2	0.01	8	57	64	100	46	66	15.8	37.5	0	396.31	33	12
1964	0	0	2.5	30	53	60.5	53.5	41.5	40.5	39	2.5	32.5	355.5	29.6	12
1965	6.5	0	21.5	36	26.5	52.5	58	68.5	91	37	20	0	417.5	34.8	12
1966	5.5	0	0	25.5	30.2	66	91	72.6	96.5	33.5	13.5	0.01	434.31	36.2	12
1967	6.5	0	6.5	69	28.5	40	69	48.5	35.5	72	1.5	6	383	31.9	12
1968	0	0.5	1	6	48.5	50.5	31.5	34	120.5	54	8	5	359.5	30	12
1969	0	0	1	45.5	75.5	87.5	56.5	90	50	28.5	1	0	435.5	36.3	12
1970	2.3	0	0	6.5	32	31	72.5	51	91	98	41.5	5.5	431.3	35.9	12
1972	1	0	0	46	96	99	97.5	64.5	49.5	48	15.5	3.5	520.5	43.4	12
1973	0.5	0	0	6	31	48.5	65	86	43	81	47.5	1.2	409.7	34.1	12
1974	12.5	5.7	5	67.9									91.1	22.8	4
2012										0.1	2.6	0	2.7	0.9	3
2013	3.7	0.1	0	20	24	20.5	90.7	111	50	25	14.8	0.1	359.9	30	12
2014	5	0	0.1	0	12.5	98	30.7	47.5	81	27	0.1	0	301.9	25.2	12
2015	0	0	0	0	27	27	27	27	90.7	30	27	0.1	255.8	21.3	12
2016			0	0	4	27	42	60	120				253	36.1	7
MÍNIMA	0	0	0	0	4	20.5	17.5	24	35.5	0.1	0.1	0	2.7	0.9	3
MÁXIMA	12.5	36.4	50	76	96	99	100	111	143	98	47.5	32.5	520.5	43.4	12
MEDIA	1.9	2.2	5.6	26.8	40.4	58	58	53.5	72.7	42	14	3.4	345.3	30.6	11
DESV.ST	3.1	7.4	10.9	23.2	22.1	24.4	22.9	22.1	28.1	22.4	12.6	6.9	108.2	7.6	2.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1951						71.82	244.39	299.26	440.76	211.24	28.1	0	1295.57	185.1	7
1952	0	0	28.7	37.1	127.12	283.8	262.3	392.2	395.8	242.01	19.3	0	1788.33	149	12
1953	0	0	0	48.5	107.4	370.2	330.6	278.1	400.1	105.8	13.8	0	1654.5	137.9	12
1954	0	1.5	21.4	155	282.2	535.5	335	145.6	325.1	108.1	2	0	1911.4	159.3	12
1955	0	0	22.3	11.7	172	231.8	644.8			441	11	15.5	1550.1	155	10
1956	0	36.41	0	0	257.11	536.63	109.72	127.12	440.92	133.53	25.01	10.5	1676.95	139.7	12
1957	0.5	18.8	24.8	73.2	123.3	255.9	154.71	203.51	407.33	36.75	8.8	0	1307.6	109	12
1958	0.02	0	0	184.2	67.81	402.51	198.45	260.62	388.64	204.04	48.93	11.51	1766.73	147.2	12
1959	1	0	0.04	65.23	194.02	169.62	86.72	151.64	181.82	272.67	14.61	0	1137.37	94.8	12
1960	2	0	2	28	110.52	590.03	245.32	251.04	313	330.87	16.7	0	1889.48	157.5	12
1961	0.02	0.3	66.01	43.5	94.02	305.06	276.13	255.45	224.05	113.64	29.34	3.51	1411.03	117.6	12
1962	0.01	0	5.5	121.51	166.1	282.91	182.81	459.71	470.41	201.6	5.52	0	1896.08	158	12
1963	0	3.01	0.01	10	118.32	175.91	327.74	157.74	359.12	59.83	66.9	0	1278.58	106.5	12
1964	0	0	2.5	60	125.5	352.2	234.52	184.91	246.02	91.52	5.5	69.41	1372.08	114.3	12
1965	6.5	0	29	49.52	110.53	377.52	221.52	289.5	276.01	171.02	30.51	0	1561.63	130.1	12
