COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7091 
 NOMBRE    : LA ESCALERA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHIAPA DE CORZO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.52583333 ° 
 LONGITUD  : -92.9925 ° 
 ALTITUD   : 700 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1953						29.5	70	39	48.5	19.2	0.4	0.01	206.61	29.5	7
1954	0	0.01	0.4	1.1	71.4	75.5	30.5	53	33.5	22.7	0.01	0	288.12	24	12
1955	0	6	0.01	6.5	8	55.5	65	54.5	37.4	45	12.5	43	333.41	27.8	12
1956	0.01	0	0.01	3.6	69.5	48.5	57	20.5	49	14.5	4	0	266.62	22.2	12
1957	0.01	3	6	10.5	29.5	35	55.5	49.5	74	12.5	1	0.01	276.52	23	12
1958	0.01	0.01	0.01	11	9	113	53.5	52	72	36	7	0.01	353.54	29.5	12
1959	0	1.5	2.5	9	4.5	61.5	45.5	20	21	43	0	0.01	208.51	17.4	12
1960	0.01	0	0	8.5	33.5	53	37.5	80	56.5	20	0	0	289.01	24.1	12
1961	1.5	2	25.5	20	15	49.5	48	68	18	11	38	0.01	296.51	24.7	12
1962	0	0	0	10	10	40	62.5	73	63.5	19	0	0	278	23.2	12
1963	0.01	3	10	5	4	46	40.3	20.5	75.2	3	27.5	0	234.51	19.5	12
1964	0	0	0.01	5.5	40	74.6	49.4	31.6	44	34.2	6.1	5.1	290.51	24.2	12
1965	4.5	0.6	0.01	0.01	53.1	67.2	54.5	64.4	40.6	37.8	1.5	0.01	324.23	27	12
1966		0.01	6.3	22	21.5	76.8	43.5	24.5	76.7	51.9	0.01	5.5	328.72	29.9	11
1967	5.2	0	3.2	21.6	14.7	60	18.4	31.5	80	19.8	0.01	11	265.41	22.1	12
1968	0.01	0	0	9.2	32.1	31.9	66.7	53.4	39.9	35.3	0.6	6	275.11	22.9	12
1969	0	0	0	5.6	6	102.8	75.5	62	28.5	20.7	1	0	302.1	25.2	12
1970	0	0	0	14	37	28.3	98.7	28.5	51	17.5	0	0	275	22.9	12
1971	0.01	0	0	0	32	120	40.3	53.4	61.1	47.7	6.7	0	361.21	30.1	12
1972	0	0	0.2	8.5	59.1	44	36.5	60.1	39.5	16.5	17.6	0	282	23.5	12
1973	0	0	0	9	45	47.5	50	55	32	29.5	9.4	0	277.4	23.1	12
1974	2	0	20.1	0	89	30	60.5	26.1	29	0.7	0.1	0	257.5	21.5	12
1975	0	0	0	5	38.8	47.2	35.9	50.8	82.5	7.2	2.6	0	270	22.5	12
1976	0.3	0.2	0	11	25.3	26.8	108	24.2	47.3	24.5	61.5	0	329.1	27.4	12
1977	0	0	0	27.5	24	46.5	36.4	63.6	54	24	0.5	2.1	278.6	23.2	12
1978	0	0	0.2	26.7	31.5	43.5	51	41.5	74	5.2	2.3	1.2	277.1	23.1	12
1979	0	0	2.5	21.8	36.7	14.3	56.2	69	38	21.5	0	0.5	260.5	21.7	12
1980	2.5	0	0	1.5	36.2	18.5	70	44.2	59	17	1.5	0	250.4	20.9	12
1981	0	0	0.2	59	30.2	42.5	43	49	31.5	26.5	10	0	291.9	24.3	12
1982	0	1.5	0.01	17.5	13	47.2	31.5	27	52	55.2	2	1	247.91	20.7	12
1983	0	30.1	50	0	13.2	75	66.2	57.5	43.5	52.5	2	5	395	32.9	12
1984	0	0	0	0	41.8	50.6	55	47.2	29	3	0	0	226.6	18.9	12
1985	0	0	7.5	19	23.7	46.2	82.5	44	30	13.2	16	0	282.1	23.5	12
1986	0	0	0	5.5	59.8	13	36.5	30.5	29.7	36	1.5	0	212.5	17.7	12
1987	0	0	3.3	0	20	75.5	21.4	48.4	68	0	0	0	236.6	19.7	12
1988	0	0	0	2.5	29	107	51.5	60	58.2	14.6	0	0	322.8	26.9	12
1989	0	0	0	4.5	88.9	14.4	57.3	50.5	50.1	20.5	63.3	0	349.5	29.1	12
1990	0	17.5	0	28.8	24	51.6	17.5	42	31.5	13	3.6	7.5	237	19.8	12
1991	0	0	0	2.9	6.5	44.9	12	11.4	55	58	0	5.3	196	16.3	12
1992	0	1.8	26.1	20.5	22.1	73.5	46.8	41.5	39	22.8	3.8	3.8	301.7	25.1	12
1993	0	0	0	0	9.2	19.5	34.2	44.3	57.5	46.2	5.8	0	216.7	18.1	12
1994	0	0	0	34.2	38.2	116.2	43.3	66.8	81.7	59.6	12.4	0	452.4	37.7	12
1995	0	0	0		24.2	69.7	52.5	84.2	43.8	36.2	0	0	310.6	28.2	11
1996	0	0	0	12.3	24.3	110	34.2	54.3	78.2	11.4	0	0	324.7	27.1	12
1997	0	0	0	30.5		68.5	36.8	24	44.9	40.2	22.7	8.2	275.8	25.1	11
1998	0	1.6	0	0		45.2	53.8	37.2	66.9	42	77.2	0	323.9	29.4	11
1999	0	0	0	8.4	24.3	39.4	20.4	69.6	46.7	13.2	0.1	0.1	222.2	18.5	12
2000	0	0	0	0	19.9	39.9	33.8	27.1	48.4	18.2	0		187.3	17	11
2001	0	1.3	0	0	88.2	49.2	42.8	70.5	58.6	13.6	0	5.2	329.4	27.4	12
2002	0	1.5	0	5.5	12	51	21	21.3	52.5	38.8	0.01	1.5	205.11	17.1	12
2003	0	0	0	2.7	30.2	37	22.3	30.2	55.1	57.6	9.8	0	244.9	20.4	12
2004	0	0	1.6	21.2	50.9	33.8	58.4	20.8	25.2	15.7	1.2	1.5	230.3	19.2	12
2005	0	0	0	0	39	59.8	57.2	54.3	19.6	65.8	1.4	0	297.1	24.8	12
2006	0.01	0	0	40.5	75.5	59.8	35.2	39.4	74.4	29.4	8.2	0.01	362.42	30.2	12
2007	0	0	3.8	23.6	15.2	28	18.2	55.4	69.4	42.4			256	25.6	10
MÍNIMA	0	0	0	0	4	13	12	11.4	18	0	0	0	187.3	16.3	7
MÁXIMA	5.2	30.1	50	59	89	120	108	84.2	82.5	65.8	77.2	43	452.4	37.7	12
MEDIA	0.3	1.3	3.1	11.6	32.7	53.7	47.3	45.9	50.3	27.3	8.2	2.1	281.4	23.9	11.8
DESV.ST	1	4.7	8.7	12.3	22.2	26.2	19.4	17.4	17.6	16.8	16.4	6.3	52.2	4.4	0.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1953						32	205.5	129	85.1	38.2	0.41	0.01	490.22	70	7
1954	0	0.01	0.4	1.52	141.91	326.76	239.93	178.61	136.83	106.92	0.01	0	1132.9	94.4	12
1955	0	6.02	0.02	6.5	15.51	201.04	542.03	237.66	148.53	119.14	23	43.01	1342.46	111.9	12
1956	0.01	0	0.03	3.63	292.64	284.52	229.44	99.05	240.73	22.52	4.02	0	1176.59	98	12
1957	0.01	3.01	6	18.52	65.03	131.15	197.33	157.55	282.55	12.51	1.02	0.01	874.69	72.9	12
1958	0.02	0.02	0.02	11.05	11.02	305.55	358.13	215.14	280.22	81.55	11.03	0.02	1273.77	106.1	12
1959	0	1.5	3.5	13.52	6.05	319.02	167.54	107.52	46.51	227.52	0	0.01	892.69	74.4	12
1960	0.01	0	0	8.7	72.5	278.5	257.53	293.61	270	89.53	0	0	1270.38	105.9	12
1961	1.5	2	30.5	20.01	66.01	185.51	304.51	177.02	67.02	28.5	60	0.01	942.59	78.5	12
1962	0	0	0	10	25.5	242.53	162.03	326.02	339.03	66.55	0	0	1171.66	97.6	12
1963	0.01	3	10	8.04	10.52	244.53	239.81	83.74	319.44	5.3	27.52	0	951.91	79.3	12
1964	0	0	0.01	8.04	85.61	438.61	183.73	141.85	209.93	38.7	6.32	5.12	1117.92	93.2	12
1965	6.31	0.62	0.01	0.02	90.92	310.12	205.11	233.81	146.42	118.03	1.5	0.02	1112.89	92.7	12
1966		0.01	6.31	49.13	44.08	352.1	196.5	143.72	224.71	115.2	0.04	5.91	1137.71	103.4	11
1967	5.29	0	3.23	27.46	26.95	300.6	88.34	137.53	193.36	67.84	0.02	11.05	861.67	71.8	12
1968	0.02	0	0	12.2	54.64	179.01	102.53	125.52	259.34	81.32	0.8	6.12	821.5	68.5	12
1969	0	0	0	10.5	6	301	241.1	384	196	57.7	1	0	1197.3	99.8	12
1970	0	0	0	14	52.9	154.3	435.1	153.1	239.5	48.3	0	0	1097.2	91.4	12
1971	0.01	0	0	0	52.5	415.51	165.01	188.02	297.5	121.81	17.71	0	1258.07	104.8	12
1972	0	0	0.2	11.3	180.9	233.2	170.4	139.21	78.2	39.7	22	0	875.11	72.9	12
1973	0	0	0	18.5	85.9	218.4	163.3	351.2	115.2	97.71	14.1	0	1064.31	88.7	12
1974	2.5	0	34.6	0	152.5	109.6	215.5	61.8	161.3	1.3	0.1	0	739.2	61.6	12
1975	0	0	0	5	103.3	263.1	208.8	133.5	410.7	17.7	3.7	0	1145.8	95.5	12
1976	0.3	0.2	0	18.4	36.8	130.7	334.4	134	230.7	38.9	72.1	0	996.5	83	12
1977	0	0	0	27.5	83.5	219.7	118	211.51	198.7	41.8	0.5	2.1	903.31	75.3	12
1978	0	0	0.2	26.7	81.9	187.2	249.1	233.3	259.7	12.4	4.5	1.2	1056.2	88	12
1979	0	0	2.5	40.2	65.9	69.7	240.6	422.2	164.8	46.5	0	0.5	1052.9	87.7	12
1980	5.2	0	0	1.5	81.8	92.1	277.8	186.1	171.2	22.4	2.8	0	840.9	70.1	12
1981	0	0	0.2	90.1	114.3	203.8	208.2	306	197.8	67.6	10	0	1198	99.8	12
1982	0	1.5	0.01	18.5	38.2	234.4	129.3	88.4	163.6	139.1	2	1	816.01	68	12
1983	0	44.1	62.3	0	22.5	240.4	188.8	183.5	254.7	87.6	2	5	1090.9	90.9	12
1984	0	0	0	0	134.1	264.5	239.6	182.8	156.71	11.5	0	0	989.21	82.4	12
1985	0	0	7.5	19	36.5	235.2	241.7	204.8	129	25.9	31	0	930.6	77.6	12
1986	0	0	0	8.7	139	45.4	188.3	105.9	99.4	107.61	1.5	0	695.81	58	12
1987	0	0	3.3	0	36.6	223.5	112.2	151.4	211.2	0	0	0	738.2	61.5	12
1988	0	0	0	2.5	46.3	422	114.2	467.7	206	29.6	0	0	1288.3	107.4	12
1989	0	0	0	8	160.1	79.2	194.5	196.1	269	53.3	88.8	0	1049	87.4	12
1990	0	17.5	0	63.3	58.2	250.7	126.3	131.7	78.7	28.6	3.6	7.5	766.1	63.8	12
1991	0	0	0	4.7	28.1	265.9	58.1	54.3	218.8	100.8	0	5.3	736	61.3	12
