COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7094 
 NOMBRE    : LA MESILLA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TZIMOL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.18416667 ° 
 LONGITUD  : -92.2875 ° 
 ALTITUD   : 1210 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1971						31	60	47	40.5	21.5	6.5	0.01	206.51	29.5	7
1972		0	0	0	31	85	46	14	19	21	29	25	270	24.5	11
1973	0	0	0	6	20	53	32						111	15.9	7
1974	0	0	8	15	29	86	28		70	14	11	2	263	23.9	11
1975	4	0	42	0	47		56	39	63	49	15	0	315	28.6	11
1976	4	0	4	20	50	43	65	50	53	49	4.5	3	345.5	28.8	12
1977	0	0	0	32	32	20	8	25	44	20	33	11	225	18.8	12
1978	0	3	3	14	75	35	35.5		58	15	21	10	269.5	24.5	11
1979	0	0	3		23	40	66	36	35	20	3	4	230	20.9	11
1980	23	0	0	17	20	21.5	32.5	46.5	40		40	0	240.5	21.9	11
1981	0	0	10	33	26.5	85.5	28.5	62.5	42.6		0	8	296.6	27	11
1982	0	11.5	15.5	56.5	74.5	45	78.5	37	61.5	80.5	2	0	462.5	38.5	12
1983	0	43	20.5	0	17.5	76.5	67.5	26	78.5				329.5	36.6	9
1984								98	71	11	0	0	180	36	5
1985	0	0	0	45	38	32	50	86	36	28	17	0	332	27.7	12
1986	0				75	18	17	12	30	50	5	0	207	23	9
1987	0	0	20	0	10	89	18	6	125	18	0	0	286	23.8	12
1988	0	0	0	0	15	68	79	40	50	75	9	0	336	28	12
1989	0	0	0	0	0	82	20	66	40	34	29	0	271	22.6	12
1990	0	0	0	40	0	32	20	26	26	0	0	11	155	12.9	12
1991	0	0	0	13	12	82	0	0	56	22	0	0	185	15.4	12
1992	0	0	0	0	28	59	0	24	57	78	80	0	326	27.2	12
1993	0	0	0	20	30	80	20	55	50	30	0	0	285	23.8	12
1994	0	0	0	0	40	20	25	45	43	30	0	0	203	16.9	12
1995	0	0	0	18	41	62	81	55	59	20	0	0	336	28	12
1996	0	0	0	0	20	66	38	45	66	19	0	0	254	21.2	12
1997	0	0	0	0	40	82	31	40	21	43	0	0	257	21.4	12
1998	0	0	0	0	0	64	40	21	95	22	23	0	265	22.1	12
1999	0	0	0	0	50	41	60	18	63	24	0	0	256	21.3	12
2000	0	0	0	0	45	90.5	14.8	60.6	104.5	35.9	0	0	351.3	29.3	12
2001	0	0	0	0	54.4	85.4	22.5	60.4	90.8	17.4	0	0	330.9	27.6	12
2002	0	0	0	0		71.6	39.6	20.5	48.6	55.8	0	0	236.1	21.5	11
2003										65.2	11	2	78.2	26.1	3
2004	0	1.9	0.6	11.6	16.2	38	28.5	3.4	37	38	0	0	175.2	14.6	12
2005	0	0	6	6	30.5	94	56	97	26	70	0	0	385.5	32.1	12
2006	13	0	3	26	64	31	56.5	36	40	100	7	0	376.5	31.4	12
2007	2.5	3	2	1.5	29.5	32.5	46.3	44.5	70.5	96.5	0	0	328.8	27.4	12
2008	2.4	4	2	10	53	292	60	20	20	18	0	0.01	481.41	40.1	12
2009	2.5	0	0	24	60	60.5	10	40.3	32	40	18	15	302.3	25.2	12
2010	6.2	0	1.4	54.1	39.2	40.2	35	56	75	0	6	0	313.1	26.1	12
2011	0	4.5	4.4	10.1	38	67.2	85.1	80	40.1	60.2	0	0	389.6	32.5	12
2012	0	0	20	47	80	97.9	24.1	80.2	35.1	38	0	8.1	430.4	35.9	12
2013	0	0	0	6.1	14	63	26.4	41.2	30.5	20	7.5	4.2	212.9	17.7	12
2014	6.5	0	10	25	36.5	42	2.1			58	0	0	180.1	18	10
2015	0	0	12.6	18.5	38.1	48	20	22.5	70	44	10	0	283.7	23.6	12
2016	0	0	0	0	10	62.5	12	62.1	75	72.5	9.8	0	303.9	25.3	12
2017	4.1	0	0	0	21	124.1	9.5	50.3	49	25	0	0	283	23.6	12
2018	0	0	0	9.1	42.1	29.2	10.5	10					100.9	12.6	8
2019								35.1	49.5	72.5	0	5.1	162.2	32.4	5
2020	0	11.5	10.1	0	23.1	196	10	43	26	8.3	40	6.1	374.1	31.2	12
2021	0	0	0	0	51	40	14	55	78	39	13.1	5.2	295.3	24.6	12
2022	20	0	0	0	23.2	60	15	30	48	19	10.1	5.5	230.8	19.2	12
2023	1.2	0	0	2.1	11.2	30							44.5	7.4	6
MÍNIMA	0	0	0	0	0	18	0	0	19	0	0	0	44.5	7.4	3
MÁXIMA	23	43	42	56.5	80	292	85.1	98	125	100	80	25	481.41	40.1	12
MEDIA	1.9	1.7	4.1	12.4	33.8	65.2	34.7	41.9	52.9	38	9.4	2.6	270.7	24.8	10.9
DESV.ST	4.8	6.6	8	15.9	20.2	45.8	23.2	23.3	22.8	24.8	15.1	4.9	90.6	6.8	2.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1971						106	120	126.5	156	85.83	7.03	0.01	601.37	85.9	7
1972		0	0	0	31	331	130	36	39	54.5	59	25	705.5	64.1	11
1973	0	0	0	6	42	220	78						346	49.4	7
1974	0	0	11	29	84.5	254	83.5		290	37	16	2	807	73.4	11
1975	4	0	42	0	61		99	75	262	210.5	35	0	788.5	71.7	11
1976	4	0	5	44	71.5	320.5	106	147	77	173	6.5	3	957.5	79.8	12
1977	0	0	0	42	118	86	13	116	181	56	35	26.5	673.5	56.1	12
1978	0	6	9	53	123	123	142		174	55	42	10	737	67	11
1979	0	0	3		62	233	318	171	216	46	3	4	1056	96	11
1980	23	0	0	19	55	112	111.5	140.5	203.5		43.5	0	708	64.4	11
1981	0	0	15	54.5	104	598	117.5	272.8	239.7		0	8	1409.5	128.1	11
1982	0	15.5	16.5	114.5	227	183	78.5	50	364	209	2	0	1260	105	12
1983	0	56.5	34.5	0	31.5	329	104.5	114.3	200.72				871.02	96.8	9
1984								198	415	27	0	0	640	128	5
1985	0	0	0	58	120	156	104	189	184	86	21	0	918	76.5	12
1986	0				363	47	30	29	98	97	5	0	669	74.3	9
1987	0	0	20	0	21	262	69	19	297	18	0	0	706	58.8	12
1988	0	0	0	0	46.1	308	93	272	168	162	9	0	1058.1	88.2	12
1989	0	0	0	0	0	232	20	306	280	138	46	0	1022	85.2	12
1990	0	0	0	92	0	136	56	46	83	0	0	21	434	36.2	12
1991	0	0	0	13	22	275	0	0	200	103	0	0	613	51.1	12
1992	0	0	0	0	28	269	0	66	141	116	150	0	770	64.2	12
1993	0	0	0	20	82	208	37	152	175	43	0	0	717	59.8	12
1994	0	0	0	0	68	53	45	145	241	73	0	0	625	52.1	12
1995	0	0	0	33	82	258	209	429	217	75	0	0	1303	108.6	12
1996	0	0	0	0	24	374	111	219	195.5	66	0	0	989.5	82.5	12
1997	0	0	0	0	65	139	71	60	120	65	0	0	520	43.3	12
1998	0	0	0	0	0	113	103	72	292	61.5	28	0	669.5	55.8	12
1999	0	0	0	0	100	277	157	99	306.5	129.8	0	0	1069.3	89.1	12
2000	0	0	0	0	160	153.8	14.8	229.8	399.7	57.8	0	0	1015.9	84.7	12
2001	0	0	0	0	223.2	147.2	39.3	166.7	291.6	27.6	0	0	895.6	74.6	12
2002	0	0	0	0		347.6	82.9	20.5	217.5	74.2	0	0	742.7	67.5	11
2003										130.4	29.1	2	161.5	53.8	3
2004	0	1.9	0.6	30.4	53.6	124.2	28.5	6.9	164.4	203.2	0	0	613.7	51.1	12
2005	0	0	6	9.7	122.5	349.6	163.32	340.01	179.3	191.31	0	0	1361.74	113.5	12
2006	13	0	5	37	179.2	164.51	182.3	96	92.01	231.02	8.5	0	1008.54	84	12
2007	2.52	3	2	1.5	95.5	130.4	110.3	124.2	339.7	333.22	0	0	1142.34	95.2	12
2008	2.4	7.01	2.01	10	143.51	491.62	238.52	132.8	183.41	95	0	0.01	1306.29	108.9	12
2009	2.5	0	0	24	126.6	255	49	97.1	124.3	173.8	73	38.7	964	80.3	12
2010	7.51	0	1.4	87.7	171.5	255.9	214.3	286.12	283	0	9	0	1316.43	109.7	12
2011	0	8.7	12.1	10.1	87.7	231.6	361.91	198.2	230.41	203.7	0	0	1344.42	112	12
2012	0	0	39	61	179	199.6	61.6	315.8	91.5	73.6	0	8.1	1029.2	85.8	12
2013	0	0	0	7.1	35.5	219.4	84.2	261.4	141.9	126.2	8.6	10.7	895	74.6	12
2014	6.7	0	25	38	96.1	183.5	2.1			94.5	0	0	445.9	44.6	10
2015	0	0	20.7	23.5	38.1	95.5	32.7	44.1	163.3	108.9	30.6	0	557.4	46.5	12
2016	0	0	0	0	20.1	237.8	12	175.2	182.6	112.6	9.8	0	750.1	62.5	12
2017	4.1	0	0	0	57.5	521.7	17.5	197.3	215.5	100.7	0	0	1114.3	92.9	12
2018	0	0	0	9.1	109.4	119.5	14.5	18.5					271	33.9	8
2019								125.9	185.4	406.6	0	5.1	723	144.6	5
2020	0	16.5	20.1	0	91.1	347.7	10	138.3	145.9	19.9	40	15.1	844.6	70.4	12
2021	0	0	0	0	133.2	51	33.8	130.6	311.1	79.8	14.6	5.2	759.3	63.3	12
2022	23.5	0	0	0	50.4	121.8	29.4	85	372.6	53.8	28.5	7.5	772.5	64.4	12
2023	1.2	0	0	2.1	24.5	40.1							67.9	11.3	6
MÍNIMA	0	0	0	0	0	40.1	0	0	39	0	0	0	67.9	11.3	3
MÁXIMA	23.5	56.5	42	114.5	363	598	361.91	429	415	406.6	150	38.7	1409.5	144.6	12
MEDIA	2	2.4	6	19.8	88.1	220.2	89.6	143.4	211.1	108.2	15.5	3.9	825.4	75.9	10.9
