COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7095 
 NOMBRE    : LA NUEVA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TUZANTÁN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.21666667 ° 
 LONGITUD  : -92.38333333 ° 
 ALTITUD   : 240 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962					27	243	76	111	95.5	40.5	18	3.5	614.5	76.8	8
1963	3.5	14	20	41.6	20	104.5	80	54.5	189.5	19.5	81.5	0.01	628.61	52.4	12
1964	0	17.5	17.5	12.5	30.5	75	85	94.5	70	54.5	30	16.5	503.5	42	12
1965	41.5	0	17.5	45.5	34	95.5	59.5	79.1	86		66	2.1	526.7	47.9	11
1966	0	25	0.01	37.5	51.5	112.5	70.5	49	97	106.5	11	3	563.51	47	12
1967	18.5	0	13	61.5	52	79.5	103	65.5	124.5	63	31.5	62.5	674.5	56.2	12
1968	21	7.5	11.5	31.5	68.5	77.5	84.5	58.5	65	152.5	7	21.5	606.5	50.5	12
1969	1	13.5	13.5	38	74	77.5	73	162	174	78	54	6.5	765	63.8	12
1970	2	0	3.5	29.5	43	55.5	103.5	56	155	206	42	2	698	58.2	12
1971	34.5	12.5	15	13.5	54	71	55	84	108	70	30	18	565.5	47.1	12
1972	17	4	50	30	42	75	54	123	89	50	34	5	573	47.8	12
MÍNIMA	0	0	0.01	12.5	20	55.5	54	49	65	19.5	7	0.01	503.5	42	8
MÁXIMA	41.5	25	50	61.5	74	243	103.5	162	189.5	206	81.5	62.5	765	76.8	12
MEDIA	13.9	9.4	16.2	34.1	45.1	97	76.7	85.2	114	84	36.8	12.8	610.8	53.6	11.5
DESV.ST	15.2	8.5	13.4	14.5	16.9	51	17	35.1	41.8	56.6	22.8	18.1	77.5	9.8	1.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962					94.51	1182	407.53	703.52	619.14	227.15	46.57	3.52	3283.94	410.5	8
1963	3.51	23.02	38.53	64.75	112.13	600.12	442.05	434.66	893	101.2	281.13	0.1	2994.2	249.5	12
1964	0	29.5	33.5	64	207	506	809	685.51	493.51	245.52	111.02	50.01	3234.57	269.5	12
1965	66.51	0	34.5	63.5	122.51	793.02	343.01	567.03	619.71		124.5	4.1	2738.39	248.9	11
1966	0	27.5	0.01	171.13	221.53	513.53	418.02	534.52	632.53	570.51	19.07	5.01	3113.36	259.4	12
1967	18.5	0	25.52	168.01	272.05	564.51	375.11	472.03	863.53	285.55	146.08	71.53	3262.42	271.9	12
1968	29.13	7.51	11.5	54.53	365.53	684.53	441.93	440.02	610.01	685.5	25.52	29.51	3385.22	282.1	12
1969	2	13.7	41	121.2	192.52	662.5	506.5	1145.7	721.5	463.5	164	6.5	4040.62	336.7	12
1970	2	0	3.5	66	210.5	435	624	551	1012.5	622.5	80	2	3609	300.8	12
1971	53.58	19.01	21.04	19.51	337.81	318.53	322	709	875	549	180	48	3452.48	287.7	12
1972	26	4	71	59	354	450	337	638	479.5	258	162	5	2843.5	237	12
MÍNIMA	0	0	0.01	19.51	94.51	318.53	322	434.66	479.5	101.2	19.07	0.1	2738.39	237	8
MÁXIMA	66.51	29.5	71	171.13	365.53	1182	809	1145.7	1012.5	685.5	281.13	71.53	4040.62	410.5	12
MEDIA	20.1	12.4	28	85.2	226.4	610	456.9	625.5	710.9	400.8	121.8	20.5	3268.9	286.7	11.5
DESV.ST	23.9	11.7	20.8	50.8	96.5	230.8	145.3	199.8	175.6	200.7	77.5	25.1	363.6	49.6	1.2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962					77.2	122.6	108.2	109.4	112.6	98.1	100.1	90.2	818.4	102.3	8
1963	110.2	121.9	145.2	121.3	121.7	105.2	99.8	109.4	77.5	79.4	69.7	74.3	1235.6	103	12
1964	86.4	109.4	134.1	124.3	114.7	77	100.3	93.4	92.3	85	76.6	61.4	1154.9	96.2	12
1965	72.8	99.3	130.6	117.7	119.3	104.4	101	113.2	99.1		79.9	75.5	1112.8	101.2	11
