COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7096 
 NOMBRE    : LA PIMIENTA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LAS MARGARITAS 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.31666667 ° 
 LONGITUD  : -91.78333333 ° 
 ALTITUD   : 1120 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964			26.5	22.5	35	32	56.8	22	44.5	50.5	28	12	329.8	33	10
1965	7	14	4	0.01	20	46	47	62.5	62.5		20	7	290.01	26.4	11
1966	24	11.5	10	24	17	44	57.5	33	66	100			387	38.7	10
1967					5	40	40	63.3	55.5	79.2	37.4	6.7	327.1	40.9	8
1968	27.2	12.3	10.7	14.1	38.4	56.1	62.3	72.3	80	40	41.3	12	466.7	38.9	12
1969	9.1	95.9	11.6	50.4	41	36.9	106.3	55.3	108.2	34.5	18	7.8	575	47.9	12
1970	9.4	11.2	2.6	22.2	9.7	84.8	44.8	69.5	99.7	43.9	9.3	28.5	435.6	36.3	12
1971	19.8	8.6	3.5	29.2	13.6	41	58.5	65	86.7	38.4	18.7	20.5	403.5	33.6	12
1972	28.5	3.8	9.7	25.3	18.6	88	105	67.3	56	55	60	12.1	529.3	44.1	12
1973	6.5	4.7	3.1	5.8	51.3	77.7	69.4	92.4	41.1	60.2	39.7	20	471.9	39.3	12
1974	43	10	6.6	32.5	40.5	33.6	78.2	28.6	58.9	42	20	23.6	417.5	34.8	12
1975	14.5	10.7	14.7	2.4	42.5	38.4	80	43	79.2	58	20	15.8	419.2	34.9	12
1976	32.9	21.5	4.8	57.7	23.7	79	51.5	46	70.2	45.1	15.5	19.3	467.2	38.9	12
1977	7.2	20.8	3	19	42.7	48.8	42.9	57	49.3	27.7	23.4	18.1	359.9	30	12
1978	21.9	11.1	9	13.7	59	66.5	68	54.3		40	89.6	38	471.1	42.8	11
1979	8	17.2	15.1	52.2	55	38.7	60	96.9	71.4	36.5	20	20	491	40.9	12
1980	13	19	14.4	31.5	31.5	60	66.8	60	41.6	26	28.8	26.1	418.7	34.9	12
1981	9.7	20	49.6	23.2	35	112.7	73.6	100	70.5		5	15.5	514.8	46.8	11
1982	16.6	16.2	11	56	86.5	44.8	52.7	50	57	21.5	26.6	19.5	458.4	38.2	12
1983	22.8	28	16.6	10.2	50.5	95.5	61.1	42.7	55.8	25.2	33.6	12.4	454.4	37.9	12
1984	9.5	15.1	8.2	2.3	78.2	55	63.8	65.3	94.4	34.9	5.2	44	475.9	39.7	12
1985	18.5	16.4	15.2	3	34.2	60.3	45.4	48.7	43	38	40	14.9	377.6	31.5	12
1986	10.3	10	5.7	5.7	61.5	80	63.2	64.8	64.5	38	33.5	22.5	459.7	38.3	12
1987	10.3	11.1	13.1	30	12.5	85	64	45	32	20.5	8.5	23	355	29.6	12
1988	12.5	35.2	12.5	12.9	17.6			46.5	56	25	29.8	15	263	26.3	10
1989	18.5	14.5	3.6	15.1	36.4	68.5		42.5	46.7	40.3	41.5	32.5	360.1	32.7	11
1990	41.3	10.7	16.5	34.2	64.5	63.5	31.7	40.4	40.2	45.5	33.4	36.5	458.4	38.2	12
1991	10.5	18.2	3	10.6	70.1	82.4	79.5	112.1	81.5	58.3	23.2	40.8	590.2	49.2	12
1992	14.8	14.1	15	18.5	24.5	69.4	65	64.2	52.8	14.5	34.6	39	426.4	35.5	12
1993	36	7	8.5	20.8	35.8	85	50.5	103.5	63.2	30	31.7	20.8	492.8	41.1	12
1994				20.8	15	58	86						179.8	45	4
MÍNIMA	6.5	3.8	2.6	0.01	5	32	31.7	22	32	14.5	5	6.7	179.8	26.3	4
MÁXIMA	43	95.9	49.6	57.7	86.5	112.7	106.3	112.1	108.2	100	89.6	44	590.2	49.2	12
MEDIA	18	17.5	11.3	22.2	37.6	62.4	63.2	60.5	63	41.7	28.8	21.5	423.5	37.6	11.3
DESV.ST	10.6	16.8	9.3	15.9	20.9	21.1	17.4	22.2	18.9	18.1	17	10.4	88.2	5.8	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964			57.6	45.53	99.52	171.52	315	172.77	319.82	217.08	122.04	119.98	1640.86	164.1	10
1965	46.3	55.47	19.41	0.05	83.02	301.05	290.91	298.36	523.72		96.04	39	1753.33	159.4	11
1966	75.48	24.74	49.19	78.68	42.63	361.16	297.56	210.55	371.83	304.29			1816.11	181.6	10
1967					5.03	317.01	209.35	367.24	214.94	335.23	110.18	22.32	1581.3	197.7	8
1968	149.9	30.8	31.4	38.7	234.91	433.9	458.6	455.4	505.6	239.3	132.1	66.1	2776.71	231.4	12
1969	46.3	135.6	68	69.21	124.4	285.2	614.6	605.3	487	288.6	95.1	51.63	2870.94	239.2	12
1970	52.71	51.2	10.6	28	35.8	406.3	521.9	453.2	487.1	288.8	45.51	112.4	2493.52	207.8	12
1971	63.1	21.3	11.7	34.6	39	237.9	305.2	487.8	454.2	253	108.8	134.4	2151	179.2	12
1972	83.2	16.3	23.8	67.8	35.2	479.8	572.6	381.6	359.2	257.8	151.4	50.21	2478.91	206.6	12
1973	20.3	18.43	4.1	16.4	152.71	420.2	362.9	657.4	217.4	497	212.7	37.9	2617.44	218.1	12
1974	196.4	40.6	20.01	83.9	176.8	230.5	493	239.1	287.1	324.9	82.5	84.7	2259.51	188.3	12
1975	96.6	28.5	26.5	5.2	80.7	189.5	338.5	324.8	558.5	368.9	171.4	115.7	2304.8	192.1	12
1976	94.6	49.6	11.9	80.4	144.11	561.9	373.3	325	458.5	124.1	99.2	83.9	2406.51	200.5	12
