COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7100 
 NOMBRE    : LA UNION 
 ESTADO    : CHIAPAS 
 MUNICIPIO : HIDALGO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.665 ° 
 LONGITUD  : -93.80083333 ° 
 ALTITUD   : 580 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962									35	20	5.5	3	63.5	15.9	4
1963	3	10.5	11	0.01	5	52.5	45	55	2	10	55	4.5	253.51	21.1	12
1964	5.5	5.5	10	10.5	34	32.5	25.5	55	35	66	15.5	16.5	311.5	26	12
1965	10		3.5	7.5	21.5		19						61.5	12.3	5
1968										20	12	5	37	12.3	3
1969		0	1.5	5	2	52	30	33	53.5	19.5	40	0	236.5	21.5	11
1970	4.5	0	0	2	17.5	24.5	46.1	29.5	49.5	10	3.5	1.5	188.6	15.7	12
1971	0	0	0	1.5	36	48.3	40	89.3	14	120.1	10	10.5	369.7	30.8	12
1972	0	0			0	21.6	26.5	15	63	0.6	25.6	0	152.3	15.2	10
1973	0	0	0	0	29		50	155.5	35	14	5		288.5	28.9	10
1974	0	0	59	10	60	106	64	31.5	6.5	0.8	2		339.8	30.9	11
1975	0	0	0	0	2.5	13	20	2.5	0.6	0.8	1	0	40.4	3.4	12
1976	0	0	0	0.5	20	20	38	36	40	0	0	6.6	161.1	13.4	12
1977	0	0	0	0	3	6	12	80	24	4	13.5	0	142.5	11.9	12
1978	0	12	2	0	17	46	50	40	20	8	0	5	200	16.7	12
1979	0	0	0	5	25	0	60	40	46	0	3		179	16.3	11
1980	1	0.3	0	0		40.8	47	34	43.7	2.1	2	2	172.9	15.7	11
1981	0	4	0	3	12		56.5	46.2	27	11	4.5	1	165.2	15	11
1982	1	0	2.5	32	11.3	50	22	8	9.5	0	0	0	136.3	11.4	12
1983	0	9			0	15	25	20.4	27.5	30.7	1	3	131.6	13.2	10
1984	0	0	0	0	45	45	29.5	68.5	110.5	6.2		1.2	305.9	27.8	11
1985	0	3.2	0	0	0	30.5	28	44	15.1	17.2	0	0	138	11.5	12
