COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7101 
 NOMBRE    : LAS DELICIAS (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA TRINITARIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.96666667 ° 
 LONGITUD  : -91.86666667 ° 
 ALTITUD   : 900 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970	6.5	0	0	0	0	13.5	20	5.6	7.7	6	0.2	0	59.5	5	12
1971	0	0.01	0	14	0	22	20	70	63	40	27	2	258.01	21.5	12
1972	13	5	0	2	27	64	72	7	11	14	60	20	295	24.6	12
1973	20	1	10	16	28	80	60	80	68	81	4	11	459	38.2	12
1974	0		1	3	14	30	20	16	60	26	7	1	178	16.2	11
1975	5	2	0	0	32	26	26	28	98	100	15	1	333	27.8	12
1976	0	0	0	7.5	40	38	25.5	24.5	20.5	27.5	27.5	6	217	18.1	12
1977	0	0	0	0	18	72	5	35.5	22	8.5	44	5	210	17.5	12
MÍNIMA	0	0	0	0	0	13.5	5	5.6	7.7	6	0.2	0	59.5	5	11
MÁXIMA	20	5	10	16	40	80	72	80	98	100	60	20	459	38.2	12
MEDIA	5.6	1.1	1.4	5.3	19.9	43.2	31.1	33.3	43.8	37.9	23.1	5.8	251.2	21.1	11.9
DESV.ST	7.5	1.9	3.5	6.5	14.6	25.2	22.7	27.8	32.8	34.7	20.9	6.8	117.6	9.7	0.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970	9.4	0	0	0	0	31.8	88.9	32.6	25.2	10.5	0.2	0	198.6	16.6	12
1971	0	0.01	0	19	0	62	59	249.5	440	135	46	3	1013.51	84.5	12
1972	17	5	0	2	45	314	203.5	24	35	19.5	81.5	33	779.5	65	12
1973	22	1	15	32	61	206	124	381	131	283	8	20	1284	107	12
1974	0		2	4	50	222	70	46	305	61	11	2	773	70.3	11
1975	8	3	0	0	85	89	84	56	378	313	22	1	1039	86.6	12
1976	0	0	0	7.5	72.5	210.6	99	85	94.5	65	112.4	40	786.5	65.5	12
1977	0	0	0	0	49.5	315.5	10.3	178.8	95.5	26	56	7	738.6	61.6	12
MÍNIMA	0	0	0	0	0	31.8	10.3	24	25.2	10.5	0.2	0	198.6	16.6	11
MÁXIMA	22	5	15	32	85	315.5	203.5	381	440	313	112.4	40	1284	107	12
MEDIA	7	1.3	2.1	8.1	45.4	181.4	92.3	131.6	188	114.1	42.1	13.2	826.6	69.6	11.9
DESV.ST	8.7	2	5.2	11.6	31	109.4	55.8	128.1	162	120.2	39.6	15.8	315.8	26.2	0.4

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970	190.4	206.4	279.6	282.4	281.5	218.5	187.2	225.9	247.8	182	148.8	197.2	2647.7	220.6	12
1971	137.37	262.2	298.68	289.74	327.31	249.45	274.94	188.7	183.32	151.93	152.38	206.49	2722.51	226.9	12
1972	216.1	245.6	260.7	268	266.6	215.8	249.7	236.4	238.2	218	162.3	193.8	2771.2	230.9	12
1973	202.4	225.5	292.6	263.6	241.2	181	237	162.4	157.2	124.9	180	170.6	2438.4	203.2	12
1974	211.8		298.8	323.3	327.7	217.7	233.7	255.3	177.7	187.2	206.5	193.8	2633.5	239.4	11
1975	200.8	222.4	212.2	248.7	291.3	248.7	224.7	216	124.1	186.2	167	191.3	2533.4	211.1	12
1976	188.5	227.4	258.2	326.6	262.7	138.2	179.1	203.3	204.4	162.5	171.6	166.1	2488.6	207.4	12
1977	216.6	197.8	268.7	252.1	256.4	253.2	228.6	200.1	125	191	141.1	164.2	2494.8	207.9	12
MÍNIMA	137.37	197.8	212.2	248.7	241.2	138.2	179.1	162.4	124.1	124.9	141.1	164.2	2438.4	203.2	11
MÁXIMA	216.6	262.2	298.8	326.6	327.7	253.2	274.94	255.3	247.8	218	206.5	206.49	2771.2	239.4	12
MEDIA	195.5	226.8	271.2	281.8	281.8	215.3	226.9	211	182.2	175.5	166.2	185.4	2591.3	218.4	11.9
DESV.ST	25.8	21.9	28.8	30	32	39.4	31.3	29	46.6	28.3	20.6	16	120.2	13	0.4

TEMPERATURA MÁXIMA PROMEDIO
