COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7104 
 NOMBRE    : LAS MARGARITAS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LAS MARGARITAS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.31055556 ° 
 LONGITUD  : -91.97472222 ° 
 ALTITUD   : 1512 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962							11	54	77	20	3	4	169	28.2	6
1963	2	3	11.5	20	6	30	36	30	25	15	20	3	201.5	16.8	12
1964	5	0	10	0	87	26	35	20	25	20	12	15	255	21.2	12
1965	3	4	0	0	18	36	14	40	28	78	12	4	237	19.8	12
1966	4	7	0	20	30	48	42	46	84	34	43	13	371	30.9	12
1967	10.5	6	4	69	13.5	32	16	32	32	27.5	10	3.5	256	21.3	12
1968	4.5	12	1.5	0	43	49.5	47.8	24.5	44	39.5	15.5	9.5	291.3	24.3	12
1969	14.5	17.5	0	22	30	61.5	44.5	53	58	18.5	6	1	326.5	27.2	12
1970	8.5	0	4	26.5	34.5	24.5	25.5	63.5	53.5	78	11	6.5	336	28	12
1971	0	0	0	0	67.5	44.7	91.5	62	51.3	34	17.2	16.5	384.7	32.1	12
1972	3.5	2	2.5	3.5	36.5	45.5	66.5	17.5	11.5	24	11.5	6.8	231.3	19.3	12
1973	9.8	1.5	1	23.5	38.5	81	57.4	43.5	15.8	46.5	19	3.3	340.8	28.4	12
1974	6	6	13.5	6.8	60	75.5	25.6	18.5	62.5	23.5	3	4.2	305.1	25.4	12
1975	2.4	1.5	6.2	0	26.5	24.6	49.5	24	32.8	41	13.7	4.2	226.4	18.9	12
1976	6.7	1.4	0	19.8	19.5	31.7	38	9.7	21	24.7	17.2	11.2	200.9	16.7	12
1977	2	8.2	0	12	25	36.5	24.8	14.5	26.5	52.4	9.5	10.4	221.8	18.5	12
1978	2.5	5.6	17.3	14.5	35	34	42.5	52	19.5	63	33.5	8	327.4	27.3	12
1979	2	2.5	2.5		32.7	57.5	58	64.8	47.5	41.5	4.5	7.5	321	29.2	11
1980	44.5	22.5	5.5	31	58	29.5	31.5	44	19	51.5	17	3.5	357.5	29.8	12
1981	3.5	10.5	9	3	59.5	88	20	45.5	23.5	39.5	0	2.5	304.5	25.4	12
1982	3.5	7	4.5	15.5	49.5	32	21.5	27.5	53.5	51.5	4.5	6.5	277	23.1	12
1983	0	35.5	16.5	4.5	23.5	36.5	54.5	72	13.5	25.5	18.5	44.5	345	28.8	12
1984	9.5	33.5	3	35.5	66.5	29.5	47.5	30.5	42.5	23.5	2.5	4.5	328.5	27.4	12
1985	3.5	3	4.5	14.5	10	29.5	24.5	25.5	64.5	22.5	19	7	228	19	12
1986	17.5	5.5	0	0	48.5	61.5	33	12	42.5	14.5	5.5	0	240.5	20	12
1987	0	0	13.5	46.5	7.5	33.5	44.5	17.5	22.5	19	3.5	6.5	214.5	17.9	12
1988	8	8.5	37.5	24.5	48.5	82.5	12	89.5	55.5	24.5	16	0	407	33.9	12
1989	4	7.5	3	11	33.5	31	22.5	42.5	75.5	43.5	21.5	6	301.5	25.1	12
1990	7.5	12.5	3	47.5	47.5	38.5	13	21.5	26.5	16.5	28.5	12	274.5	22.9	12
1991	2.5	6.5	7.5	10.5	56.5	23.5	34.5	26.5	30.5	17	9.5	14.5	239.5	20	12
1992	11.5	7.5	38.5	38.5	62.5	63.5	42	26.5	66.5	12	6	5.5	380.5	31.7	12
1993	10.5	2.5	30.5	13.5	25.5	72.5	17	42.5	63.5	36.5	11	4	329.5	27.5	12
1994	12.5	3.5	0	21.5	23.5	35.5	36.5	28.5	44.5	14.5	33.5	5	259	21.6	12
1995	5	7.5	27.5	29.5	43.5	31.5	34.5	77.5	47.5	28	2	4	338	28.2	12
1996	2.5	0.01	41.5	0.01	27.5	44.5	23.5	45.5	23.5	61.5	10.5	5.5	286.02	23.8	12
1997	12.5	41.5	9.5	21.5	9.5	78	24.5	16.5	35	63.5	21.5	21.5	355	29.6	12
1998	4.5	3	1.5	0	17.5	39.5	45	15.5	32.5	75.5	19.5	4.5	258.5	21.5	12
1999	4	9	2	22.5	43.5	26.5	19	22.5	58.5	47.5	21.5	6.5	283	23.6	12
2000	10	2.5	1	1.5	50	24.5	14.5	27.5	48.5	32.5	13.5	3.5	229.5	19.1	12
2001	2.5	8	14.5	2.5	34.5	14.5	48.5	38	54.5	31.5	8	19.5	276.5	23	12
2002	4.5	27	3.5	3.5	17.5	58.5	23	17.5	23.5	57.5	16.5	5.5	258	21.5	12
2003	4.5	25	25.5	3.5	46.5	22.5	28	34.5	43.5	22	25.5	8.5	289.5	24.1	12
2004	12	4.5	20	17.5	24.5	37	47.5	23.5	63.5	48.5	8	0	306.5	25.5	12
2005	4	0	10	3.5	21.5	39.5	47.5	22.5	338.5	48.5	8.5	8.5	552.5	46	12
2006	7.5	7.5	53.5	21.5	65.5	47.5	73.5	32.5	15	17.5	12.5	11	365	30.4	12
2007	7.5	0	6.5	5	12	62	18	39	3	23	6	2	184	15.3	12
