COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7105 
 NOMBRE    : LAS NUBES 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SALTO DE AGUA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.54 ° 
 LONGITUD  : -92.34666667 ° 
 ALTITUD   : 93 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965						77			77.6	70	35	94.4	354	70.8	5
1966	90	120	86.3	38.4	100	80	59	42	141.3	166.6	50.5	94.3	1068.4	89	12
1967	52.7	46	12.2	109.9	60.7	69.6	40.7	42	180	225.8	68.3	166	1073.9	89.5	12
1968	181.3	88.8	24.1	41.2	103	41.4	56.4	41.2	78.2	112.6	41.5	181.1	990.8	82.6	12
1969	140.7	21.5	51.4	41.1	41.2	68.2	63.8	83.6	97.3	89.7	101.8	41.4	841.7	70.1	12
1970	95.1	59.6	40.2	12.5	78	63.5	76.6	160.6	121.1	61.2	141.2	17.7	927.3	77.3	12
1971	23.6	40	86.2	49.7	34.4	76.6	49.7	81.8	66.9	80.2	131.2	19.6	739.9	61.7	12
1972	51.7	109.2	29.5	41.5	38.3	114.1	140.7	61.7	71.4	81.8	81.2	124.8	945.9	78.8	12
1973	36.6	50.3	4.4	81.7	64.9	62.7	51.2	228.7	81.6	54.7	106.6	44.8	868.2	72.3	12
1974	33.1	121.3	9.3	181.9	41.5	53	71.2	41.8	126.3	134.3	50.5	79.7	943.9	78.7	12
1975	140	60	83	7.5	28.9	71.4	22.2	40	60.2	175.2	61.3	66.4	816.1	68	12
1976	66	66	14.7	24.4	59.6	52	46.5	83.6	61.5	74.4	92.4	60.8	701.9	58.5	12
1977	86.5	19.8	27.6	18.5	39.8	69.8	53.3	97	65	107.3	161.1	47.4	793.1	66.1	12
1978	265	46.2	146	17.1	127.4	70.5	41.6	65	76	125.5	88.4	216.7	1285.4	107.1	12
1979	46.7	47.5	56	26	65	96.6	30	66.5	122	64		86	706.3	64.2	11
1980	36	56	90	25		88	75	67	82	75	75	40	709	64.5	11
1981	40	56	60	50	70	83	60						419	59.9	7
1982			60	86.3	97.2	46	81	90	90	80	70		700.5	77.8	9
1983	55.2	27.6	43.7	23.5	22.8	79.5	35.6	35.7	63.4	60.3		81.6	528.9	48.1	11
1984	54.1	62.6	41.3	7.1	92.8	8	72.8	40	64	36	6	22.5	507.2	42.3	12
1985	30.3	87.1	31.5	27.8	73.3	79.1	36						365.1	52.2	7
1986							36				50		86	43	2
1987	76	21	20	19	20	20	4	48.6	95	80	60	0	463.6	38.6	12
1988	120		24	20	30	120		136.5	67	90.5	148.8		756.8	84.1	9
1990			34	13.6	63	112	80	29.5	72.7	69	80.3	190.2	744.3	74.4	10
1991	91	13	18	4	18	80.7	110	40.3	102	80.3	100	52	709.3	59.1	12
1992	67	40	31.5	60.4	120	70.5	27	65	189	80	80	108	938.4	78.2	12
1993	6	60	23	35	31	78	80	85	55	80.5	55	80	668.5	55.7	12
1994	80	30.6	53.5	130	20.6	60	40	75	140.5	60	90	60.6	840.8	70.1	12
1995	80	80	40.3	60	16	100	95	115	90	80	60.8	135	952.1	79.3	12
1996	80	60	45	120.3	120.3	90.8	100.2	103	111	100.6	120		1051.2	95.6	11
