COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7106 
 NOMBRE    : LAS PEÑITAS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OSTUACÁN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.40083333 ° 
 LONGITUD  : -93.45 ° 
 ALTITUD   : 110 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1968	61.4	25.9	12.3	35.4	39.3	70.6	55.2	67.8	109.6	150.5	72.6	66.2	766.8	63.9	12
1969	116.7	40	37.7	15.4	69.6	28.3	47.6	68.9	146.7	64.9	110	38	783.8	65.3	12
1970	127.2	29.3	23.5	26.3		111.9	92.8	171.4	88.5	99.5	48.5	15.4	834.3	75.8	11
1971	21.4	19.5	75.2	61.2	24.2	129.7	61.5	126	83.4	64.6	111.7	67.5	845.9	70.5	12
1972	83	50	15.7	36.5	48.9	178.6	54.2	76.2	79.3	89.6	25	66.3	803.3	66.9	12
1973	38.3	54	4.6	30	71.7	71.5	43.9	123.6	65.9	87.5	91.2	58.3	740.5	61.7	12
1974	45.2	47.5	14.3	167.5	27.5	74.5	33.3	61.8	120.2	133.4	66.3	39.5	831	69.2	12
1975	34.7	32.4	18.4	10	38.9	47.9	67.5	55.4	126.7	116.8	86.5	21.6	656.8	54.7	12
1976	129.8	85.5	63.7	72.1	24.9	51.2	74.2	68.1	40.2	62.5	85.4	50.4	808	67.3	12
1977	27.4	82.7	45.7	16.7	4.5	65.8	34.5	59.4	50.1	42.5	96.4	51.3	577	48.1	12
1978	170.1	42	60.4	17	45.5	45.7	68.1	70.5	148.2	87.6	170.6	105.8	1031.5	86	12
1979	92.8	68.2	50.4		101	118.3	41.8	45.3	120	70.9	56.2	135.3	900.2	81.8	11
