COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7109 
 NOMBRE    : LOS ARCOS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SAN CRISTÓBAL DE LAS CASAS 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.7 ° 
 LONGITUD  : -92.61666667 ° 
 ALTITUD   : 2200 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956										8.5	17.5	2.5	28.5	9.5	3
1957	14.5	43.5	18.5	16.5	16.5	32.5	36.5	38.5	43	7	8	12	287	23.9	12
1958	30	14.5	0	14	24.5	34	29.5	40.5	40.5	24	17	7.5	276	23	12
1959	1.5	2.5	8.5	4.5	28	38.5	18	58.5	20	45.5	14.5	1.5	241.5	20.1	12
1960	12.5	0	0	10.5	40	43	23	47	40.5	25.5	14	0	256	21.3	12
1961	31	6	3.5	34.5	13	28	30.5	32.5	38	45.5	19.5	2.5	284.5	23.7	12
1962	4.5	0	2	41.5	18.5	40	34.5	29	53.5	32	13	7	275.5	23	12
1963	2.5	21	9.5	2.5	17	48	37.5	34	78.5	4.5	26	0	281	23.4	12
1964	3	0	5.5	34.5	20.5	63.5	43.5	33	29	25.5	43	10	311	25.9	12
1965	2.5	7	4.5	2.5	45.5	40.5	23.5	31.5	39.5	86	22	1.5	306.5	25.5	12
1966	9.5	3.5	20	38	18	53	32.5	27.5	24	18.5	8	1.5	254	21.2	12
1967	22	43.5	2	44	12	38.5	6	24	65	37.5	9	1	304.5	25.4	12
1968	3.5	3	4	10	65	25	33.5	17.5	22	35.5	3	9	231	19.2	12
1969	29.5		3.5	27	47	47.5	44.5		62	29.5	24		314.5	34.9	9
1970	7	2	2	10.5	41	29.5	23.5	36.5	47.5	16	10.5	20	246	20.5	12
1971	12.5	32	2.5	9.5	32	21.5	15	35	49.5	28.5	27	14.5	279.5	23.3	12
1972	10.5	6.5	15.5	16.5	34	55	26.5	14	16.5	18	54.5	19.5	287	23.9	12
1973	10.5	10	8	10.5	38.5	53.5	30.5	55.5	17.4	17.3	12	2.5	266.2	22.2	12
1974	8.4	2	9.5	20.5	19.8	41.7	48.6	25	47	8.3	16	0	246.8	20.6	12
1975	22.6	0	5.6	7.4	52.4	35.6	35.5						159.1	22.7	7
MÍNIMA	1.5	0	0	2.5	12	21.5	6	14	16.5	4.5	3	0	28.5	9.5	3
MÁXIMA	31	43.5	20	44	65	63.5	48.6	58.5	78.5	86	54.5	20	314.5	34.9	12
MEDIA	12.5	10.9	6.6	18.7	30.7	40.5	30.1	34.1	40.7	27	18.9	6.2	256.8	22.7	11.2
DESV.ST	9.9	14.5	5.9	13.6	15	11	10.5	11.8	17.4	18.8	12.5	6.6	64.2	4.5	2.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956										11.2	36	10.5	57.7	19.2	3
1957	29	100.6	45.5	35	39	261.5	167	117.5	336.5	13	10.5	18.5	1173.6	97.8	12
1958	52.6	15	0	38.5	83	191	235.5	209.5	306	82.1	42.5	15	1270.7	105.9	12
1959	2.5	5.5	11.5	15	85.5	312.5	56	174.5	123	239	47.5	4	1076.5	89.7	12
1960	14	0	0	15.5	106	331	143	213.9	233.5	157.5	20	0	1234.4	102.9	12
1961	43	6	13	54	42.5	222.5	138.5	156	136.5	204	89.8	10.5	1116.3	93	12
1962	15.5	0	3	89	111.5	175.5	90.5	120.5	253.5	137.5	59.5	7.2	1063.2	88.6	12
1963	3.5	25	22	7.5	34	204.5	168	115.5	240.5	12	44	0	876.5	73	12
1964	7	0	8.5	42	58.5	250.4	183	132.5	188.5	89.5	97	37	1093.9	91.2	12
1965	4.5	23.5	6	4.5	111.5	214	63	228.5	183.5	228.5	37.5	2	1107	92.2	12
1966	9.5	5	45.5	73.5	53	266.5	171.5	201.5	122	108.5	25.5	6.5	1088.5	90.7	12
1967	35	62	5.5	131	27	176	29.5	143.5	225.5	228.5	15	1	1079.5	90	12
1968	8.5	3.5	4	13	211	217.5	148	73	139.5	138.5	11.5	14.5	982.5	81.9	12
1969	40		5.5	59	99.5	218	226.5		344	80.5	63		1136	126.2	9
1970	10.5	2.5	3	35	76	142	191.5	193	256	102.5	20	33	1065	88.8	12
1971	32.01	62.5	5.01	28.01	120.01	168.51	88.51	163.6	259.52	142.23	71.51	75.51	1216.93	101.4	12
1972	45	10	42.5	49.5	73	268.5	141	132	71	76	91.5	96	1096	91.3	12
1973	22.5	16.5	8	18.5	164.5	326	65	415.3	117.8	102.9	22.3	2.5	1281.8	106.8	12
1974	23.2	2	41.7	48	69.7	190.4	184.4	114.3	280.4	27.9	28.2	0	1010.2	84.2	12
1975	53.2	0	5.6	10.4	144.2	127.2	142.6						483.2	69	7
MÍNIMA	2.5	0	0	4.5	27	127.2	29.5	73	71	11.2	10.5	0	57.7	19.2	3
MÁXIMA	53.2	100.6	45.5	131	211	331	235.5	415.3	344	239	97	96	1281.8	126.2	12
MEDIA	23.7	18.9	14.5	40.4	90	224.4	138.6	170.9	212.1	114.8	43.8	18.5	1025.5	89.2	11.2
DESV.ST	17.2	28	16.3	31.9	47.5	58.8	58.5	76.3	80.8	73.3	27.8	26.9	284	20.6	2.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956										33.8	65.4	74.2	173.4	57.8	3
1957	85	59	107.8	92.3	112.2	62.2	113.4	121.6	88.3	77.1	69.5	63.7	1052.1	87.7	12
1958	64.5	76.8	110.5	67.4	94.5		79.8	89.6	70.2	73.1	58.3	56.7	841.4	76.5	11
1959	63.3	77.4	90.8	82.1	90	81.6	80	99.1	85.3	67.6	53.05	63.6	933.85	77.8	12
1960	71.2	90.1	106.1	110.4	97.3	67.8	76.6	90.7	69.7	65.5	69.3	64.4	979.1	81.6	12
1961	58.2	65.2	96	103.9	86.4	79.5	72.1	90.2	70.4	68.5	50.6	62.3	903.3	75.3	12
1962	59.1	85.9	97.9	88.5	82.9	77.9	101.2	87.9	71.3	68.7	72.1	66	959.4	80	12
1963	73.5	82.1	105.6	101.9	108.7	86.7	92.9	112.9	62.9	65.1	65.1	64.4	1021.8	85.2	12
1964	77	90.4	111.2	110.1	110.3	85.4	88.5	104.9	71.1	60.4	69.3	53.5	1032.1	86	12
1965	67	66	105.5	105.7	92.5	76.5	97.7	88.4	68.2	65.4	65.3	66.9	965.1	80.4	12
1966	72.4	78.7	89.6	92.6	105.5	77.4	87.4	89.2	75.2	63.6	67.3	72.8	971.7	81	12
1967	75.9	78.8	113.5	104.4	119.8	94.5	117	109	83.1	67.3	81.3	79.4	1124	93.7	12
1968	81.5	91.6	107.8	125.4	95.6	88.6	111.1	111	93.3	77.5	87.9	71.6	1142.9	95.2	12
1969	93.6		119.2	107.8	99.9	94.6	90.2		70.3	77.1	78.9		831.6	92.4	9
1970	73.6	79	119.7	108.9	102.7	99.6	94.7	95.9	82.5	83.9	84.4	90.8	1115.7	93	12
1971	93.2	84.25	95	103.75	109.85	86.05	92.5	87.1	72.15	77.4	95.25	94.2	1090.7	90.9	12
1972	95	91	98.3	109.8	112.2	69.3	80.4	91.8	90.4	90.9	59.1	91.7	1079.9	90	12
1973	93.7	87.8	113.1	106.1	99.4	82.7	96.3	64.8	64.5	54.5	74.5	75	1012.4	84.4	12
1974	100.7	82.6	92.3	110	111.3	76.6	86.7	94.9	69.8	72.8	60.7	70.6	1029	85.8	12
1975	79.6	59.4	96.9	93.7	104.1	96.5	100.7						630.9	90.1	7
MÍNIMA	58.2	59	89.6	67.4	82.9	62.2	72.1	64.8	62.9	33.8	50.6	53.5	173.4	57.8	3
MÁXIMA	100.7	91.6	119.7	125.4	119.8	99.6	117	121.6	93.3	90.9	95.25	94.2	1142.9	95.2	12
MEDIA	77.8	79.2	104	101.3	101.8	82.4	92.6	95.8	75.5	69	69.9	71.2	944.5	84.2	11.1
DESV.ST	12.9	10.5	9.3	12.8	9.9	10.2	12.4	13.2	9.2	12	11.7	11.6	217.4	8.6	2.3

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961											25.3	21.1		23.2	2
1962	18.9	22.5	23.3	21.9	22.1	22.1	22.7	23.1	23	21.6	21	21.3		22	12
1963	21.3	20.2	23.2	23.9	23.4	23.1	22.5	23.4	21.4	21.2	21.1	20		22.1	12
1964	20.8	22.4	25.1	23.8	24	22.4	22.7	23.3	22.8	20.1	20.4	18.9		22.2	12
1965	19.9	21.4	23.8	25	24	22.6	23	23.1	23.1	20.9	21.5	21.6		22.5	12
1966	20.3	22.6	22.2	23.9	23.7	23	23.5	23.4	22.4	20.6	19.6	20.3		22.1	12
1967	20.4	20.4	22.4	22.2	24	22.3	22.4	22.5	21.4	20.5	20.6	21		21.7	12
1968	19.4	19.9	21.7	24	22.5	22	22.2	22.5	22.7	21.6	21.1	20.5		21.7	12
1969	20.9		22.9	24	23.9	23	22.9		21.4	22.4	20.8			22.5	9
1970	20	21.3	23.9	25	23.1	23.1	23	23.3	21.9	22.6	21.6	22.3		22.6	12
1971	22.2	21.4	23.2	22.4	25.1	23	22.8	22.2	21.8	23.1	23	23.8		22.8	12
1972	23.8	23.3	25.3	26.9	27.3	24.9	23	22.8	23.3	23.6	23.4	22		24.1	12
1973	22.5	23.1	26.5	25.8	24.1	23.3	23.4	22.3	22.5	21.6	20.6	19.4		22.9	12
1974	21.4	21.6	22.7	22.8	25	21.3	21.2	21.7	21.6	21.1	21.2	21.8		22	12
1975	21.4	21.8	24.1	25.7	24.5	23.1	22.4							23.3	7
MÍNIMA	18.9	19.9	21.7	21.9	22.1	21.3	21.2	21.7	21.4	20.1	19.6	18.9		21.7	2
MÁXIMA	23.8	23.3	26.5	26.9	27.3	24.9	23.5	23.4	23.3	23.6	25.3	23.8		24.1	12
MEDIA	20.9	21.7	23.6	24.1	24	22.8	22.7	22.8	22.3	21.6	21.5	21.1		22.5	10.8
DESV.ST	1.3	1.1	1.3	1.5	1.3	0.8	0.6	0.6	0.7	1.1	1.5	1.3		0.7	2.8

