COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7111 
 NOMBRE    : LOS VADOS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA CONCORDIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.03333333 ° 
 LONGITUD  : -92.55 ° 
 ALTITUD   : 510 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962						31.5	50	142.5	114.5	67	3	5	413.5	59.1	7
1963	2.8	1.5	0.01	14	31.5	49	81	51	37.5	16	25.5	0	309.81	25.8	12
1964	0.01	0.1	0	3	34.5	75	44	22.5	49.5	60	3	17.5	309.11	25.8	12
1965	0	11	9	15.5	15	49	28	41	75	46	11.5	1	302	25.2	12
1966	10	0	1.5	23	86	100.5	41	42.5	74.5	120	3.2	0.01	502.21	41.9	12
1967	8.5	0	6.7	70	40	31	42	62.3	55	60	3	7.5	386	32.2	12
1968	11.5	1.5	2.4	20	23	27.9	61.2	26.8	88.8	101.3	7.5	18.9	390.8	32.6	12
1969	1.5	7.2	1.7	5	50	58	45.7	98.2	48	52.4	4.5	0	372.2	31	12
1970	5	0	0	2.8	21.4	56.8	66	67	97.5	50	11.4	2.4	380.3	31.7	12
1971	0	0.01	17.5	34.6	71.6	60.8	65	44.31	39	64.4	38.5	0.01	435.73	36.3	12
1972	2	0	7.6	7.2	51	71	56.6	31.5	40.2	41.5	19	2.8	330.4	27.5	12
1973	0	0	0	9.5	22	48.9	43	98.5	33.5	35	2.7	0	293.1	24.4	12
1974	15.6	7.5	5.5	25.5									54.1	13.5	4
MÍNIMA	0	0	0	2.8	15	27.9	28	22.5	33.5	16	2.7	0	54.1	13.5	4
MÁXIMA	15.6	11	17.5	70	86	100.5	81	142.5	114.5	120	38.5	18.9	502.21	59.1	12
MEDIA	4.7	2.4	4.3	19.2	40.5	55	52	60.7	62.8	59.5	11.1	4.6	344.6	31.3	11
DESV.ST	5.4	3.9	5.3	18.8	22.4	20.8	14.5	35.8	26.8	28	11.3	6.8	106.2	10.8	2.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962						137.51	153.81	585.12	520.4	194	3.01	5	1598.85	228.4	7
1963	2.81	2.51	0.02	39.5	106.54	131.53	311.05	221.51	232.51	45.53	73.03	0	1166.54	97.2	12
1964	0.01	0.1	0	4.5	142	362.53	271.53	153.51	338.12	131.01	7	38	1448.31	120.7	12
1965	0	11.01	13.03	23.51	63.52	325.01	125.54	264	438.03	218.5	40.02	1.01	1523.18	126.9	12
1966	13.51	0	1.51	33.04	268.09	297.1	172.63	249.82	313.46	204.47	3.21	0.02	1556.86	129.7	12
1967	13.01	0	6.74	139.52	76.8	196.98	128.75	275.13	109.17	157.6	3.01	10.6	1117.31	93.1	12
1968	11.5	1.51	2.4	56.14	86.34	180.64	175.14	111.51	324.15	240.12	13.82	22.5	1225.77	102.1	12
1969	1.5	7.2	1.7	8.2	148.7	259.8	239	526.9	332.1	219.7	13.4	0	1758.2	146.5	12
1970	5	0	0	2.8	77.3	269.9	396.4	333.9	426	128.1	17	2.4	1658.8	138.2	12
1971	0	0.01	35.01	54.5	132.11	184.1	263.3	377.02	181.92	236.91	67.21	0.01	1532.1	127.7	12
1972	2	0	11.4	17.7	154.9	286.5	237.3	173.4	162.5	119.1	50	2.8	1217.6	101.5	12
1973	0	0	0	9.5	82.9	328	187.3	557.8	150.7	224.4	7.7	0	1548.3	129	12
1974	17.1	7.5	12.8	57.2									94.6	23.7	4
MÍNIMA	0	0	0	2.8	63.52	131.53	125.54	111.51	109.17	45.53	3.01	0	94.6	23.7	4
MÁXIMA	17.1	11.01	35.01	139.52	268.09	362.53	396.4	585.12	520.4	240.12	73.03	38	1758.2	228.4	12
MEDIA	5.5	2.5	7.1	37.2	121.7	246.6	221.8	319.1	294.1	176.6	24.9	6.9	1342	120.4	11
DESV.ST	6.4	3.9	10.2	38.1	58.4	78	80.6	161.1	128.8	60.2	25.8	11.8	425.7	44.9	2.5

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962						56.7	157.4	156.4	135.6	120.3	97.2	113.7	837.3	119.6	7
1963	131.6	144	224	222.2	183.6	155.3	129.7	149.1	110.2	99.1	85	90.4	1724.2	143.7	12
1964	126.7	147.2	211.1	227.7	193.9	128.6	132.7	143.3	124.2	99.7	97.3	99.6	1732	144.3	12
1965	122	152.1	195.4	207.8	194.4	138.7	139.4	147.2	149.7	103.6	95.5	95.8	1741.6	145.1	12
1966	105.7	137.1	194.6	197	175.8	135.9	135.6	137.8	108.3	97.9	85.4	83.9	1595	132.9	12
1967	101.6	138.8	198.8	185.9	200.8	141.1	149.9	159.2	120.8	100.7	97.3	102.7	1697.6	141.5	12
1968	130.7	146	188.9	195.6	165.9	127.6	146.8	130.3	124.2	103.5	89.3	93	1641.8	136.8	12
