COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7113 
 NOMBRE    : MAPASTEPEC 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MAPASTEPEC 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.45166667 ° 
 LONGITUD  : -92.87611111 ° 
 ALTITUD   : 70 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	1.5	0	8	38	32.5	117	73	98	121	76	161	0	726	60.5	12
1962	0	18	4	23	60	120	122	146.5	108	55	1.5	0	658	54.8	12
1963	0	0	12	16.5	56.5	67	40	81	141	116	96	0	626	52.2	12
1964	0	0	0.5	20.5	52	125	131	76	80	64.5	19.5	16	585	48.8	12
1965	40	1.5	18	17	20	79.5	65	60.5	55	58	22	0	436.5	36.4	12
1966	0	3.5	0	74.5	71	114	53	73	84	51	12.5	0	536.5	44.7	12
1967	0	0	50	22	80	100	50	75	38	40	10.5	0	465.5	38.8	12
1968	0	2	3	35.5	55.5	66	49	49	95	52	0.01	0	407.01	33.9	12
1969	0	1.7	0	41.7	38.7	100.2	80	95	48.2	88.4	12.2	1.7	507.8	42.3	12
1970	0	0	0	15	37.2	84.5	62.4	84.3	91.3	96.3	89.7	0	560.7	46.7	12
1971	4.5	0	2	16.5	4	12	38	44.5	28.5	26	20	7	203	16.9	12
1972	0	0	20	5.3	20	20	16.8	94.3	81.8	67.3	37.8	10	373.3	31.1	12
1973	0	0	5.4	125.5	61.5	73	67.3	69	82	92	26	0	601.7	50.1	12
1974	15	2	5.6	56	118.5	58.8	47.5	108.6	129.3	23.3	15.4	0	580	48.3	12
1975	15.4	0	12.7	1.1	44.3	79.7	90	73	83.2	27.5	19.5	1	447.4	37.3	12
1976	0	0	0	28	50	175	49	48	85	114	23	0	572	47.7	12
1977	0	0	20	18.5	54	63	50	95	64	45	0	31	440.5	36.7	12
1978	5	0	9.5	12	82	111	127	95	166	41.5	22.5	10	681.5	56.8	12
1979	0	1	9	53	66	64	133	100	87	116	17	0	646	53.8	12
1980	28	0	0	24	126	77	65	126	102	40	5	3	596	49.7	12
1981	0	0	9	48	61	72	57.5	72	87	127	0.5	1	535	44.6	12
1982	0	5.5	0	42	71.5	88	40.5	85.5	68.5	38.2	6.5	1.5	447.7	37.3	12
1983	0	58.6	63.5	0	49.5	64.5	69.5	127.5	52.8	53.2	32.5	6.6	578.2	48.2	12
1984	0	0.1		0	66.5	70.5	66.5	76.2	146	47	65.4	0	538.2	48.9	11
1985	0	0	18.7	62	91.5	88.5	86.5	141	79	52.5	46.5	1	667.2	55.6	12
1986	0	6.5	0	42	92.4	50.4	49	58.2	50.5	67	20.8	0	436.8	36.4	12
1987	0	0	0	16.4	144	58.8	122.5	54.4	47.6	7.3	5.6	0	456.6	38	12
1988	0	0	0	0	21.7	81.3	96	158.2	192.3	45.8	28.6	0	623.9	52	12
1989	9.4	0	0	8.3	71.5	94.3	81.5	87.8	91.8	24.7	48.7	0	518	43.2	12
1990	10.5	2.3	15.4	32.4	95.3	98.6	53.6	47.5	77.6	79.5	20.2	13.5	546.4	45.5	12
1991	16.7	0	0	30.2	26.6	82.5	62.8	92	120.5	60.5	30	50.5	572.3	47.7	12
1992	14.5	0	82.5	8.5	58.3	140	62.4	50	75	60	30.6	0	581.8	48.5	12
2002	0	44	0	40.5	54	56.5	98	62	88	55	23	0	521	43.4	12
2003	0	0.01	10.5	5	37.5	84.5	75	59	46.5	40.5	40	0	398.51	33.2	12
2004	5	0	8	0	152	71	71	64	55	57	8	63	554	46.2	12
2005	0	0	17	4	85	105	97	94	256	324	10	10	1002	83.5	12
2006	12	0	0	31	61	133	201	67	66	69	36	23.5	699.5	58.3	12
2007	0	0	41	59	50	90	95	136	80	119	3	2	675	56.2	12
2008	0	4	8	40	57	150	60	75	150	60	0.01	0	604.01	50.3	12
2009	0	0	12	11	63	123	70	82	78	57	39	12	547	45.6	12
2010	0	0	7	61	93	187	136	115	220	20	4	0.1	843.1	70.3	12
2011	9	17	14	46	56	55	84	78	150	54	16	0.01	579.01	48.3	12
2012	0.01	1.5	8.5	20	53	48	82	130	91	105	40	0.01	579.02	48.3	12
2013	0.01	1	0.01	34	171	95	67.5	66	103	72	76	0	685.52	57.1	12
2014	0	6.5	2.5	87	80	173.5	70	61.5	92	126	7.5	0	706.5	58.9	12
2015	0	0	21.5	51	75	82	103.6	32	49	82.5	34	0	530.6	44.2	12
2016	0	0	2.5	34	114	116	64	172	97.9	20	50	0	670.4	55.9	12
2017	92.5	1	10.5	12.5	240.5	115	111	56.5	129.5	142.5	11.5		923	83.9	11
2018	0	3.5	16.5	48	82	124	63	111	79	70	31	0	628	52.3	12
2019	40	7.5	7.5	0.01	69.5	110	65	103	85.5	90.5	44	0	622.51	51.9	12
2020	0		4	13.5	53.5	145	72.5	147.5	74	86	15.5	0	611.5	55.6	11
2021	20	0	30	7.5	90	148	97.5	104	77	50	28.5	0	652.5	54.4	12
2022	0									0		0	0	0	3
2023	0			0			62.5	45	74		95		276.5	46.1	6
MÍNIMA	0	0	0	0	4	12	16.8	32	28.5	0	0	0	0	0	3
MÁXIMA	92.5	58.6	82.5	125.5	240.5	187	201	172	256	324	161	63	1002	83.9	12
MEDIA	6.3	3.7	11.6	29	71.5	94.4	77.4	86.8	94.3	68.9	29.4	5.1	564.1	47.7	11.7
DESV.ST	15.2	10.5	16.4	25.1	40.8	36.8	31.7	32.2	44.1	48	29.8	12.3	156.6	13	1.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	1.5	0	9	72	113	548.5	429.5	517.5	567.5	243	309.5	0	2811	234.2	12
1962	0	18	4	51	201.5	630.5	468.5	678.5	580.5	310.5	1.5	0	2944.5	245.4	12
1963	0	0	15.5	37	348.8	286.5	408.3	380	866.7	251.7	203.7	0	2798.2	233.2	12
1964	0	0	0.5	38.5	180	513.5	598.5	434.5	475.6	197	39.5	56	2533.6	211.1	12
1965	54.5	1.5	22	45	107	509	348.5	336.5	497	307.5	43.5	0	2272	189.3	12
1966	0	3.5	0	141	282.5	655	248	400.5	544.5	181	12.5	0	2468.5	205.7	12
1967	0	0	141	81	247.5	382.5	332	366	385	223.5	27.5	0	2186	182.2	12
1968	0	2	3	82	718.5	457	345.5	530	747.5	172	0.01	0	3057.51	254.8	12
1969	0	1.7	0	55.6	150.9	579.8	545	582.7	351.3	451.4	34.4	1.7	2754.5	229.5	12
1970	0	0	0	28.2	118.7	464.9	360.1	576.8	670.8	516	123	0	2858.5	238.2	12
1971	14	0	5	36.5	14	59.5	105.5	191	164.3	76	58	26	749.8	62.5	12
1972	0	0	20	18.8	198.6	96	103.3	460.5	451	316.1	130.2	13.5	1808	150.7	12
1973	0	0	5.4	125.5	125	273.2	425.1	411.8	363.8	324.5	82.7	0	2137	178.1	12
1974	35.5	2	9.4	107.6	437.9	519.7	348.1	582	558.8	56.8	33.3	0	2691.1	224.3	12
1975	19.9	0	28.7	4.2	172.8	535.6	522.8	623.6	555.9	226.2	62.5	1	2753.2	229.4	12
1976	0	0	0	77.5	151.5	561.5	276	364.5	552.5	380.5	78	0	2442	203.5	12
