COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7115 
 NOMBRE    : PUENTE MARGARITAS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : PIJIJIAPAN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.58888889 ° 
 LONGITUD  : -93.06055556 ° 
 ALTITUD   : 90 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964										76.5	44	24.5	145	48.3	3
1965	7.5	9	31.5	21	74	130	41.2	43	128	60	9.5	0	554.7	46.2	12
1966	0	0	0	59.2	95	88.3	57.9	66.9	77.9	69	9	0	523.2	43.6	12
1967	0	0	16	9.5	57.5	64.5	58	37	61.1	86.5	38	7.5	435.6	36.3	12
1968	0.6	0	0	34	55.5	139	81.5	58.6	94	111.5	11.3	8.4	594.4	49.5	12
1969	0	14.8	0	22.2	18.5	62.5	75	113	88.8	81.5	10.3	1.5	488.1	40.7	12
1970	0	0	0	3.5	33	61.5	63	81.5	72	36.5	77	6.2	434.2	36.2	12
1971	0	0	0	0	64	88.5	81.5	98.5	115	58	23	0	528.5	44	12
1972	0	0	30.5	20.5	50	80.5	62.5	126	75	65.3	67	17.7	595	49.6	12
1973	0	0	5	57	20	47	65.5	86	90	68	18	0	456.5	38	12
1974	23.4	2.3	32.4	25.5	129	50.5	116	58	145	14.5	9	0	605.6	50.5	12
1975	3	0	18.5	8.4	37.5	96	108.8	66	59	76	27.3	4.5	505	42.1	12
1976	0	0	0	59.4	32.5	104	27.5	49	97	66.2	73	0	508.6	42.4	12
1977	0	0	0	41	57	63	96.6	88.5	54.5	146.5	1	10.3	558.4	46.5	12
1978	0	3	16.3	3	85.5	167	111.5	86	200	58	13.5	17.7	761.5	63.5	12
1979	0	0	11.5	46	59.5	45.5	123.5	192.1	73	108	0	0.2	659.3	54.9	12
1980	7.2	0	0	10.5	65.2	60	93.2	81.5	155	23.5	0.1	0	496.2	41.4	12
1981	0	0	3	71	77.4	131.5	107	61.5	34	75	41.5	0.5	602.4	50.2	12
1982	0	41.5	55.5	37.5	87.5	97	39.5	71.5	109	87	11	22.3	659.3	54.9	12
1983	0	24.2	37	0	37.5	65.5	90.5	85	56	78	17.5	63	554.2	46.2	12
1984	0	0		0	69	205	59	107.5	72.5	31	4	0	548	49.8	11
1985	0	0	5.2	17.5	116	99.5	84.5	64		33.5	67.5	0.1	487.8	44.3	11
1986	0	0	0	12	171	70	44.5	59.5	67	59	39.5	0	522.5	43.5	12
1987	0	0	4.2	0	69.5	139.5	87.5	104.5	80	0	0	0	485.2	40.4	12
1988	0	0	3	0	60	83	77.5	217.8	204.5	70	51	17	783.8	65.3	12
1989	0.1	0	1.5	118.5	109	79	79.5	74.5	102	50.5	64.5	0	679.1	56.6	12
1990	0	16.5	63.4	48	104	47	111	85	62	66.7	49	2.2	654.8	54.6	12
1991	5	0	0	58	45.8	159	80	101.5	90.2	45.5	12	41.5	638.5	53.2	12
1992	2	8	113.5	12	68	111.5	95	90	91	50	47.5	3.1	691.6	57.6	12
1993			1.5	84.4	96.5	55.6	74.5	56.4	87.8	106.5	0	0	563.2	56.3	10
1994	0		0	14.2	50.5	72.5	36	43.5	49.3	94.7	28.8	1.8	391.3	35.6	11
1995	0	0	1.5	71.4	69.2	71.5	160.5	108.5	74.5	33.5	35	1.5	627.1	52.3	12
1996	0	0			60.5	48.4	65.2	87.8	51.8				313.7	44.8	7
1997						44.5	86	82.5	148	61.5	101	50	573.5	81.9	7
1998		0	0	0	18.3	105.7	80.5	73.3	341.9	49.1	98.7	0	767.5	69.8	11
1999	0	16.9	0	40	66.5	72.9	74.2	75.2	70.6	90	0	0	506.3	42.2	12
2000	0	0	2.1	13.1	59.2	95.4	37.1	77		63	44.4		391.3	39.1	10
2001	0	4.8	1.3	50		58	35	55.6	57.3	75.3	0.01	0.01	337.32	30.7	11
2002	0	0	0.01	36.8	18.5	64.5							119.81	20	6
2003					75.1		57	46	78.2	46.2	25.4	0	327.9	46.8	7
2004	13	0	6.5	0.5	70.3	43.3	88.9	61.5	73.5	135.5	14	18	525	43.8	12
2005	3.1	0	1.5	7.9									12.5	3.1	4
2018							25	30.5	30.5	30.5	19.5	0.1	136.1	22.7	6
2019	0.1	0	10	10.5									20.6	5.2	4
2022								80	80	80	80		320	80	4
MÍNIMA	0	0	0	0	18.3	43.3	25	30.5	30.5	0	0	0	12.5	3.1	3
MÁXIMA	23.4	41.5	113.5	118.5	171	205	160.5	217.8	341.9	146.5	101	63	783.8	81.9	12
MEDIA	1.7	3.7	12.4	28.8	66.7	86.3	76	81.3	94.8	66.3	31.3	8.2	490.9	45.9	10.5
DESV.ST	4.5	8.6	23.1	28.1	32	38	28.9	35.8	56.2	30.1	28.6	14.7	183.8	15.1	2.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964										229.11	82.81	58.01	369.93	123.3	3
1965	14.5	9	31.5	54.5	279.1	465.7	344.01	361.3	695.24	352.63	17.41	0	2624.89	218.7	12
1966	0	0	0	129.1	411.43	425.2	426.3	489.81	610.01	416.7	9	0	2917.55	243.1	12
1967	0	0	71	26.2	179.2	441.02	339	301.3	521.32	231.51	39.3	10	2159.85	180	12
1968	0.6	0	0	78.91	318.2	609.93	537.82	590.83	679.81	357.61	17.42	14.6	3205.73	267.1	12
1969	0	14.8	0	25.7	111.2	472	493.7	526.3	538.9	499.3	16.8	1.5	2700.2	225	12
1970	0	0	0	8	122.2	479.6	300.8	608.8	766.4	255.2	138.6	6.2	2685.8	223.8	12
1971	0	0	0	0	233.8	453	427.7	669.2	410.5	449.5	75	0	2718.7	226.6	12
1972	0	0	33.5	59.7	244.4	588	274.7	537.1	340.81	229	124	17.7	2448.91	204.1	12
1973	0	0	5	81.9	46	321.1	356.7	518.5	392	414.4	31.8	0	2167.4	180.6	12
1974	28	2.3	49.2	65.3	406.1	432	503.4	459	569.6	31	11.3	0	2557.2	213.1	12
1975	6.5	0	29.4	11.7	214.9	437.1	507.5	539.1	472.3	331.2	51.1	4.5	2605.3	217.1	12
1976	0	0	0	179.6	108.6	662.3	207.4	361.7	485.4	237.1	129.8	0	2371.9	197.7	12
1977	0	0	0	64	275	224.7	372.6	524.8	433	407.2	2.31	24.7	2328.31	194	12
1978	0	3	20.7	10.1	296.7	499.8	617.5	571.3	551.2	173.7	18.9	17.7	2780.6	231.7	12
1979	0	0	13	123	317.4	240.1	445.5	756	456.3	270.4	0	0.2	2621.9	218.5	12
1980	7.2	0	0	15.5	283.4	392.6	717.3	299.4	654.5	137.7	0.1	0	2507.7	209	12
1981	0	0	4.8	190.8	365.1	719.6	407.9	612.3	285.8	445.5	50.5	0.5	3082.8	256.9	12
1982	0	42	56	99.3	528.8	630.4	209	317.4	640.3	187	16.5	22.3	2749	229.1	12
1983	0	52.3	67.5	0	133.2	474.6	571	553.5	378.6	178.6	29.5	63.6	2502.4	208.5	12
1984	0	0		0	242.2	368	377.1	583.8	520.8	126.7	4	0	2222.6	202.1	11
1985	0	0	7.2	20.5	433.5	422.2	345.1	528.7		197.61	125.5	0.1	2080.41	189.1	11
1986	0	0	0	27	532.5	324	334.8	366.92	301.5	172.51	83.8	0	2143.03	178.6	12
1987	0	0	4.2	0	225.5	490.51	677.5	469.51	425.31	0	0	0	2292.53	191	12
1988	0	0	3	0	157.6	600	532.7	879.5	843.6	103.8	56	17.1	3193.3	266.1	12
1989	0.1	0	1.5	122.2	317.5	540.3	577.61	481.91	851.7	186.11	126.5	0	3205.43	267.1	12
1990	0	19.5	65.8	232.8	349.5	464.7	386.2	487.9	348.7	375.6	49	2.2	2781.9	231.8	12
1991	8	0	0	99.5	141.3	580.71	452	336.9	547.4	293	20.3	48	2527.11	210.6	12
1992	2	8	166.3	33	121.3	464.3	562.4	472.6	730.8	201.8	97.6	3.1	2863.2	238.6	12
1993			1.5	84.4	199	338.2	368.9	572.81	616	298.5	0	0	2479.31	247.9	10
1994	0		0	14.2	226	328.1	188.9	216.3	316.3	376.01	48.8	1.9	1716.51	156	11
1995	0	0	1.5	116.1	213.5	413.1	595.6	739	562.3	169.81	59.9	2.8	2873.61	239.5	12
1996	0	0			474.4	320.7	499.8	493.4	525.1				2313.4	330.5	7
1997						389	476	219.52	567.02	348	322.03	82	2403.57	343.4	7
1998		0	0	0	29.81	609.8	572.5	565.72	1197	332.21	237.61	0	3544.65	322.2	11
