COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7125 
 NOMBRE    : OXCHUC 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OXCHUC 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.78638889 ° 
 LONGITUD  : -92.34277778 ° 
 ALTITUD   : 1987 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969										61.5	60.8	20.1	142.4	47.5	3
1970	40.7	12.5	20	40.2	3.7	31	78	52	38	48	22	60.2	446.3	37.2	12
1971	40.7	0	20	20	9.5	20.5	40	40	78	51.5	64.5	29	413.7	34.5	12
1972	67	23	21	33	31	26	24	24	22	36		0	307	27.9	11
1973	23	14	6	27	16	47	7.5	48	33	32	60	7	320.5	26.7	12
1974	20.5	52	19.5	25	31	61	23	20	57	56	29	26	420	35	12
1975	33	1.5	17.5	14	76	42	35	28	28	80	60	20.5	435.5	36.3	12
1976	37.1	5	25	28	25	22.5	10.5		18.1	14.1	22		207.3	20.7	10
1977		0		0	26	42	19	70.3	22.5	13	8	15.8	216.6	21.7	10
1978	8.3	5	12	40	30	77	80	64.5	56	31	17.6	60.3	481.7	40.1	12
1979	17	11	11.9		32	28.6	47	23	67	29	34	26	326.5	29.7	11
1980	10	38	23.8	27.2	32	36.5	39	21	51	34	26	27	365.5	30.5	12
1981	14	24	28	39	20	56		26	45	28	8	18	306	27.8	11
1982	8	10	4	20	22	22	22	32		16	22	20	198	18	11
1983	22	30	36	6	23	23	52	32	50	38	11.5	20	343.5	28.6	12
1984	15.5	12	0	16.5	55.5	36.5	43	39	54	27	22	26	347	28.9	12
1985	12.5	19.5	21	45	27.5	60	18.5	50	42	24.5	24.5	11	356	29.7	12
1986	22.5	10	24.5	45	60	16	23	22	34	23	21	25.5	326.5	27.2	12
1987	4	3	24	22.5	22	42	35.5	12	45.5	21	38.5	10	280	23.3	12
1988	18	22.5	6	4	4	40	48	33.5	30	43.5	8	9	266.5	22.2	12
1989	18	27	0	37	45	45	25	45.5	22.5	63	22.5	3	353.5	29.5	12
1990	7.5	10	35.5	18	23.3	10	12	38.5		18.5	20.4	27	220.7	20.1	11
1991	4	7.5	10.5	33	16	45	6	30	22	25	50.5	22	271.5	22.6	12
1992	10	4	20	22	22	42.5	12	18	22.5	22.5	43.5	9	248	20.7	12
1993	18	13	19	23.5	12	35		47	17.5	12	19	18.5	234.5	21.3	11
1994	15.5	16.5	16.5	8	25	21	28.5	21	53	18	22	16	261	21.8	12
1995	14	14	18.5	22	66	38	18.5	86	88.5	69.5	16	5	456	38	12
1996	27	21	15.5	3.2	102.5	25	42	33	64.5	40	62	18	453.7	37.8	12
1997	7	17	10	22.5	28	48	28	24	62	32	24	20	322.5	26.9	12
1998	13	0	7	10	23	33	47			60	16	12	221	22.1	10
1999	16	9	18	45	28	55	45	42	65	26	55	22	426	35.5	12
2000	18	16	66	8	80	26	57	64	58	36	26	18	473	39.4	12
2001	14	36	14	22	22.9	36.7	36	56.8	22.7	37.5	7.7	36	342.3	28.5	12
2002	7.3	12.7	12.5	16.8	48.7	32.2	24.8	47.3	44	26	8.7	42.8	323.8	27	12
2003	12.5	5.2	37.9	36	22.5	28.1	22.4	67.3	42.7	27.5	22.5	16.8	341.4	28.4	12
2004	22.8	18	45	22	36	36.8	39.2	10	26.8	18.5	65.5	18	358.6	29.9	12
2005	10.5	5	23	48	60	68.2	27	28.5	36	16.7	18.5	22	363.4	30.3	12
2006	22.8	18.2	21	5.8	48.6	32	37	24.8	32	76.5	16	25.5	360.2	30	12
2007	63	16.8	14	16	26	24.7	26					16.5	203	25.4	8
2008	18.5	20	16	28.5	61	28	63	66.5	87.5	55	14	4	462	38.5	12
2009	24	22	24	18.2	56	36	26	26	64	22	18.5	22.4	359.1	29.9	12
2010	44	6.2	23	24	14	31	68	42	119	23	26		420.2	38.2	11
2011							40	70.8	97	32.5	20	20	280.3	46.7	6
2012	33.2	10.6	16.2	28	27.3	46.5	23.6	50.8	45	43	20	38.2	382.4	31.9	12
2013	13.5	26.2	13	28	22.7	67.1	21	73	50	71	26.6	52.2	464.3	38.7	12
2014	28	8	29.6	21.3	61	46.2	11.7	26.6	42.6	52	32.1	45.4	404.5	33.7	12
2015	34.2	17.6	9.3	46.1	48.1	52.6	49	52	49	54.3	40	51.8	504	42	12
2016	4.9	15.3	21.3	52.1	20.5	33.7	28.3	69.4	47.7	16.8	23	31	364	30.3	12
2017	108.7	7.9	16.1	28	17.4	55.2	38.8	44	67.2	47.3	13	8.1	451.7	37.6	12
2018	66	17.7	31.3	18	44	47.8	31.1	21.5	44	42.5	16.6	25	405.5	33.8	12
2019	25	16.3	16.5	2.9	42.1	44	25.5	46	23.9	50.2	14.4	36.5	343.3	28.6	12
