COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7126 
 NOMBRE    : PALENQUE (DGE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : PALENQUE 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.56666667 ° 
 LONGITUD  : -91.98333333 ° 
 ALTITUD   : 60 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1942			0	29.5	94.5	31	75	0	92	0	64	60.5	446.5	44.6	10
1943	11.3	3.5	14.3	25.3	24	22	13.3	78	13.3	4.3	23	67	299.3	24.9	12
1944	45.3	10	19	94.5	42	9	34.5						254.3	36.3	7
1982			0										0	0	1
1987	20	48	40	20	24.5	86.5	78	31.5	67	34	32		481.5	43.8	11
1988	22	63	46	46	57	84	107	95	67	107	58		752	68.4	11
1989							42						42	42	1
1990			23	22	85	75	50	75	86	35	64.5	155	670.5	67	10
1991	14	39	40	0	58	87.5	27	20	59	46	87	81	558.5	46.5	12
1992	108	26	45	40	21.5	126	5.5	29.5	72	43	46.5	27	590	49.2	12
1993	39	58	57	45	56	105	30	27	72	140	35	47	711	59.2	12
1994	62	52	37.5	52	37	14.5	36	26	74	104	18.5	45	558.5	46.5	12
1995	80	30	85	28	16.5	136	105	52	56	61	34.5	63	747	62.2	12
1996	45	35	45	60	28	107	60	110	74	103	105	44	816	68	12
1997	41	84	45	20	64	31	35	81	52	72	53	40	618	51.5	12
1998	34	28	7	8	0	117	43	42	126	54	35	63	557	46.4	12
1999	72	40	18	108	80	133	53	105	60.7	56	145	40	910.7	75.9	12
2000	142	20	42	12	106	96	36	80	125			60	719	71.9	10
2004	78	80	44	75	30	6	110	65	116	60	40	40	744	62	12
2005	27	0	23	46	23	60.2	193	85	46				503.2	55.9	9
2006	13.6	10	60	10	3.8	126	28	46	65	70	45		477.4	43.4	11
2008	240	60	95	64	160	116	40	40	80	150	50	31	1126	93.8	12
2009	34	32	17	40	20	37	14	76	140	100	15	100	625	52.1	12
2010	70	16	24	86	20	83			124	40	40	0	503	50.3	10
2011	60	20	120	20	43	55	70	30	110	165	60	30	783	65.2	12
2012	80	20	60	200	85	75	30	80	150	100	20	30	930	77.5	12
2013	55	40	30	0	40	100							265	44.2	6
2014	60	40	160	100	60	70							490	81.7	6
MÍNIMA	11.3	0	0	0	0	6	5.5	0	13.3	0	15	0	0	0	1
MÁXIMA	240	84	160	200	160	136	193	110	150	165	145	155	1126	93.8	12
MEDIA	60.5	35.6	44.3	48.1	49.2	76.5	54.8	57.9	83.8	73.5	51	53.9	577.8	54.7	10.1
DESV.ST	49.4	22.4	36.1	43.6	36.2	40.3	41.3	30.4	33.8	44.8	30.9	33	253	18.6	3.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1942			0	68.9	295.07	148.23	295.79	0	599.04	0	249.83	152.33	1809.19	180.9	10
1943	16.5	10.92	27	83.31	66.01	85.4	33.71	254.01	77.9	28.6	126.7	194	1004.06	83.7	12
1944	139.81	16	25	99.01	114.5	48.93	160.21						603.46	86.2	7
1982			0										0	0	1
1987	57.5	81	155	30	36.5	425	230.5	278	263.5	178	174		1909	173.5	11
1988	132.01	168	80	52	93	570.5	266.5	367	390	573	137		2829.01	257.2	11
1989							155						155	155	1
1990			74	62.5	206.5	235.5	255.5	162.5	401.5	169.5	259	376	2202.5	220.2	10
1991	50.5	123	80	0	169.5	216.8	56	50	276	265	293	255	1834.8	152.9	12
1992	315	66	76	96.5	48	486.5	17.5	188.5	389	229.5	192.5	111	2216	184.7	12
1993	111.5	77.5	160	100	111	446	88	180	338	416.5	76.5	105.5	2210.5	184.2	12
1994	233	169	65.5	136.5	74.5	56.5	119.5	210	374	329.01	71	111.5	1950.01	162.5	12
1995	201	46	133.5	72	43.5	609	273	343	471.5	162.5	134.5	116	2605.5	217.1	12
1996	146	98	100.5	187	66	405	272.5	289	308	423	401.5	139	2835.5	236.3	12
1997	79	279.5	70	57	198	134.5	106.5	247	394	304.5	369.1	62	2301.1	191.8	12
1998	89.1	31	12	13	0	310	310	373	539	427.5	202	104	2410.6	200.9	12
1999	103	118	39	139	198	339	347	317.8	610.2	335.5	262	123	2931.5	244.3	12
2000	187.4	45	48	20	227	437	79	290	550			356	2239.4	223.9	10
2004	197	301	59	92.5	169	14	389	390	599	237.5	196	46	2690	224.2	12
2005	35	0	23	46	46	532.6	338	326.8	134.7				1482.1	164.7	9
2006	52.1	26.5	75.5	31	16.3	657.5	160	222.2	279.6	401.1	127		2048.8	186.3	11
2008	311	75	150	125	357	449	110	108	488	377	67	92	2709	225.8	12
2009	99	85	25	51	42	143	19	330	326.4	141	45	159	1465.4	122.1	12
2010	231	22	57	91	20	253			651	92	84	0	1501	150.1	10
2011	154	32	149	20	154	258	252	145	605	923	174	84	2950	245.8	12
2012	491	86	60	200	267	391	183	412	395	431	27	85	3028	252.3	12
2013	200	120	85	0	130	505							1040	173.3	6
2014	138	70	180	150	183	223							944	157.3	6
MÍNIMA	16.5	0	0	0	0	14	17.5	0	77.9	0	27	0	0	0	1
MÁXIMA	491	301	180	200	357	657.5	389	412	651	923	401.5	376	3028	257.2	12
MEDIA	157.1	89.4	74.4	77.8	128.1	322.3	188.2	249.3	411.3	306.9	174.7	140.6	1925.2	180.6	10.1
DESV.ST	107.4	77	51.2	54.3	94.1	185.4	111.6	110.5	154	204.3	102.9	96.3	841.3	57.6	3.1

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982			177.7										177.7	177.7	1
1987										1			1	1	1
1988							2						2	2	1
1990			107.4	160.63	168.1	115.5	67.1	150.66					769.39	128.2	6
1991			116.5	76			90						282.5	94.2	3
1992			140	137.8		22.6	147	134	29				610.4	101.7	6
1993		19	68.2	151	170								408.2	102	4
1994											96	43.5	139.5	69.8	2
1996				165	161.5								326.5	163.2	2
MÍNIMA		19	68.2	76	161.5	22.6	2	134	29	1	96	43.5	1	1	1
MÁXIMA		19	177.7	165	170	115.5	147	150.66	29	1	96	43.5	769.39	177.7	6
MEDIA		19	122	138.1	166.5	69	76.5	142.3	29	1	96	43.5	301.9	93.3	2.9
DESV.ST			40.5	36.2	4.5	65.7	60	11.8					261.8	62	2

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982			34.6											34.6	1
1987	25	27.1	27.6	29.2	34.7	31.6	31.6	32.4	32.8	27.9	27.4			29.8	11
1988	27.5	29.7	31.8	33.9	35.2	32.2	33.1	33	32.6	29.6	31.3			31.8	11
1989						35.2	34.1							34.7	2
1990			31.8	34.3	35.5	34.2	33	33.5	33.5	32.5	29.2	28.9		32.6	10
1991	30.9	29.4	33.3	36.1	34.9	33.6	32.7	34.3	31.8	30.8	27.7	27.8		31.9	12
1992	26.1	28.9	31	34.2	32.5	33.5	32.5	32.8	32	31.2	29.1	28.7		31	12
1993	28.9	29.3	31.2	33.1	33.2	33.1	32.3	31.8	31.5	30.5	29.1	28.5		31	12
1994	26.5	29.4	32.3	33	34.3	34.1	34.1	33.5	32.9	32.6	31.9	29.5		32	12
1995	30	31.4	34	34.5	36.9	34.5	33.3	33.5	32.3	31.1	31.4	28.9		32.6	12
