COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7127 
 NOMBRE    : PASO DEL SOLDADO (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA TRINITARIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.11666667 ° 
 LONGITUD  : -91.78333333 ° 
 ALTITUD   : 1485 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963			47.5	7.4	46.5	46.3	75	40	104.5	15.1	40.3	23.4	446	44.6	10
1964	30	15	15	30	69	60.6	47	49.2	31.2	50	28.6	45.8	471.4	39.3	12
1965	40			5.4	10.2	46.5	38.9	36	54.8		63.8	30.8	326.4	36.3	9
1966	35	37.7	13	5	28.1	60	29.1	76	43.2	58.8	48	16.5	450.4	37.5	12
1967	27.1	47.3	20	8	5.5	59	42	35	45	50.5	36	13	388.4	32.4	12
1968	40	15	7	8	47.5	61.5	45	40	53.5	76.3	35		428.8	39	11
1969	17	13	16	14.5	16	43	55	61	81	13	19	20	368.5	30.7	12
1970	17	14	6	30	8	44	45	30	21	21	14	18	268	22.3	12
1972	26	24	4.3	7.5	35.2	74	40	24.5	22.3	13	13	12.3	296.1	24.7	12
1973	11.3	5	7.4	10	36		30.5	46	28.4	36.8	28.9	6	246.3	22.4	11
1974	60	12	5	9.6	28.5	25.7	56	14.9	52.5	47.5	10	15.5	337.2	28.1	12
1975	25	4	0	2	5	20	23.8	19.2	57.5	116.1	15.6	21	309.2	25.8	12
1976	36.2	12	1.3	12.9	5	81	40	38	38	50	23	40.2	377.6	31.5	12
MÍNIMA	11.3	4	0	2	5	20	23.8	14.9	21	13	10	6	246.3	22.3	9
MÁXIMA	60	47.3	47.5	30	69	81	75	76	104.5	116.1	63.8	45.8	471.4	44.6	12
MEDIA	30.4	18.1	11.9	11.6	26.2	51.8	43.6	39.2	48.7	45.7	28.9	21.9	362.6	31.9	11.5
DESV.ST	13.1	13.3	12.8	8.8	20.2	17.9	13.3	16.6	23.5	30	15.7	11.7	72.8	7.1	1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963			87	12.75	63.85	288.93	577.13	348.72	429.01	137.42	141.75	95.86	2182.42	218.2	10
1964	112.96	59.89	50.22	56.94	138.74	330.64	431	231.5	254.95	176.71	178.37	334.91	2356.83	196.4	12
1965	155.19			14.12	24.87	334.65	288.15	255.28	419.09		224.28	223.48	1939.11	215.5	9
1966	139.35	98.62	60.64	11.41	80.46	355.95	220.93	286.45	424.92	295.68	216.85	73.55	2264.81	188.7	12
1967	116.45	98.9	58.41	12	9.5	208.73	401.01	240.51	229.01	378.51	202.32	39.21	1994.56	166.2	12
1968	177.9	24.57	27.56	18.32	260.4	302.1	317.6	270.93	279.13	328.93	146.11		2153.55	195.8	11
1969	23	38	67	20.5	57	251.5	344	523	348	66	117	99	1954	162.8	12
1970	76	75	15	36	16	222	266	288.2	227	181.5	55	101	1558.7	129.9	12
1972	114	42.7	8.1	7.5	50.1	327.1	258.3	224.3	188.3	69.3	50.3	68	1408	117.3	12
1973	28.6	8.8	8.7	18.6	84.6		138.6	327.2	142.8	269.9	150.3	18	1196.1	108.7	11
1974	126	30	5	35.6	69.4	198	249.1	65.9	247.5	243.1	48	42	1359.6	113.3	12
1975	103.4	11.7	0	2	17.5	107.9	118.2	106.9	336.9	347.6	82.3	102	1336.4	111.4	12
1976	156.3	65.3	2.3	23.4	29.6	394.5	175.7	145.9	197.4	129.9	140.1	177.2	1637.6	136.5	12
MÍNIMA	23	8.8	0	2	9.5	107.9	118.2	65.9	142.8	66	48	18	1196.1	108.7	9
MÁXIMA	177.9	98.9	87	56.94	260.4	394.5	577.13	523	429.01	378.51	224.28	334.91	2356.83	218.2	12
MEDIA	110.8	50.3	32.5	20.7	69.4	276.8	291.2	255	286.5	218.7	134.8	114.5	1795.5	158.5	11.5
DESV.ST	48	31.8	30.4	14.7	67.6	81.3	126.4	115.3	96.2	107.3	61.7	90.1	396.8	41.2	1

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963			102.6	122.4	142.9	118.5	106.8	106.3	59	47.6	51.3	56.4	913.8	91.4	10
1964	65	85.9	120.3	138.2	122.1	104.8	111.9	104.4	100.7	77.8	74.8	56.4	1162.3	96.9	12
1965	59.2			102.9	122	101.2	110.5	99.8	114.9		59.3	53.6	823.4	91.5	9
1966	66.8	71.9	87.1	95.1	103.7	70.9	81.3	94.3	65.8	78.4	54.9	53.3	923.5	77	12
1967	58.5	66.1	89.3	125.2	138.7	94.9	83.1	89.6	81.9	68	57.2	70.6	1023.1	85.3	12
1968	51.9	73.1	110.8	117.6	114	80.8	66.7	86.7	77.1	81.4	76.2		936.3	85.1	11
1969	81.8	87.5	108.5	113.1	128.43	122.1	134.33	139.75	109.9	108	107	92.66	1333.07	111.1	12
1970	83.6	75.8	129.7	123.1	137.8	85.2	100.7	83.9	63.9	63.3	63.3	63	1073.3	89.4	12
1972	85.6	90.5	145.9	143.7	151.6	81.8	98.8	84.3	92.6	89.5	71	59	1194.3	99.5	12
1973	64.5	77.9	146.2	170.9	194.9		132.3	93.5	94.9	59.7	66.9	60.1	1161.8	105.6	11
1974	65.6	78.6	117	125.2	122.9	92.5	89.1	66.1	66.6	60	45.5	43.1	972.2	81	12
1975	42	78.8	116.9	138.1	107.9	75.8	93.5	75	67.3	61.9	41.8	45.5	944.5	78.7	12
1976	53.2	88.3	129.5	127.2	123.3	78	107.5	131.6	109.7	90.8	80.5	74.6	1194.2	99.5	12
MÍNIMA	42	66.1	87.1	95.1	103.7	70.9	66.7	66.1	59	47.6	41.8	43.1	823.4	77	9
MÁXIMA	85.6	90.5	146.2	170.9	194.9	122.1	134.33	139.75	114.9	108	107	92.66	1333.07	111.1	12
MEDIA	64.8	79.5	117	126.4	131.6	92.2	101.3	96.6	84.9	73.9	65.4	60.7	1050.4	91.7	11.5
DESV.ST	13.4	7.7	19.1	19.1	23.5	16.6	19.3	20.7	19.9	17	17.2	13.5	148.4	10.4	1

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963			23.7	26.6	25.6	25.5	23.4	23.8	22.8	20.9	20	19.1		23.1	10
1964	21.2	22.5	25.6	27.2	26.4	23.6	22.9	24.2	24.1	21.5	20.7	20.2		23.3	12
1965	18.9			27.2	26	25.5	22.4	22.6	23.7		20.3	20.8		23	9
1966	21.1	21.2	21.6	26.7	25.2	23.1	23.2	22.9	23.4	22.4	17.7	19.2		22.3	12
1967	19.1	21.1	21	25	25.9	24.7	20.3	22.6	23.7	20.9	19.8	21.4		22.1	12
1968	17.3	19.6	22.5	25.2	25.1	24.5	21.9	22.2	23.1	21.1	21.4			22.2	11
1969	20.5	22.8	27.4	27.7	28.8	28.2	21.9	24.1	23.2	23.2	22	19.6		24.1	12
1970	20.8	18.6	21.1	26.6	26	23.4	22.7	22.9	23.3	22.9	18.2	18.3		22.1	12
1972	20	20.2	23.5	25.6	26	23.9	21.4	21.2	22	21.9	22	19.7		22.3	12
1973	19.8	20.5	26.3	24.6	25.7		22.7	22.8	23.1	21.8	21.1	20.5		22.6	11
1974	19.5	20.1	23.1	24.4	26.5	23	21.3	21.6	22.9	20.1	19.2	19		21.7	12
1975	18.6	22.2	26.3	26.6	27.4	24.1	20.2	20.1	20.4	20	18.8	17.7		21.9	12
1976	20.1	18	22.9	23.9	24.1	23.4	22.9	23.1	21.8	20.7	14.7	13.7		20.8	12
MÍNIMA	17.3	18	21	23.9	24.1	23	20.2	20.1	20.4	20	14.7	13.7		20.8	9
MÁXIMA	21.2	22.8	27.4	27.7	28.8	28.2	23.4	24.2	24.1	23.2	22	21.4		24.1	12
MEDIA	19.7	20.6	23.8	25.9	26.1	24.4	22.1	22.6	22.9	21.4	19.7	19.1		22.4	11.5
DESV.ST	1.1	1.5	2.2	1.2	1.1	1.5	1	1.2	1	1	2	2		0.8	1

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963			30	31.5	29.5	29	26.5	26	26	26	27	26.5		27.8	10
1964	27	30	32.5	32.5	34	27	25.5	27	26.5	27	27	27		28.6	12
1965	27			32	29	29	24.5	24.5	27		25	27		27.2	9
1966	28	27	29	33.5	30	26	26	25	26	26.5	24	26.5		27.3	12
1967	26	26	27	30	31	29	23	25	26.5	24.5	26	26.5		26.7	12
1968	21	27	28.5	30.5	31	28	25.5	26	27	23.5	26.5			26.8	11
1969	26	29	30	31	32	31	24	28	28	27	26	26		28.2	12
1970	28	23	28	30	30	27	26	25	28	27	24	21		26.4	12
1972	25.5	26	30	30	29	27	25.5	22.5	24	26	26.5	25		26.4	12
1973	25.5	27	31.5	31	31		25	25.5	26	26.5	25.5	24		27.1	11
1974	25.5	27	29.5	29.5	32.5	28.5	23	23	25.5	27.5	24	25		26.7	12
1975	25	27	30.5	31	31	28.5	23	23.5	23.5	25	24.5	23		26.3	12
1976	25	25	27	28.5	28	26.5	25	28	24	24	16	16		24.4	12
MÍNIMA	21	23	27	28.5	28	26	23	22.5	23.5	23.5	16	16		24.4	9
MÁXIMA	28	30	32.5	33.5	34	31	26.5	28	28	27.5	27	27		28.6	12
MEDIA	25.8	26.7	29.5	30.8	30.6	28	24.8	25.3	26	25.9	24.8	24.5		26.9	11.5
DESV.ST	1.8	1.8	1.7	1.3	1.6	1.4	1.2	1.7	1.4	1.3	2.9	3.2		1	1

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963			13.7	14	15	15.9	16	16.1	16.3	14.8	14.5	10.8		14.7	10
1964	10.9	12.3	14	15	15.1	15.7	15.7	15.4	15.5	14	14.3	12.8		14.2	12
1965	11.3			12.7	14.8	15.3	15.1	15.1	15.3		13.8	12.7		14	9
1966	11.1	12	12.2	14.3	15.3	16.1	15.5	15.4	16	14.8	11.9	10.2		13.7	12
