COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7132 
 NOMBRE    : PORTACELI 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VILLAFLORES 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.44916667 ° 
 LONGITUD  : -93.12527778 ° 
 ALTITUD   : 780 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962	0	0	0	11.5	18.5	73.5	29	46.5	69.5	24.5	0	0	273	22.8	12
1963	0	0	7	28	36.5	53	32.5	63.5	69	0	61	0	350.5	29.2	12
1964	0	0	0	0	25.5	85	57.5	38.5	45	21.5	11.5	20	304.5	25.4	12
1965	0	0	6.5	9	29.5	64	22.5	66.5	34	20	2	1	255	21.2	12
1966	0	0	2	46.5	14.5	60.5	44	67.5	66	29	1.5	1.5	333	27.8	12
1967	3	0	13	93.5	6	67	22	37.5	40.5	25.5	0	6	314	26.2	12
1968	0	0	0	9.5	37.5	61	28.5	37.5	20	27	0	0.5	221.5	18.5	12
1969	0	0	0	15.5	12.5	61	33	46	28	17	0	0	213	17.8	12
1970	6.5	0	0	17	45.5	30	32.5	43	74.4	19	0	0	267.9	22.3	12
1971	0	0	0	0	38	62	65.5	22.5	91	61	27.5	0	367.5	30.6	12
1972	0	0	0	7.5	77	61	57	25.5	30	18.5	42.5	0	319	26.6	12
1973	0	0	0	2.5	21.5	32.5	61.5	72.5	38.5	53.5	11.5	0	294	24.5	12
1974	49	0	22	19	61	32	31	19	91	0	0	0.6	324.6	27	12
1975	0	0	0	0	31	54	6.7	51	26	20	0	0	188.7	15.7	12
1976	0	3		20	10	64	22	33	73	3	20	0	248	22.5	11
1977	0	0	0	18	41	21	34	40	41	12		5	212	19.3	11
1978	0	0	0	14		46	56	48	51	16	0	0	231	21	11
1979			0										0	0	1
1980	7.9	1.7				54	38	47	42	24	3	0	217.6	24.2	9
1981	0.2	0.1			23	42	38	70		26			199.3	28.5	7
1982	0	5	19		74.5	55	45	18	56	49	0	0	321.5	29.2	11
1983	0	0	0	0	7	53	34	42	52	44	16	0	248	20.7	12
1984	0	0	0	0	79	66.5	34	43	32	7	0	0	261.5	21.8	12
1985	0	0	12	14	44.5	51.5	111		24	7	24.5	0	288.5	26.2	11
1986	1.5	0	0	12	67.5	53.5	39.6	86.5	48.1	57.8	2.5	0	369	30.8	12
1987	0	0	7	7	17	50	38.5	36	73.5	0.1	0	0	229.1	19.1	12
1988	0	0	4	3.5	80	102	107	42	42.7	7.2	0	0	388.4	32.4	12
1989	0	0	0	46.5	34.5	55	78	53.5	58.5	25	34	0	385	32.1	12
1990	0	3.2	3	18	26	105	63	70	57	49	4	2.4	400.6	33.4	12
1991	0	0	0	1	54	70	47	33	57	34	5	6	307	25.6	12
1992	0	0	0.1	14	43	83	60	33	66.5	18	0	0	317.6	26.5	12
1993	0	0	0	0	12.8	41.5	24.5	47.5	40	46.5	0	0	212.8	17.7	12
1994	0	0	0	54	16.5	80	51	56	60	38.5	10.3	0	366.3	30.5	12
1995	0	0	22.5	46	50	92	62	73.7	53	42		0	441.2	40.1	11
1996	0	0	0	7	58	57	38	50	61	13.2	2.5	0	286.7	23.9	12
1997	0	8.5	0										8.5	2.8	3
1999	0	0	0	0	46	58.2	65	0	81	56	2.5	6.5	315.2	26.3	12
2000	0		0	10	30.5	55	42	48	48	0	0	0	233.5	21.2	11
2001	0	2.2	0	19	62	62	53.5	65.5	70	22	0	2.5	358.7	29.9	12
2002	0	0.5	0	0	52	80	50	17.5	36.2	32	0.5		268.7	24.4	11
2003	0	0	0	0	51	23.5	62	115	36	65	1.8	0.2	354.5	29.5	12
2004	1	0	0	33.2	30.5	83	45	22.7	88.6	36	0.3	0	340.3	28.4	12
2005	0	0	0	68	34.2			70	70	66.3	1	0	309.5	31	10
2006	0	0	0	23	58.8	45.7	34	22.7	49	21	1.8	0.4	256.4	21.4	12
2007	0	0	5	22	21.5	79	34.3	124	81	31	7	0	404.8	33.7	12
2008	0	0	0	0	25	29	51	89.2	44.5	25.5	0	0	264.2	22	12
2009	0	0	0	26	43.4		68	61				7.8	206.2	25.8	8
2010	0	0	0		36	63	75	69	47	3	0		293	29.3	10
2011	0	0	0	40	13.4	48.5	63.5	40	50	27.5	0	0	282.9	23.6	12
2012	0	7.8	17.5	35	48	21	60		55	8	0	10.3	262.6	23.9	11
2013	0	0	0	5	65	64.2	33.5	35.5			3.2	11	217.4	21.7	10
2014	0	4.9	1	1	75.2	66.5	57.5	18	83		0	0	307.1	27.9	11
2015	0	0	10	17	47	47.6	45.4	23.6	65	28	2	0	285.6	23.8	12
2016	0	0		3	31	49	47.6	40	25.7	30	11	2	239.3	21.8	11
2017	0	0	0	15.5	40			37.5	37.2	28.2	0	0	158.4	15.8	10
2018	0	0	0	0	0	37.5	91	38	65	26	0	0	257.5	21.5	12
2019	0	0	0	0	150	25	77						252	36	7
2021											0	3.5	3.5	1.8	2
MÍNIMA	0	0	0	0	0	21	6.7	0	20	0	0	0	0	0	1
MÁXIMA	49	8.5	22.5	93.5	150	105	111	124	91	66.3	61	20	441.2	40.1	12
MEDIA	1.2	0.7	2.9	16.7	40.6	57.2	49	48	53.8	26.7	6.1	1.7	273.1	24.2	10.9
DESV.ST	6.7	1.8	5.9	19.5	25.6	19.4	20.6	23.8	18.5	17.6	12.2	3.7	87.6	7.3	2.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962	0	0	0	12.5	50	439.5	123.5	275.5	400	112.2	0	0	1413.2	117.8	12
1963	0	0	7	34	105.5	340	207.1	247.5	405	0	61	0	1407.1	117.3	12
