COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7137 
 NOMBRE    : PUJILTIC 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VENUSTIANO CARRANZA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.28333333 ° 
 LONGITUD  : -92.46666667 ° 
 ALTITUD   : 600 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956								48.5	87.5	14	14.5	0.01	164.51	32.9	5
1957	0.01	11.3	23	15	60	32	46.5	22	91	3	8.5	0	312.31	26	12
1958		0	0	18	23	101	54	20	31	67	21	1	336	30.5	11
1959	0	0.01	2	8	80	40.5	18	33	18	76.5	2	2	280.01	23.3	12
1960	1.5	0	0	1	17	29.5	23.5	56	48	44.5	8.5	0	229.5	19.1	12
1961	3	0.01	4	4.5	34	88	25	27	69.5	10.5	73	3	341.51	28.5	12
1962	0.01	0	0	18.5	18	52	16	66.5	60	28	6.5	1	266.51	22.2	12
1963	0.01	4	0.01	2.5	20	27	37.5	17	70.5	14	27.5	2	222.02	18.5	12
1964	0.01	0	2.5	27	20.5	82	45.5	24	25	47	10	4.5	288.01	24	12
1965	4.5	15.5	13	28	19.5	51.5	12	56	57	52	7	0.01	316.01	26.3	12
1966	1		6.5	18	40	51	25.5	40	60	22	14	1	279	25.4	11
1967	3.5	0	48	16	27.5	35	26	60.5	44.5	19.5	1	6	287.5	24	12
1968	3	1	1	18	33.5	63	15.5	84	124	39.5	1.5	3.5	387.5	32.3	12
1969	0	0	0	6.5	37.5	72	69	86	54.5	35	4.5		365	33.2	11
1970	5	0	0	11.5	11.5	63	118	32	88	34.5	4.5	2	370	30.8	12
1972	0	1	11	43.5	36.5	52	41	23	44.5	11	3	3	269.5	22.5	12
1973	0	0	0	7	38.5	64.5	55	68	49	42	3	0.5	327.5	27.3	12
1974	1	1	22.5	23.5	55	98.5	40	32.5	35	6		0	315	28.6	11
1975	7	0	0	0.5	39.5	18.5	105	42.5	33	34	2.5	0	282.5	23.5	12
1976	1.5	3	5.5	25.5	12	36	33.5	67	12.5	10.5	9	0.5	216.5	18	12
1977	0		0	12		21		41.5		15	26.5	25	141	17.6	8
1978	0	1	19			57	66	30	41	13	15.5	3.5	246	24.6	10
1979	0	0	0	53.5	26	42	53	27.5	86				288	32	9
MÍNIMA	0	0	0	0.5	11.5	18.5	12	17	12.5	3	1	0	141	17.6	5
MÁXIMA	7	15.5	48	53.5	80	101	118	86	124	76.5	73	25	387.5	33.2	12
MEDIA	1.5	1.9	7.2	17	32.5	53.5	44.1	43.7	55.9	29	12.5	2.8	284	25.7	11.1
DESV.ST	2.1	4.1	11.9	13.5	17.2	23.8	27.9	20.6	27.3	20	15.9	5.4	61.6	4.9	1.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956								77.8	402.87	38.54	19.01	0.01	538.23	107.6	5
1957	0.01	22.3	23	42.51	118.01	194.04	151.08	94.04	332.03	8.53	9.5	0	995.05	82.9	12
1958		0	0	45.52	68.53	302.06	183.54	109.5	188.03	197.58	34.04	1	1129.8	102.7	11
1959	0	0.01	4.5	31.52	178.03	222.53	101.04	66.57	74.63	366.73	3.02	2	1050.58	87.5	12
1960	2.5	0	0	1.08	63.55	258.01	110.07	299.54	287.16	174.05	11.54	0	1207.5	100.6	12
1961	3.01	0.02	6.51	8.52	70.02	253.09	142.11	129.57	136.53	53.53	119.03	3.03	924.97	77.1	12
1962	0.01	0	0	51.53	47.04	229.07	59.04	232.54	198.06	86.05	7.05	1.02	911.41	76	12
1963	0.06	6.02	0.02	2.54	123.51	166.04	186.52	78.05	386.5	49.02	46.04	2.01	1046.33	87.2	12
1964	0.01	0	3	71.04	65.03	366.04	197.04	87.56	193.06	72.5	15.54	7.53	1078.35	89.9	12
