COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7138 
 NOMBRE    : REFORMA I 
 ESTADO    : CHIAPAS 
 MUNICIPIO : REFORMA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.86666667 ° 
 LONGITUD  : -93.13333333 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965				47.3	4.5	36.6	31.1	60	39	191	14.3	43.5	467.3	51.9	9
1966	46.6	48	57.6	29.6	51	67.3	34	67.2	82	129.2	29.2	24.6	666.3	55.5	12
1967	95.6	20.8	10.6	20.6	35.5	76.3	32.2	47.7	202.8	121.8	60.8	178.5	903.2	75.3	12
1968	101.7	29.4	15.1	31.3	27.7	46.8	48.1	81.5	27	36.2	37.4	44.9	527.1	43.9	12
1969	93.3	39.5	57.5	2	121.5	61.5	64.3	60.7	76.9	69.4	61.6	7.9	716.1	59.7	12
1970	55.3	12.2	17.7	6.6	40.7	60.2	56.6	80.4	108.3	95.4	38.7	16.7	588.8	49.1	12
1971	47.6	7	71.8	65	11.4	66.6	51.1	56.1	45.2	91.5	43.6	17.8	574.7	47.9	12
1972	160.3	38.6	9	14.9	5.2	104.6	58.9	92.2	41.4	48.1	71.1	162.4	806.7	67.2	12
1973	28.2	13.4	7.5	27.2	59.6	109.6	30.4	113.5	35.9	98.1	36.5	19.7	579.6	48.3	12
1974	61.5	42.5	0	59.4	22.8	91.4	73.3	38	73.6	48.1	95.4	24.8	630.8	52.6	12
1975	41.8	20.2	13.9	4.7	23							16.8	120.4	20.1	6
1976	58.5	52	139.5	26.3	15.4	36.5	51.8	73.4	63.9	88.5	56.7	46.2	708.7	59.1	12
1977	19.6	41.1	46.4	14.8	0	54.8	56.7	59.4	49.5	18.3	128.4	36.3	525.3	43.8	12
1978	32.8	41.2	27.6	19.9	89.7	74.5	57.2	42.3	40.7	57.3	89.5	72.9	645.6	53.8	12
1979	54.4	73.8	53.6	42.2	60.7	96.2	90.5	106.8	35.6	63.1	0	31	707.9	59	12
1980	10.2	9.4	0	0	28.3	51.2		15	40.2	300.4	12.8	23	490.5	44.6	11
1981	20.3	60	40.5	60.5	40.1	50	100	60	30	140	20	30	651.4	54.3	12
