COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7141 
 NOMBRE    : SALTO DE AGUA (DGE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SALTO DE AGUA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.55833333 ° 
 LONGITUD  : -92.33333333 ° 
 ALTITUD   : 10 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1952							37.9	90.6	116.6	185.7	81.5	155.5	667.8	111.3	6
1953	29.1	50.4	10.7	29.6	42.4	69.5	52.8	80	143	148.3	51	332.4	1039.2	86.6	12
1954	27.4	134.6	28.5	80	87.2	60	55	72.7	100.3	66.9	147.5	40	900.1	75	12
1955	40.7	67.6	19.6	0.1	60	118.6	137.1	99	76.2	178	127.1	77.8	1001.8	83.5	12
1956	12.7	24.8	114.2	22.4	116	101.3	56.5	41.3	119	121	86.5	52	867.7	72.3	12
1957	29.4	68.5	55	20.3	32.3	139.2	25	74.3	123	116.3	98	97	878.3	73.2	12
1958	20	43	31	2.2	89	86.8	59.2	49.5	44.3	98.5	95.5	65.6	684.6	57	12
1959	43.5	71	115.6	171.5	23.8	69.6	48.8	86	71.2	106	104.3	40.7	952	79.3	12
1960	50.6	52	31.5	157	56.4	72.5	64	67.7	90.1	43.2	28	37.5	750.5	62.5	12
1961	145.8	62.5	27.7	37.8		170	88.3	124.2	115.3	74.7	39	94.3	979.6	89.1	11
1962	62.6	1.3	30.5	119.7	34.6	129.5	21	114	93.5	71.9	107.2	29.3	815.1	67.9	12
