COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7142 
 NOMBRE    : SAN ANTONIO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OCOZOCOAUTLA DE ESPINOSA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.55 ° 
 LONGITUD  : -93.43333333 ° 
 ALTITUD   : 812 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964											4.5	3.5	8	4	2
1965	26	30	50	0.01	82	85	117	90	80	47.5	1.3	20	628.81	52.4	12
1966	14	24	5	60	41	72	40.8	37	49	28	6.8	10	387.6	32.3	12
1967	10.3	9	5.4	7.9	20	51.1	56	29	66.6	25.9	3.5	24.5	309.2	25.8	12
1968	22.8	3.5	3	0.01	37.7	51			28.7	29.5	3	9	188.21	18.8	10
1969	12.3	2	3	1	5.5	71	40	61.2	76	53	10.5	4	339.5	28.3	12
1970	13.5	2	1	2.4	40	40	80	61	80	18.4	6.2	1	345.5	28.8	12
1971	2.6	1.2	8.2	0	22.5	56	51.5	47.7	44.4	42.2	8.7	0.2	285.2	23.8	12
1972	4.7	4.3	30.2	3	34	50.9	72.4	98.6	20.8	9.4	40	22.8	391.1	32.6	12
1973	14.7	1.4	3.5	1.7	66	45.4	70.6	44.7	107.4	13.9	60	5.6	434.9	36.2	12
1974	8.4	5.5	20.5	20.9	72	33.5	69	56.7	55.4	5	16.3	2.2	365.4	30.4	12
1975	8.3	2.6	7.6	3	80.1	59.2	47.3	40	43.8	24.9	22.1	12.1	351	29.2	12
1976	10	13	0.2	28.8	10.4	56	71.2	22.3	38.9	18	12.8	5.1	286.7	23.9	12
1977	1.9		7.9	43.1	27	37.4	34.4	46.9	55.6	14.9	26.6	15.5	311.2	28.3	11
1978	31	10	6.9	8.8	32	62	78.5	42.3	55.4	82.7	3.2	14	426.8	35.6	12
