COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7146 
 NOMBRE    : SAN JERONIMO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : UNIÓN JUÁREZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.03972222 ° 
 LONGITUD  : -92.13638889 ° 
 ALTITUD   : 750 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1949			39.5	71	68	85	89	80	80.5	78	42	40	673	67.3	10
1950	12	35	64	80	88	87	91	66	84	65.5	82	39	793.5	66.1	12
1951	30.5	28	50.5	52	88.5	94	74	74	92.5	78.9	38	15.5	716.4	59.7	12
1952	6	4	75	78	51	72	66	80	97	64.5	61	4.5	659	54.9	12
1953	12	28.5	77	63.5	96.5	85.5	68	52	85.5	96	38.5	40.5	743.5	62	12
1954	15.5	33	73	61	86	83.5	93	66.5	83	77	66	30.5	768	64	12
1955	42	1.5	81	37	93	84.5	82	81.5	94.5	92	64	36	789	65.8	12
1956	3.5	78	64	36	83	97.5	70	94	97	54.5	52	48	777.5	64.8	12
1957	10.5	33	56	60.7	85.5	94	88.5	95.8	97.5	77.7	13	31.5	743.7	62	12
1958	8.1	3.5	52.7	30	63.1	81	91	77.5	75	60.3	33.2	43.8	619.2	51.6	12
1959	30.4	4.9	43.3	54.4	54	90	68.3	80.3	90.5	84	33	38	671.1	55.9	12
1960	32.5	30	45.2	45.8	57.4	72.5	82.3	67.3	80.3	91	90.5	5.6	700.4	58.4	12
1961	70.5	37.5	40.7	63.2	53	146.5	113.5	110	113	100.5	135.5	60	1043.9	87	12
1962	20.1	10	29.4	97.5	180.2	106.4	65	68.9	61.8	48	110.2	21.2	818.7	68.2	12
1963	30.5	35.6	45.2	148.1	62.6	78.2	160.3	105.5	203.2	122.1	50.5	22.5	1064.3	88.7	12
1964	1.6	20.5								70.3	65.9	57	215.3	43.1	5
1965	26.4								102.5	125	74.6	37	365.5	73.1	5
1966	13	6.7	29.5	47.5	100.5	134	83	190.5	97	131.5	54	31	918.2	76.5	12
1967	25	30	63.5	71.2	51.5	107.5	100.1	119.6	100.4	77.5	160.5	77.5	984.3	82	12
1968	33	13.5	10.6	60.2	142.7	185	75	85	122.8	110.4	72.5	25	935.7	78	12
1969						100.6	57	92	115	105	63.6	119	652.2	93.2	7
1970	48.3	25	44.7	39	150	84	100	117	95.5	100.1	69	14	886.6	73.9	12
1971	54	37	86	32.5	185	63	77.5	95.5	97	100	43	21.1	891.6	74.3	12
1972	35.5	43	19	41	80.5	50	78.5	83	109	59	56.5	32	687	57.2	12
1973	6.5	16	20	66	94	111.1	75	95	100.6	73	66	31	754.2	62.9	12
1974	58	44.5	44	59	74	100	43	31	82	78	30	0.5	644	53.7	12
1975	7.5	29	73	21	70	50	64	63	95	99	94	23	688.5	57.4	12
1976	50	0	35	9.2	37	74	82	42	53	60.1	30	16	488.3	40.7	12
1977	4	0.5	19.6	54.5	76	71	53	62.2	106	115	45	45	651.8	54.3	12
1978	26	30.3	42	78	146	90.5	59	76	129.5	89.5	45	21	832.8	69.4	12
1979	20	0.8	42		77.5	63	66	89	93	75	34	8	568.3	51.7	11
1980	18	8	12	35	67	80	66	71	89	165	34	7	652	54.3	12
1981	33.5	14	51	76	68.5	87	90.4	100.1	67	100.1	55.5	58	801.1	66.8	12
1982	23.2	40.5	55.5	60.1	168.8	70.1	58.5	41.2	84	83	22.3	25	732.2	61	12
