COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7147 
 NOMBRE    : SAN JOAQUIN 
 ESTADO    : CHIAPAS 
 MUNICIPIO : PICHUCALCO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.55833333 ° 
 LONGITUD  : -93.10833333 ° 
 ALTITUD   : 21 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962			49.5	75.6	56.6	37.6	80	80	118.2	96.2	81.3	35.2	710.2	71	10
1963	155.6	123	75.3	16	71.5	34	60.2	91.5	100.2	34.5	86.6	108	956.4	79.7	12
1964	91	49	29.2	219	51.8	107	82	61	134.5	93.3	89.3	227	1234.1	102.8	12
1965	102	90	141.7	113.7	37.6	58.8	45.4	65.8	85.3	82.3	93.2	139	1054.8	87.9	12
1966	55.3	49.4	36.5	35.5	59	56.5	42	68	112.3	167	42	40	763.5	63.6	12
1967	180	40	18.5	28.5	153	130.3	53	80	214	107	65	293.6	1362.9	113.6	12
1968	83	39	45.5	60	51	105	97.5	51	222.2	168	115	118.3	1155.5	96.3	12
1969	86	50	31	13.5	36.8	51.6	57.5	123	114	109.5	130	25.5	828.4	69	12
1970	163	21.7	27.6	41.3	100.8	88	80	89	81.8	66.5	73	116.5	949.2	79.1	12
1972	62.4	95.2	25.8	18.7	12.7	85.2	188.2	103	171	68	100	164.3	1094.5	91.2	12
1973	60	51.2	11.5	40.6	62.2	205.7	53	114.7	51.2	106.3	88.5	47.8	892.7	74.4	12
1974	156.5	71.5	52.3	230.3	55.3	98.2	142.5	73	110.2	132	110.5	39.9	1272.2	106	12
1975	56	37.5	46.5	8.6	67.5	45	51	50	102	119.2	79	93.5	755.8	63	12
1976	86.2	76.2	127.7	60.5	24.5	29	82.2	78.5	83.2	106.3	118.2	43.2	915.7	76.3	12
1977	59.2	42.6	38.3	32	2.4	46	64.5	19.7	47	45	180.2	75.2	652.1	54.3	12
1978	62.5	62.8	79.5	21.6	126	80.5	75.4	85.5	116.5	72.8	213.6	97.2	1093.9	91.2	12
1979	99.2	98.2	87.6	32.5	34.5	154.5	111.4	67.2	149.1	97.2		189.5	1120.9	101.9	11
1980	68.2	185.3	90.2	28.7	39.8	120	109.5	110.2	50.1	248.5	95.2	58.3	1204	100.3	12
1981	12.4	151.6	55.6	16.5	57.5	56	77.6	98.7	88.2	97.4	43.4	73.1	828	69	12
1982	42	59.2	31.4	44.3	83.2	47.6	33.7	83.5	213.4	104.5	79.2	103.2	925.2	77.1	12
1983	87	32.5	30	38.7	47	47.5	49.1	90.5	42.2	78.2	94.5	94.2	731.4	61	12
1984	101.3	25.8	22	6.7	114.6	56.7	63.8	70.5	112.5	38.5	87.6	61.5	761.5	63.5	12
1985	97	26.5	22.5	93.5	38.5	53.5	78.5	62.3	79.7	314.2	24.6	104.5	995.3	82.9	12
1986	63.5	34	148.3	13.5	71	84.3	58.8	78.5	40.2	97.5	47.5	72.6	809.7	67.5	12
1987	38	50	45	12.5	44.5	93	110	127.2	121	59	83	74.4	857.6	71.5	12
1988	41	230	34	92	10.3	100.5	53	77	67.5	92	100.7	87.7	985.7	82.1	12
1989	77	32.7	52	10.5	68	62	89.3	41.3	129	120.2	74.7	95	851.7	71	12
1990	91.2	107.6	52.3	71.3	147	51	83.5	41.8	76.3	106.5	70.5	95	994	82.8	12
1991	144	61	75.3	16.5	53.8	39.5	27.5	18.5	53.5	77.5			567.1	56.7	10
2001	27	153	8	9	42	49	31.5	66.5					386	48.2	8
2002	87	194	56		55.5	36	25.5	44.5	63	40.5	158.6	106.5	867.1	78.8	11
2003	28	28.8	119.5		40	82.5	50	94.5	89.5	79	137.2	54.7	803.7	73.1	11
2004	125.5	35.5	25	166	47	67.5	130	41.5	129.5	83.5	164	38	1053	87.8	12
2005	0	0	37	8	43.5	98	87.5	76	94	28.2	35	141	648.2	54	12
2006	133	53.4	103	0	84.7	134.6	80.89	63	69.5	107.8	66.9	120.3	1017.09	84.8	12
2007	137.7	123.2	35.4	37.5	32	9.2	15	86	88.7	189.2	34.5	19.8	808.2	67.3	12
2008	208.8	55	41.4	67.3	95.2	55	104.6	72.5	155.5	81.1	56.5	50.2	1043.1	86.9	12
2009	102.4	19	30.5	132.2	99	40.4	22.6	52.2	76.7	157.2	49.7	65.2	847.1	70.6	12
2010	88.6	29	20.5	16	14.7	77.6	60.5	89.4	236.2	93.8	77.6	58	861.9	71.8	12
2011	66.9	77.2	59.2	24	49.6	54.2	150.5	86.7	178	105.7	78.5	36	966.5	80.5	12
2012	124.3	241.2	8	95	68	46	82	156.6	128.5	73.5	12	224.5	1259.6	105	12
2013	72.9	10.5	29.5	33.7	69	120.5	56	72.5	73	80.5	98.6	236.2	952.9	79.4	12
2014	104.2	24.8	38.5	109.4	91.8	67.5	118.5	53.8	138.5	106.9	135.7	48.4	1038	86.5	12
2015	99.8	62.5	70	126.6	42.5	170	25.2	131.6	68.9	135.4	63.9	121.9	1118.3	93.2	12
2016	117.6	60.7	65.6	11.5	13.1	86	82.5	112.7	92.3	124.8	46.3	73.7	886.8	73.9	12
2018	147.3	52	27.1	164.2	25.3	37.5	39.2						492.6	70.4	7
2019	38.3	89.9	30.6	39.1	47.8	86.7	60.5	32.7					425.6	53.2	8
2020	34	80.9	29.9	9.9	122.7	85.4	27.7	76.5	104.5	139.6	134	61.9	907	75.6	12
2021	83.8	47.5	97.6	15.6	81	126.9	65	31.5	128.7	125.3	72	127.3	1002.2	83.5	12
