COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7149 
 NOMBRE    : SAN PEDRO CHENALHO (DGE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHENALHÓ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.89361111 ° 
 LONGITUD  : -92.62555556 ° 
 ALTITUD   : 1537 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1966												9	9	9	1
1967	32.5	5.6	11.5	19	20.5	48.5	42	40	81	87	10.5	75.5	473.6	39.5	12
1968	47.5	11	14.5										73	24.3	3
1969										20.5	58.5	18	97	32.3	3
1970	34.5	7.5	1.5	9.5	41	51	54.5	87.5	31.5	46	22.5	9.5	396.5	33	12
1971	7.5	26	23.5	19	25.5	34.5	73	52.5	71.5	37.5	90.5	25.5	486.5	40.5	12
1972	16.5	14.6	7.5	28	20	38.5	22	36	21	27	23.5	55.5	310.1	25.8	12
1973	18.5	6.5	5	7.5	52	63	48.5	69.5	30	66.5	31	17.9	415.9	34.7	12
1974	13.7	39.3	21.5	31.2	28	77	57.1	26	99.8	44.5	23	11.8	472.9	39.4	12
1975	27.9	9	9.1	5.2	62	53.6	29	44.8	65.2	81.7	47.5	8	443	36.9	12
1976	23.7	19.3	1.8	8.5	23	40	41.7	42.5	40	35.4	23.5	20	319.4	26.6	12
1977	7.4	9.2	11.5	25.4	20.7	60.7	17.2	49.5	62.5	49	22.5	35.5	371.1	30.9	12
1978	10.8	8	24.6	27.3	71.4	42.8	91.4	55.6	41	29.4	9.7	21.3	433.3	36.1	12
1979	14.4	14.1	5.2	34.7	23.8	40	60	44	44.5	28.2	16	13.8	338.7	28.2	12
1980	12.3	14	13.4	20	38.2	68.7	46.2	26	42.3	49.2	18.1	13.7	362.1	30.2	12
1981	6	22.9	10.5	30	27.4	48.4	41.4	43.4	31.8	28.1	7	9.2	306.1	25.5	12
1982	7	9.5	16.5	48.5	39.9	22.6	20	41.9	49.3	30	37	15.9	338.1	28.2	12
1983	18	41.5	20	4	63.7	46	99.7	27.1	74	36.8	26.8	14.4	472	39.3	12
1984	12.8	6.5	10.5	9.8	44.4	40	50	58.8	70.2	55	11	18.2	387.2	32.3	12
1985	6	14.5	9.5	22.9	14.4	50.9	40.9	41.9	34.5	29.8	9.5	30	304.8	25.4	12
1986	17.6	8.1	36.2	25.1	29.4	57	22	65	49.7	35.4	22.3	10.1	377.9	31.5	12
1987	4	3.6	22	26.3	37.9	82.8	43.5	20.5	82.4	11	14	34.9	382.9	31.9	12
1988	26	27	16.5	2.5	20	56.5	25.4	38.9	35.1	62.2	22.2	10.5	342.8	28.6	12
1989	12	17	3.5	10.2	44.1	65	19.5	58.5	68.7	34.1	9	12.3	353.9	29.5	12
1990	13.2	75	26.1	44.1	20	42.6	95.3	35.1	38.8	26.7	60	48	524.9	43.7	12
1991	12.8	15.2	7.6	21	15.7	58.7	20	26.9	28.9	27.5	7.5	29.5	271.3	22.6	12
1992	20	9	4	12	19	58.5	28	31	38.5	20	17.5	22	279.5	23.3	12
1993	11.5	19.1	13	11	30	43.5	56.8	47	21	46		10	308.9	28.1	11
1994	14	19	19	18	8	14	35	45	46	45	20	8.1	291.1	24.3	12
1995	4	4.5	43	25	22	32	46.5	60	68	46.6	13	8	372.6	31	12
1996	16	3	8.5	48	45	45	32.5	40	30	23	13		304	27.6	11
1997	3.5	0.01	18.5	12	55	4.1	2.3	21	46	25	2.1	11.5	201.01	16.8	12
1998	8	0	0.01	0.3	5.2	34	36		42	30	23.5	1.2	180.21	16.4	11
1999	3	4	4.5	2.7	26	62	15	46	4	4.3	1.5	3.5	176.5	14.7	12
2000	21	8.5	0.2	9	4.3	3.1	42	4	68.5	19	1.7	11	192.3	16	12
2001	2.3	35	20	37.8	34	28	61	65	45	38	18	3	387.1	32.3	12
2002	16	18	18	2	13	42	18	18	30	18	14	26	233	19.4	12
2004	9	4.5	5	32	16	40	22	18	23	26	10	2	207.5	17.3	12
2005	3	0	3	8	20	46	24	43	42				189	21	9
2006											11.5	11.5	23	11.5	2
2007	65	0	3.5	9.5				26.9	78.5	124	19	0	326.4	36.3	9
2008	19	24	18.5	19.5	52.9	58.4	25.9	57	47.5	15.2	38.2	2.1	378.2	31.5	12
2009	23.2	5.1	6.2	6.3	19.2	19.2							79.2	13.2	6
MÍNIMA	2.3	0	0.01	0.3	4.3	3.1	2.3	4	4	4.3	1.5	0	9	9	1
MÁXIMA	65	75	43	48.5	71.4	82.8	99.7	87.5	99.8	124	90.5	75.5	524.9	43.7	12
MEDIA	16	14.5	12.9	18.8	30.3	45.2	40.7	42	48	38.4	21.7	17.6	306.8	27.6	10.7
DESV.ST	12.5	14.3	9.7	13	16.6	17.8	22.7	16.9	20.8	22.7	17.8	15.5	126.5	8.4	3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1966												22.7	22.7	22.7	1
1967	95.6	16.8	27.9	64.1	59.9	314.6	133.5	291.4	267.8	352.5	37.9	104.5	1766.5	147.2	12
1968	84.2	30.5	39.5										154.2	51.4	3
1969										114.5	159.5	37	311	103.7	3
1970	74.5	22	1.5	26	82	261.5	409.5	452.5	275.1	196	73	23	1896.6	158.1	12
1971	19.5	33	73.5	46	78	266	320	454	301	200.7	144.8	57.5	1994	166.2	12
1972	64.5	34.1	42.5	40.5	51	268	220	193.5	169	127	118	100	1428.1	119	12
1973	23.1	20.5	8.5	13	155.5	372	238	632.5	221.5	381.8	73.8	43.1	2183.3	181.9	12
1974	39.9	95.1	62.8	82.3	137.3	310.3	287.7	161.9	439	264.5	60.6	31.6	1973	164.4	12
1975	81	15.1	22.3	15.9	274.6	294	234.9	226	446.2	300.5	99.4	31.7	2041.6	170.1	12
1976	79.4	59.1	2.3	20.7	98.4	275.1	234.5	189.9	236.1	209.9	157.1	53.1	1615.6	134.6	12
1977	16.2	22.9	21.9	53.6	70.41	241.01	92.5	451.5	304.3	136.3	67.2	111	1588.82	132.4	12
1978	29	21.2	46.6	59.5	246.7	308.8	366.1	313.8	301.6	197	44.01	90.1	2024.41	168.7	12
1979	32.02	42.8	10.7	82.1	147.1	307.2	297.8	242.4	323.4	123.21	78.6	69.9	1757.23	146.4	12
1980	31.3	36.1	21.8	47.41	94.8	358	211.7	207.2	286	241.8	72.01	39.3	1647.42	137.3	12
1981	11.5	72.31	34.9	85.41	97.4	415.3	329.11	358.31	334.6	192.7	23.2	22.9	1977.64	164.8	12
1982	13.6	31.5	34.3	132.8	228.7	161.8	141.1	213.4	451.8	155.8	70.1	49.4	1684.3	140.4	12
1983	43.1	72.6	50.3	8.7	111.4	257.1	261.21	187.7	547.8	110.5	51.07	54.21	1755.69	146.3	12
1984	39.8	16.1	17.6	18.9	313.9	282	401.7	448.5	566.1	123.9	23.2	57.8	2309.5	192.5	12
1985	22.6	54.5	23.7	77.8	88.9	294.1	268	406.4	310.1	65.3	17.75	86.82	1715.97	143	12
1986	99.9	12.4	49	51.6	85.4	278.9	119.3	268.9	149.1	123.31	77.5	30.6	1345.91	112.2	12
1987	9.6	5.2	46.3	42.7	122.4	416.1	239.2	118	283	83.2	45.8	54.5	1466	122.2	12
1988	72.22	91.1	30.9	5.9	38	421.6	187.6	314.9	200.8	232.3	51	20.93	1667.25	138.9	12
1989	26.1	57.4	12.4	27.6	147.8	325.9	150	303.5	380.41	206.1	31.9	37.5	1706.61	142.2	12
1990	26.1	88.8	74.61	118.7	88	199.01	343	186	350.41	116	201.21	106	1897.84	158.2	12
1991	23.3	41.8	7.7	57.2	63.9	297.61	91.7	184.5	252.21	160.8	35.7	57.1	1273.52	106.1	12
1992	64.2	9	12	41	112.3	464.3	128.8	216.01	306.8	108	105	63.6	1631.01	135.9	12
1993	33.5	36.6	40.5	32.5	98	364.8	184.2	446	182	240.01		47	1705.11	155	11
1994	59	67	62.5	60	36	76.5	164	225	303	182.5	31	24.1	1290.6	107.6	12
1995	7.5	9.5	45	49.5	79	366.5	510.4	441.5	393.5	203.6	26	27.5	2159.5	180	12
1996	36	3.1	40.5	170	112.5	420	200	199.4	214.11	152.2	65.5		1613.31	146.7	11
1997	8	0.01	19.5	44.6	144.5	7.53	6.14	101	257.51	153.01	8.64	37.5	787.94	65.7	12
1998	12.51	0	0.01	0.7	5.2	217.51	220.02		214.51	190.02	51.51	2.14	914.13	83.1	11
1999	4.5	10	9.51	10.6	77.51	369.11	66.51	196.7	28.9	23.51	5.82	7.11	809.78	67.5	12
2000	45.02	20.5	0.2	30.5	22.5	9.12	132.51	36.24	438.03	70.51	4.7	28.51	838.34	69.9	12
2001	9.32	107.5	42.5	103.12	131.2	147.03	151.03	271	324.5	183.52	26	5	1501.72	125.1	12
2002	38	52.01	38.01	5	58.5	261.52	112.04	67.03	196.52	73.04	58.06	55.01	1014.74	84.6	12
2004	29.52	8.53	13.01	39.02	70	158.01	137.01	51.01	131	53.02	28.02	4	722.15	60.2	12
2005	4	0	6.5	10	47	305	163.5	189.02	167.52				892.54	99.2	9
2006											38.5	18.7	57.2	28.6	2
2007	192	0	3.5	13				235.2	229.3	553.6	55.5	0	1282.1	142.5	9
2008	36	44.5	37	38.8	133.9	518	211.8	215.2	354.4	89.4	43.4	3.1	1725.5	143.8	12
2009	35.7	8.3	15.7	22.3	76.6	111.9							270.5	45.1	6
MÍNIMA	4	0	0.01	0.7	5.2	7.53	6.14	36.24	28.9	23.51	4.7	0	22.7	22.7	1
MÁXIMA	192	107.5	74.61	170	313.9	518	510.4	632.5	566.1	553.6	201.21	111	2309.5	192.5	12
MEDIA	41.8	34.2	28.7	47.4	107.5	282.2	215.3	262.1	293.1	176.1	62.2	44	1405.1	123.5	10.7
DESV.ST	35.8	29.3	20.4	37.4	66.5	114.9	106.2	132.3	112.3	100.6	45.1	30.4	605.9	43	3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969										109.9			109.9	109.9	1
1970											50.5	49.5	100	50	2
1971	43.48	42.82	54.83	106.36									247.49	61.9	4
1972		79.3	110.6	137.5	133	97.1	103.7	96.2	92.1	90.2	56.1	50.4	1046.2	95.1	11
1973	59.9	72.8	149.1	131.5	103.4	86.5	107.3	107.2	92.4	59.6	74.5	67.4	1111.6	92.6	12
1974	77.1	86.1	104.3	119.7	146.5	86.6	116.1	95.4	96.6	70.4	72.4	65.8	1137	94.8	12
1975	75.5	89.8	130.3	149.6	150.7	109.1	123.2	128.8	95.5	100.9	73.9	74.2	1301.5	108.5	12
1976	57.7	81.1	135.5	145.6	125.3	102.1	102.9	129.7	106.3	77	52.8	45.3	1161.3	96.8	12
1977	72.1	60.5	143.9	96.3	131.3	108.8	137.5	142.2	105.3	76.4	66.6	59.4	1200.3	100	12
1978	59.2	95.5	115.2	136.1	148.8	117.1	113.3	126.2	80.1	88.1	59	55.2	1193.8	99.5	12
1979	64.3	70	109.3	121.3	105	108.5	106.9	95.3	90.1	73.6	55.5	45.6	1045.4	87.1	12
1980	61.9	76.2	113.5	87.5	123.8	102.2	117.9	101.9	91.6	76.8	73.6	39.1	1066	88.8	12
1981	59.8	68.9	116.9	131.4	125.8	92.9	101.9	105.6	103.7	73.5	59.1	52.1	1091.6	91	12
1982	66	64.7	122.6	152.6	145.6	80	90.3	117.6	91	62	67.4	71.9	1131.7	94.3	12
1983	81.6	91.5	156.7	162.3	163.9	97.1	101.2	113.4	88.86	83.5	81	77.7	1298.76	108.2	12
1984	59.25	81.52	150.28	165.8	126.97	57.97	92.6	101.03	70.6	125.71	89.82	98.3	1219.85	101.7	12
1985	89.1	80.65	133.35	120.84	119.69	86.37	113.4	103.87	85.8	90.95	77.2	74.1	1175.32	97.9	12
1986	93.21	105.13	133.87	156.69	133.79	118.27	130.6	140.86	95.93	110.72	69.57	79.34	1367.98	114	12
1987	93.51	114.12	126.52	108.88	155.51	107.66	101.72	119.21	99.14	64.78	71	79.3	1241.35	103.4	12
1988	60.8	74.42	109.59	135.98	176.52	88.23	122.23	89.61	79.35	71.41	74.87	68.7	1151.71	96	12
1989	70.14	81.53	122.19	128.56	104.71	75.63	100.18	90.68	66.82	75.8	43.63	48.67	1008.54	84	12
1990	44.83	49.82	121.7	120.02	106.04	79.73	99.17	106.2	70.67	69.73	54.4	55.74	978.05	81.5	12
1991	47.67	43.18	144.71	165.51	112.49	95.9	124.83	89.88	87.61	72.56	44.66	47.96	1076.96	89.7	12
1992	36.45	35.9	86.49	122.59	123.96	91.15	88.33	94.75	71.75	61.96	69.5	62.89	945.72	78.8	12
1993	54.02	44.78	73.57	113.45	104.65				62.05	100.7		51.81	605.03	75.6	8
1994	53.49	56.73	70.77	79.65	81.19	88.07	67.94	70.93	77.65	69.52	59.89	57.69	833.52	69.5	12
