COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7151 
 NOMBRE    : SAN QUINTIN (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OCOSINGO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.40583333 ° 
 LONGITUD  : -91.34583333 ° 
 ALTITUD   : 200 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964							55.5	41	54.5	54	20.5	25.6	251.1	41.9	6
1965	27.2	11.8	41	15	21	40.2	144.6	47.5	26.5		30.1	10	414.9	37.7	11
1966	14	11.4	9.3	42.6	113	66.8	60	64.3	134	57.7	13.5	4.5	591.1	49.3	12
1967	29	8.5	12.5	40.5	37	51.5	47.5	49.5	61	60	35	10.5	442.5	36.9	12
1968	23.5	3	31.5	20.5	55.5	89.5	41	67.5	93	47	8	35	515	42.9	12
1969	12.5		35.5		33.5	76		114.5	43	43	21		379	47.4	8
1970	17.5	21	13	25.5	44.5	62	68	56	79	36	9.5	20	452	37.7	12
1972	19	10.5	13.5	7.5	42.5	63.5	79.5	49.5	46	51.5	20.5	13.5	417	34.8	12
1973	7.5	11	0.5	20	51.5	61	52.5	56.5	80.5	84.5	49	23.5	498	41.5	12
1974	30	32	8	23	33	69	73.5	26	65	45	79.5	8	492	41	12
1975	22.5	24	22.5	0.5	40.5	62.5	71	52	109	125	68	16.5	614	51.2	12
1976	19	18	10.5	17	65.5	68.5	64.5	65	71	58	21.5	8	486.5	40.5	12
1977	7	13.5	0	47.5	32.5	113	34	58.5	46	34.5	25.5	22.5	434.5	36.2	12
1978	13.5	9	11.5	60.5	75	59.5	67	54	61	55.5	15	33	514.5	42.9	12
1979	5.5	15.5	16	9	26.5	61	100	77	70	82	11	45.5	519	43.2	12
1980	35	11	6	15	34	56.5	41	65.5	75.7	53.5	31.5	19.5	444.2	37	12
1981	11.5	27.3	37	62.5	24.6	99.2	64	68.8	64.4	39.3	18	18	534.6	44.5	12
1982	17.9	14.9	41.3	11.2	81.5	70.5	37.1	60.4	97.4	34.6	37.1	17.8	521.7	43.5	12
1983	4.8	16	20.7	21.9	23.7	64.9	58.7	63.5	70	43.5	32.7	17.4	437.8	36.5	12
1984	9.4	7.6	4.8	29.9	125.8	89.8	101.5	91.7	85.1	31.4	6.9	22	605.9	50.5	12
1985	9	17.4	19.5	10	34.9	53.3	34	76.6	65.7	28.4	26.4	35.5	410.7	34.2	12
1986	13.6	54	21	19.7	51.5	111.5	39.1	40.3	47.9	42.4	28.6	19	488.6	40.7	12
1987	6	2.6	18.5	98	1.5	76	50.5	56.6	46.8	38	23.6	33.6	451.7	37.6	12
1988	21	24	7.3	27.4	7.7			114.4	80.3	42	21.5	11.5	357.1	35.7	10
1989	21.4	13.2	1.4	20	39.5			38.7	52	40	46.9	14.5	287.6	28.8	10
1990	22.5	6.5	14.9	20.5	38.8	52.2	51.3	87.1	80.3	40.2	35.1	45.4	494.8	41.2	12
1991											35.7	46.9	82.6	41.3	2
2012								40	60.5	30.2	25	25	180.7	36.1	5
2013	25												25	25	1
2014								45.5	35.5	60	30	4	175	35	5
2016				0	10	35		25	43.2	62.3	82	15	272.5	34.1	8
2018	10	20	0	0	30								60	12	5
MÍNIMA	4.8	2.6	0	0	1.5	35	34	25	26.5	28.4	6.9	4	25	12	1
MÁXIMA	35	54	41.3	98	125.8	113	144.6	114.5	134	125	82	46.9	614	51.2	12
MEDIA	16.8	16.1	16.1	25.6	43.5	68.9	62.4	60.4	67	50.7	30.3	21.4	401.6	38.7	10.1
DESV.ST	8.3	10.7	12.5	22.2	28.6	19.7	25.8	21.7	23.1	20.1	18.9	12	156.8	7.5	3.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964							451.03	208.02	358	199.63	85.64	144.21	1446.53	241.1	6
1965	89.16	22.84	53.38	28.02	58.51	293.9	434.82	238.44	313.23		115.54	44.75	1692.59	153.9	11
1966	40.08	38.12	47.39	183.44	271.7	439.51	325.58	352.16	632.53	416.24	55.63	18.2	2820.58	235	12
1967	60.77	27.61	25.64	74.13	56.07	411.52	277.04	282.07	266.55	369.59	113.61	21.61	1986.21	165.5	12
1968	86.6	10.16	56.09	30.04	280.04	459.02	300.04	394.05	442.6	252.55	34.36	73.2	2418.75	201.6	12
1969	36		111.5		175.5	308.5		574.5	525	216	107		2054	256.8	8
1970	48.5	43.5	15	39.5	129	275	591.5	401	466	229.5	53	90	2381.5	198.5	12
1972	81.5	27	47	15.5	57.5	378.5	556.5	320	335.5	225.5	115.5	41	2201	183.4	12
1973	24.5	20.5	0.5	26	192.5	416.5	286.5	471	339	558	245	31	2611	217.6	12
1974	101.5	62.5	23	64.5	205.5	427.5	364	152	301.5	326.5	157.5	50	2236	186.3	12
1975	109.5	44	26	1	77	265	241	240.5	463.5	472.5	189.5	87.5	2217	184.8	12
1976	107	45	19	23	131	434.5	461.5	207.5	524	182	100.5	58	2293	191.1	12
1977	18.5	30.5	0	71.5	93.5	468	251.5	348.3	353	195	89	110.5	2029.3	169.1	12
1978	44	27.5	30.2	103.5	326	540	459	383	613.5	289.5	108.5	80.5	3005.2	250.4	12
1979	25	31.5	33.5	32	121	384	447	574	506.5	201	43	204	2602.5	216.9	12
1980	100	41	21.5	44.5	129.5	397	384	443.5	456.8	186.8	99.7	99.6	2403.9	200.3	12
1981	45.5	100.2	63.5	183.8	79.5	540.5	456.2	660.1	548.8	262.6	39.9	85.1	3065.7	255.5	12
1982	56	49.1	49.2	25.7	348.8	494	324.8	308.8	487.3	249.9	102.9	58.1	2554.6	212.9	12
1983	14.7	48.7	59.1	43	42.3	308	462	321.5	423.7	186.8	78.5	65.6	2053.9	171.2	12
1984	31.43	20.14	12.1	57.03	390.45	405.72	535.41	567.62	699	219.59	29.19	137.04	3104.72	258.7	12
1985	23.54	72.77	50.85	12.24	112.7	391.8	201.77	313.34	501.94	189.47	103.06	155.81	2129.29	177.4	12
1986	60.09	87.06	29.75	25.81	202.31	436.9	282.7	298.63	415.62	192.76	146.85	36.99	2215.47	184.6	12
1987	14.11	5.18	49.16	99.33	2.62	566.94	468.42	368.85	325.34	69.52	88.93	131.69	2190.09	182.5	12
1988	80.49	77.16	15.77	65	19.88			865.43	432.67	216.7	89.02	43.13	1905.25	190.5	10
1989	101.41	49.75	3.44	75.74	171.43			308.21	489.63	221.94	191.73	40.98	1654.26	165.4	10
1990	117.13	20.65	31.66	81.71	151.63	453.3	374.91	350.81	463.71	168.13	159.53	121.2	2494.37	207.9	12
1991											121.65	201.88	323.53	161.8	2
2012								163.7	336.8	141.6	151.9	100	894	178.8	5
2013	195												195	195	1
2014								212.8	269.9	460.5	84.5	4	1031.7	206.3	5
2016				0	27.2	190.5		198.2	506.2	505.5	262.5	64.1	1754.2	219.3	8
2018	43.7	85	0	0	100.5								229.2	45.8	5
MÍNIMA	14.11	5.18	0	0	2.62	190.5	201.77	152	266.55	69.52	29.19	4	195	45.8	1
MÁXIMA	195	100.2	111.5	183.8	390.45	566.94	591.5	865.43	699	558	262.5	204	3104.72	258.7	12
MEDIA	65	43.5	33.6	54.1	146.4	403.6	388.6	363	441.3	264.5	112.1	82.7	2006.1	195.8	10.1
DESV.ST	41.7	25	25	48	103.6	92.9	107.3	161.3	109.2	118.8	57	51.6	764.1	40.1	3.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
