COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7156 
 NOMBRE    : SANTA MARIA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : HIDALGO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.93888889 ° 
 LONGITUD  : -93.82083333 ° 
 ALTITUD   : 345 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0.5	42	37		53.5	80	79	48.6	18	89.8	29.6	17.5	495.5	45	11
1962	42	3	16.7	26	34.6	36.2	26.4	46.3	127.5	29.2	16.8	14	418.7	34.9	12
1963	17.3	58	9.4	6	15.6	27.8	90	67.5	83.8	22.4	45.6		443.4	40.3	11
1964	53	6.1	31.1	9	30.5	57	112	46	34.9	53.1	15	80.5	528.2	44	12
1965	39.8	13.7	23.5	48	47.5	40	26.4	133.4	32.5	67.3	22.2	38.6	532.9	44.4	12
1966	19.6	6.4	14.6	37.4	40	63.6	27	41.8	53	46.2	40.1	28.3	418	34.8	12
1967	38	8.6	13.2	15.5	44.7	84.5	26.2	33.5	131.4	44	16.1	118.7	574.4	47.9	12
1968	35.5	21.3	31	12.4	18	48.3	35.3	22.5	51.4	84.6	31.5	48	439.8	36.6	12
1969	15		11.5		40.6	64		76.8	54.5	50.5	102.5		415.4	51.9	8
1970	49.5	22.6	7.5	9.7	24.7	33	93.8	36.5	80	35.6	47	5.3	445.2	37.1	12
1971	9.2	17.6	40.6	26.3	57	44.6	42.8	80	59	81.8	40	28.5	527.4	44	12
1972	36.7	18.8	14.1	15.7	46.7	125.8	37.7	47.6	33.7	27.2	53.5	41.2	498.7	41.6	12
1973	21.5	14	58	10.6	44.4	71.5	68.1	99.7	59.4	30.5	112	31.2	620.9	51.7	12
1974	27.3	47	46.8	90.8	59.5	50.9	39.5	40.2	92.7	34.7	33.7	11.4	574.5	47.9	12
1975	38.5	9.3	10	5.2	83.2	39.5	25.2	68.6	101.2	66.2	82.5	23.4	552.8	46.1	12
1976	82.8	55.7	14.5	2.7	22.5	50.7	60.3	37.5	80.3	52.5	23.2	20	502.7	41.9	12
1977	28.6	7.4	26.2	8.3	44.1	23.8	40.6	75.4	52.1	50.1	103.5	68.2	528.3	44	12
1978	25.2	20.3	22.3	3.4	56.7	90.1	52.3	42	46.2	31.3	43.9	46.6	480.3	40	12
