COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7157 
 NOMBRE    : SANTO DOMINGO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : UNIÓN JUÁREZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.0275 ° 
 LONGITUD  : -92.10416667 ° 
 ALTITUD   : 859 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1944					63.1	72	20	74.5	170	74	135.5	26.5	635.6	79.4	8
1945	3.5	5	42.5	23.5	98.5	92	100	67	131	100	65	49	777	64.8	12
1946	66	66	94	63	88.5	60	57	75	90	78	62	0.01	799.51	66.6	12
1947	20.5	37	81	75	150	128	87.5	98	60	67	81	36	921	76.8	12
1948	57.5	4	112.5	35	94	95	150.5	83	70.5	106.5	89.5	23.5	921.5	76.8	12
1949	30	36.5	127	90	40	103.5	77	79.5	69.5	262	166.5	74	1155.5	96.3	12
1950	14.5	17	45	170	75	87	50	83	78	168	50	17.5	855	71.2	12
1951	9	19	56	34	85	110	70	51.5	130	70	20	0	654.5	54.5	12
1952	5	40	34	80.5	120	58	56	120	100	57.5	41	0.01	712.01	59.3	12
1953	12	25	40	68	140	69.5	80	50	90	210	50.5	20	855	71.2	12
1954	0	18	15	94	94	90	90	85	99.5	100	30	75	790.5	65.9	12
1955	77	52	28	40	70	70	195	79	79.5	115	59	64	928.5	77.4	12
1956	25	52	83	89	89	79	69	69	103	96	50	49	853	71.1	12
1957	15	35	59	89	79	59	82	92.3	120	160	25	14	829.3	69.1	12
1958	6.5	3	60	40	100	130	65	105	110.5	120	89.5	16	845.5	70.5	12
1959	85	45	44	45	64	89.5	70	151	63	87	20	18.5	782	65.2	12
