COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7158 
 NOMBRE    : SAYULA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OSTUACÁN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.38333333 ° 
 LONGITUD  : -93.41666667 ° 
 ALTITUD   : 180 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	120.9	72	150	25	56	44.7	68.3	64	125.4	199.4	93.5	139	1158.2	96.5	12
1962	137.4	24	85.3	80	20	67	75	113.5	127.2	84.7	25.1	35.8	875	72.9	12
1963	113	72.6	172.4	38.5	29.2	39	109.2	87.7	111.2	88	137.8	123	1121.6	93.5	12
1964	76.4	32.2	44.2	95.5	58	80.4	56.2	46.8	107.8	107.5	163.3	179	1047.3	87.3	12
1965	83.6	103.4	172.3	90.5	2.6	53.2	50.5	82.3	119.5	256	40	160	1213.9	101.2	12
1966	74.8	45	57	19.5	34.4	118.3	38.4	54.5	76.5	138.4	112	48.7	817.5	68.1	12
1967	89	63.8	30.3	24.6	52.2	94.5	46	56.5	156.5	147.6	54.4	392	1207.4	100.6	12
1968	119	35.6	37.9	42.7	53.4	84.3	67.5	66.8	95	170.9	57.5	94.8	925.4	77.1	12
1969	97.2	40	28.8	31.8	84	57	61.5	72.9	59.3	80.1	192.3		804.9	73.2	11
1970	179.3	101.8	16.3	62.1	140.9	85.7	135.7	126.7	183.7	124.2	98.8	29.3	1284.5	107	12
1971	46.7	22.6						67.6	88.4	63	156.6	170	614.9	87.8	7
1972	153.5	100.8	55.1	100.2	42.1	87.5	99	144.1	143.6	73	165.6	244.5	1409	117.4	12
1973	111.4	36.5	18.5	60		34.1	122.8	203.4	80	116	154.4	75.6	1012.7	92.1	11
1974	98	118.6	22	331.5	83	130	61	65	181	190.7	140	21	1441.8	120.2	12
1975	93	78.3	36	31.6	65.4	76.1	42	66	123.8	175.5	135.3	182.5	1105.5	92.1	12
1976	122	124.5	72.3	120	26.1	96.5	30	119.5	53.2	241	107.5	84.5	1197.1	99.8	12
1977	45	74	68	35.3	17.3	152.4	95.8	105	67	60	174	115	1008.8	84.1	12
1978	86.3	67.3	138	16.2	120	54.4	73	58	119	119.5	127.4	274	1253.1	104.4	12
1979	117.2	76.2	124.2		157.2	200	49.7	63	144.7	142.5	92	200.8	1367.5	124.3	11
1980	48.4	96.5	86.7	38	18.5	41.5	64.1	83.6	88.5		120.2	54	740	67.3	11
1981	33.8	109.8	60	40	82	100	98.5	96.3	60.1	154	102.6	77.4	1014.5	84.5	12
1982	47	58.3											105.3	52.6	2
2017	209	1.9	30.8	140.4	101.7	47.7	47.3	79.7	80.2	149.4	27.4	55.6	971.1	80.9	12
2019	76	72	141.4	16.4	31.5	53.5	171.4	63.3	91.2	110.5	191.8	145.1	1164.1	97	12
2020	53.6	96.2	50.7	61.5	184	173	84.2	95.4	177.5	202.9	282.8	94.2	1556	129.7	12
2021	68.4	39.2	84.3	15.8	83.2	67.2	98.3	72.9	158.9	150	119.4	85.9	1043.5	87	12
MÍNIMA	33.8	1.9	16.3	15.8	2.6	34.1	30	46.8	53.2	60	25.1	21	105.3	52.6	2
MÁXIMA	209	124.5	172.4	331.5	184	200	171.4	203.4	183.7	256	282.8	392	1556	129.7	12
MEDIA	96.2	67.8	74.3	66	67.1	84.9	76.9	86.2	112.8	139.4	122.9	128.4	1056.2	92.3	11.3
DESV.ST	42.5	32.7	49.6	67.7	47.8	43.3	34.1	34.7	39.4	53.5	58.4	87.7	295.9	18.5	2.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	477.51	246.61	266.51	115.21	86.7	209	253.42	413.1	367.92	811.12	335.02	295.74	3877.86	323.2	12
1962	400.54	45.42	219.4	332.51	66.51	263.2	203.41	651.11	798.91	405.72	79.52	149.44	3615.69	301.3	12
1963	509.32	252.03	403.92	65.92	97.81	181.81	481.72	531.61	885.71	425.12	486.43	324.32	4645.72	387.1	12
1964	328.86	168.14	187.51	281.4	283.4	463.91	457.41	239.82	544.03	390.06	553.21	856.14	4753.89	396.2	12
1965	341.69	356.97	349.62	244.4	5.11	301.51	258.71	318.44	409.13	982.22	233.83	539.15	4340.78	361.7	12
1966	344.23	266.36	188.96	73.95	128.82	497.6	282.5	307.84	356.31	692.71	278.13	266.1	3683.51	307	12
1967	431.24	190.82	93.8	72.71	134.01	320.81	279.51	387.2	696.5	775.31	124.23	772.5	4278.64	356.6	12
1968	466.72	188.51	109.92	73.81	164.12	420.03	439.01	434.71	563.91	643.12	255.7	295.7	4055.26	337.9	12
1969	367.1	122.41	140.7	64.6	162.9	249.7	418.8	407.3	703	435.6	568.4		3640.51	331	11
1970	425	177.92	44.7	111	410.7	439.9	872.3	643.61	775.3	511.9	325.2	92.91	4830.44	402.5	12
1971	164.71	36.33						640.82	393.62	190.23	687.65	349.54	2462.9	351.8	7
1972	439.6	274.4	110.3	132	66.9	695.3	407.8	653.81	646.2	315	674.2	464.5	4880.01	406.7	12
1973	331.4	186.2	18.5	170.1		231.1	264.2	936.6	470.7	971.5	238.7	239.3	4058.3	368.9	11
1974	288.5	488.6	29	616.9	143.6	445.1	326	341.9	746.8	570	579.3	101.3	4677	389.8	12
1975	386.6	183	65.71	49.4	142.7	230.6	284.1	315	699.5	911.1	567.6	310.5	4145.81	345.5	12
1976	532.2	253.3	95.9	123.9	64.5	472	150	443.5	354.1	804.9	773.6	512.71	4580.61	381.7	12
1977	190.4	333.2	166.1	88.6	37.2	380.2	494.8	362.6	217.5	321.2	581.6	359.2	3532.6	294.4	12
1978	233.9	231	288.7	29.9	266.9	418	569.9	407.1	598.2	798.1	493.7	405.2	4740.6	395	12
1979	389.4	216.1	217.6		365.1	652	336.2	393.4	782.6	431.81	328.7	818.21	4931.12	448.3	11
1980	155.1	339.4	256.5	161.1	44.81	347.8	351.9	293.9	595.5		647.8	220.2	3414.01	310.4	11
1981	112	564.51	251.2	74.4	140.2	627.7	471	630.6	517.5	631.7	249.9	277.7	4548.41	379	12
1982	185.8	389.9											575.7	287.9	2
2017	317.6	5.5	64.8	239	320.91	303.21	272.42	244.94	559.11	861.3	172.9	147.41	3509.1	292.4	12
2019	248.2	317.21	560.1	66.2	106.8	401.2	292.5	251.61	381.91	590.5	640.6	570.7	4427.53	369	12
2020	144.3	406.71	59.32	152.5	569.3	641.32	234.71	448.22	953.61	866.92	1324.9	395.8	6197.61	516.5	12
2021	366.9	90	281.21	52.2	279.6	231.73	310.1	328.5	661.4	873.6	305.6	166.81	3947.65	329	12
MÍNIMA	112	5.5	18.5	29.9	5.11	181.81	150	239.82	217.5	190.23	79.52	92.91	575.7	287.9	2
MÁXIMA	532.2	564.51	560.1	616.9	569.3	695.3	872.3	936.6	953.61	982.22	1324.9	856.14	6197.61	516.5	12
MEDIA	330	243.5	186.2	147.5	177.8	392.7	363	441.1	587.2	633.8	460.3	372.1	4090.4	360.4	11.3
DESV.ST	119.6	134	131.9	130	139.1	150.7	150.8	168.6	187.1	232.1	266.8	215.1	1005.4	52.2	2.1

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962					49.7	125.3	119.2	108	101.3	86	72.3	58	719.8	90	8
1963	53.8	67.7	105.4	124.7	121.4	126.7	96	103.8	74.8	77.6	51.3	67	1070.2	89.2	12
1964	53.5	76.2	102.2	100.2	93.4	56.1	101.5	110.1	91.7	82.5	70.5	46.1	984	82	12
1965	64.3	68.8	104.3	121.6	137.2	100.1	84.1	96.6	97.9	58.2	64.8	51.8	1049.7	87.5	12
1966	39.1	53.7	79.3	97.8	110.1	100.1	108.7	113.9	95.6	82	51.2	39.3	970.8	80.9	12
1967	46.6	65.3	113.6	137.7	138.1	108.5	109.9	105.2	99.4	61.1	59.5	63.1	1108	92.3	12
1968	45.8	58.6	85.5	104.6	117.4	108.2	97.1	88.6	93.6	75.2	66.4	52.2	993.2	82.8	12
1969	63.5	71.4	71.8	108.6	117.25	118	104.36	74.2	62.4	78.8	43.7		914.01	83.1	11
1970	45.7	54.2	108.8	115.4	114.7	86.8	89.6	102.8	80.3	56.5	53.1	52.8	960.7	80.1	12
1971	47.66	89.38						95.31	82.97	85.38	64.57	59.22	524.49	74.9	7
1972	59.9	92.6	143.2	146.4	115.6	93.5	94	100.7	92.6	81.7	55.6	56.9	1132.7	94.4	12
1973	50.8	42.9	127.6	111.1		106.7	98.4	82.6	88.9	70.6	64.7	57.9	902.2	82	11
1974	64	54.8	114.5	102.1	124.2	84.7	89.4	101.4	85.8	60.8	59	49.3	990	82.5	12
1975	43.4	68.1	115.1	133.2	144.2	100.9	101.9	100.4	89.5	89.3	54	56.8	1096.8	91.4	12
1976	47.7	63.9	34.5	104.4	114.2	94.9	96.3	78.2	92.9	59.2	29.6	25.3	841.1	70.1	12
1977	36.6	37.1	98.4	85	129.2	84.2	91.8	95.3	76	64.8	54.6	45	898	74.8	12
1978	42.7	51.8	82.6	110.7	138.6	76.9	75.9	78.5	68.6	58	48.3	48.2	880.8	73.4	12
1979	41.6	59.4	81.2		108.2	68.1	80.9	69.7	48.8	53.4	31.1	24.3	666.7	60.6	11
1980	48.2	49.5	101.2	75.5	129.3	80.1	105.8	88.2	58.9		34.5	26.3	797.5	72.5	11
1981	42.4	42.3	82	100.6	119.4	84.6	84.4	94.6	74.9	73.2	59.4	63.3	921.1	76.8	12
1982	62.1	59.9											122	61	2
2017	82.72	98.03	117.46	117.44	115.84	88.24	90.24	127.01	66.78	65.76	64.79	66.2	1100.51	91.7	12
2019	54.99	80.55	95.83	134.53	174	112.04	128.88	129.35	106.81	119.64	80.06	87.35	1304.03	108.7	12
