COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7159 
 NOMBRE    : SILTEPEC 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SILTEPEC 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.55694444 ° 
 LONGITUD  : -92.3225 ° 
 ALTITUD   : 1580 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969											49	14	63	31.5	2
1970	29	0	0	8	40	43	48	40	30	38	28	25	329	27.4	12
1971	20	14	20	26	35	30	30	75	39	38	58	23	408	34	12
1972	33.5	10	0	15	63.5	38	32	32	26	19	19	26	314	26.2	12
1973	16	20	20	9	16	26	21	19	19	15	20	12	213	17.8	12
1974	10	10	9	15	16	11	29	23	24.5	60.8	27.5	20	255.8	21.3	12
1975	26	11	0	0	38	46	22	28	30	20	19	13	253	21.1	12
1976	14	17	3	11	19		16	21	18	16	11	13	159	14.5	11
1977	4	5	7	4	9	24	11	22	19	11	12	11	139	11.6	12
1978	7	9	7	15	20	19	17	27	24	27	10	42	224	18.7	12
1979	21	5	5		22	16	29	43	47		26	13	227	22.7	10
1980	7	5	9	24	58	30	29	23	24	19	16	11	255	21.2	12
1981			13	0	43	52			46	28	0	19	201	25.1	8
1982	21	0	0	28	77	21	21	21	21	39	22	0	271	22.6	12
1983	14	34	28		23	32	19	21		21		11	203	22.6	9
1987	12	10	19	16.3	42.1	28	26	28	22		38	22	263.4	23.9	11
1988	27	18	9	12	37	23	28	27	19	23	27	11	261	21.8	12
MÍNIMA	4	0	0	0	9	11	11	19	18	11	0	0	63	11.6	2
MÁXIMA	33.5	34	28	28	77	52	48	75	47	60.8	58	42	408	34	12
MEDIA	17.4	11.2	9.3	13.1	34.9	29.3	25.2	30	27.2	26.8	23.9	16.8	237.6	22.6	10.8
DESV.ST	8.9	8.7	8.6	8.8	19.1	11.4	8.8	14.3	9.6	13.2	14.7	9.2	77.6	5.5	2.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969											77	18.7	95.7	47.9	2
1970	79.2	0	0	10	102	345	529.5	449	453.6	469	158	61	2656.3	221.4	12
1971	88.02	31.01	83.25	123.23	322.15	303.8	343.03	522	383	259.9	211.5	30	2700.89	225.1	12
1972	104.5	15.5	0	70	559.5	303	293	363	283	105	127	96	2319.5	193.3	12
1973	111.5	40	30	29	98	317	193	300	164	184	99	40	1605.5	133.8	12
1974	29	19	17	30	107	94.5	243.5	253	272.4	346.8	89	36	1537.2	128.1	12
1975	66	18	0	0	324	425	215	249	396	310	69	72	2144	178.7	12
1976	75	49	3	44	88		105	153	131	170	75	73	966	87.8	11
1977	16	19	13	18	52	247	41.6	182	162	82	51	51	934.6	77.9	12
1978	28	44	39	73	118	182	207	206.5	338	237	40.5	125.5	1638.5	136.5	12
1979	84	5	11		199.5	138	228	331.5	575		79	85	1736	173.6	10
1980	27	14	22	46.5	108.5	188.4	194	157	292	181	116	60	1406.4	117.2	12
1981			32	0	164	483			684	188	0	73	1624	203	8
1982	59	0	0	62.5	218	189	88	75	129	222	44	0	1086.5	90.5	12
1983	41	52	39		58	234	81	124		153		35	817	90.8	9
1987	27	22	87	21.9	126.1	273	210	246.9	238		130	85	1466.9	133.4	11
1988	135	69	16	28	93	205	158	209	214	165	103	82	1477	123.1	12
MÍNIMA	16	0	0	0	52	94.5	41.6	75	129	82	0	0	95.7	47.9	2
MÁXIMA	135	69	87	123.23	559.5	483	529.5	522	684	469	211.5	125.5	2700.89	225.1	12
MEDIA	64.7	26.5	24.5	39.7	171.1	261.8	208.6	254.7	314.3	219.5	91.8	60.2	1541.9	138.9	10.8
DESV.ST	36.2	20.4	27.3	33.7	132.4	104.8	120.2	121.9	162.3	101.6	50.6	31.3	669.1	52.6	2.6

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976	275	237	276	236									1024	256	4
1978												29	29	29	1
1980				103.3	105.2		76.2	113.2			79.5	69.3	546.7	91.1	6
1981			44.3	30	45.1				119.1	80.3	35	46.9	400.7	57.2	7
1982	68.1	26.9	46.9	66.2	86.8	73.3	44.1	87.3	111.2	94.4	43.4	52	800.6	66.7	12
1983	55.3												55.3	55.3	1
1987	57.29	57.65	60.57	75.03	94.87		19.38				51.88	69.28	485.95	60.7	8
1988	46.3	64.76	75.96	74	85.04	66.49	60.48	68.78	66.23	52.6	50.31	62.29	773.24	64.4	12
MÍNIMA	46.3	26.9	44.3	30	45.1	66.49	19.38	68.78	66.23	52.6	35	29	29	29	1
MÁXIMA	275	237	276	236	105.2	73.3	76.2	113.2	119.1	94.4	79.5	69.3	1024	256	12
MEDIA	100.4	96.6	100.7	97.4	83.4	69.9	50	89.8	98.8	75.8	52	54.8	514.4	85	6.4
DESV.ST	97.9	95	98.8	71.8	22.8	4.8	24.3	22.3	28.5	21.3	16.7	15.6	352.5	71.1	4.3

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969											21.3	21.7		21.5	2
1970	22.8	22.2	27.4	30.3	26	24.6	23.6	22.7	20.3	20.8	22.4	22		23.8	12
1971	23	25.1	26.7	27.1	23.2	21.4	20	21.2	21.6	21.2	22.5	24		23.1	12
1972	23.5	23.7	24.8	26.1	25.8	24.2	24.8	24.7	24.1	25	25.7	25.1		24.8	12
1973	24.5	27.3	28.2	30	24.4	23.6	24.4	24.2	24.9	23.1	24.7	23.5		25.2	12
1974	25.1	26.2	26.2	28.1	26.1	25.9	23.4	24.6	23.6	19.8	22.8	22.9		24.6	12
1975	23.1	25.5	29.8	32.5	32.2	25.3	24.3	24.3	24.4	23.7	23.3	22.1		25.9	12
1976	22.9	22.4	23.9	23.3	23.3		22.1	21.8	22.5	22.9	20.1	20.6		22.3	11
1977	22.1	23.4	24.4	23.8	24.1	22.9	22.4	22.3	21.9	22.7	23.2	22.2		23	12
1978	22.7	22.2	23.5	24.2	24.3	23.3	23.6	24.2	23.6	22.6	22.9	21.9		23.2	12
1979	22.8	24.9	26.8		27.3	24.7	24.7	23.2	22.4		22.3	23.9		24.3	10
1980	25.4	26.3	29.2	28.5	28.2	26.4	26.2	26	24.5	23.6	22.9	22.2		25.8	12
1981			24.1	26.3	25.9	23.4			24.6	24.4	26.3	25.6		25.1	8
1982	26.6	26	27.5	29.8	28.1	24.8	25.7	25.4	25.1	24.1	25.1	26.2		26.2	12
1983	25.8	27	28.4		31.1	26.4	25.3	25.9		25.2		24		26.6	9
1987	26	27	26.4	28.7	27.9	26.1	26.4	26.1	25.7		26.4	26.5		26.7	11
1988	24.7	26.5	28	27.9	27.2	26.7	26.3	26.4	26.5	26.3	26.4	25.9		26.6	12
MÍNIMA	22.1	22.2	23.5	23.3	23.2	21.4	20	21.2	20.3	19.8	20.1	20.6		21.5	2
MÁXIMA	26.6	27.3	29.8	32.5	32.2	26.7	26.4	26.4	26.5	26.3	26.4	26.5		26.7	12
MEDIA	24.1	25	26.6	27.6	26.6	24.6	24.2	24.2	23.7	23.2	23.6	23.5		24.6	10.8
DESV.ST	1.4	1.8	2	2.7	2.6	1.5	1.8	1.6	1.7	1.8	1.9	1.8		1.6	2.6

