COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7160 
 NOMBRE    : SIMOJOVEL (DGE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SIMOJOVEL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.14 ° 
 LONGITUD  : -92.71416667 ° 
 ALTITUD   : 660 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965										33.2	19	18.5	70.7	23.6	3
1966	8.7	22	9.4	16.9	19	109.5	34.5	18.5	41.7	30	15.9	14.8	340.9	28.4	12
1967	40	10.9	12.5	10.5	35.7	51.5	13.6	97.5	90.5	65.5	9.5	87.5	525.2	43.8	12
1968	35	9	11.5	13	68.7	49.5	42	20.5	22.5	103	22.5	22	419.2	34.9	12
1969	21	5.2	3.9	12	21.5	35.5	51.3	42.5	49	32.2	45	16	335.1	27.9	12
1970	40.2	11.4	8.5	16	27.5	42.5	40	108.1	65	39	46	9	453.2	37.8	12
1971	10	15.1	20	18.5	16.5	58.5	14.5	56.5	47.5	40	52	8.5	357.6	29.8	12
1972	9.2	12	16	37.5	22.5	69.9	43.5	43	46.5	20	30	38.5	388.6	32.4	12
1973	6	18.5	1.5	3.1	85.5	39.5	19	58.5	20.5	69.5	60.5	17.5	399.6	33.3	12
1974	8.5	37.5	11.5	41.5	34	53	27	39	62.5	52.5	80	29.5	476.5	39.7	12
1975	37	9	28	0	42.9	50	42.5	54.5	42.8	98	54	8.5	467.2	38.9	12
1976	31	16.5	2.5	13.5	16.5	56.5	57.5	70.5	26.5	35.5	32	13	371.5	31	12
1977	6	5	7.5	73.5	48	53	18	50	80	22	25.5	79	467.5	39	12
1978	80.5	8.5	20	15	20	28.5	56.5	44	35	59.5	28.5	22.5	418.5	34.9	12
1979	29.5	8.5	43	30.5	30.5	55.5	40.5	66.5	66.5	49	15.5	18.5	454	37.8	12
1980	5					35	49	21.7	80	38	35	15.5	279.2	34.9	8
