COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7161 
 NOMBRE    : SOCOLTENANGO (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SOCOLTENANGO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.24416667 ° 
 LONGITUD  : -92.35138889 ° 
 ALTITUD   : 894 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969											2		2	2	1
1970	8	0	0	0	42	47	73	80	70	36.5	18.5	12	387	32.2	12
1971	0	0		22.5	41	15.5	37.5	22.5	36	23.5	6.5	1.5	206.5	18.8	11
1972	5	0	11	20	58	48	48	20	70.5	22	12	3	317.5	26.5	12
1974	5	1	0	28	20	50	60	20	80	10	4.5	5	283.5	23.6	12
1975	5.5	0	30	26	16	35	69	55	35	60	23	0	354.5	29.5	12
1976	0	0	14.5	27	25	75	21	40	33	18	11.5	1	266	22.2	12
1977	0	0	0	30	300	30	4	34	76	23.5	9.5	12	519	43.2	12
1978	0	8	20	53	70	30.5	30	50		25	7	8	301.5	27.4	11
1979	0	3	1.5	35.5	17	43	49.5	25.5	48	20	2.5	3.5	249	20.8	12
1980	30	0	0	26.5	65	40	28	50.4	97	106.5	2.7	0	446.1	37.2	12
1981	0	10.5	12	11	27.5	153	45	98	28	90	3	11	489	40.8	12
1982	0	10	29	36	27	99	32	49	81	72	23	1	459	38.2	12
1983	0	35	41	0	25	53	48	32	107	11	15	3	370	30.8	12
1984	1	1	20	0	50	61	89	73	54	7	0	0	356	29.7	12
1985	0	0	3	74	32	330	17	81	39	48	26	9	659	54.9	12
1986	1	0	2	4	119	32	31	52	50	32	9	0	332	27.7	12
1987	0	0	13	5.5	23	84	26	39	75	1	0	0	266.5	22.2	12
1988	4.5	0	4	1.5	12	0	60	66	60	59	2	6	275	22.9	12
1989	2.2	15	2.1	34	12	53		40	52	60	2	0	272.3	24.8	11
1990	0	11	5	48	38	33	26	33	85	26	4	12	321	26.8	12
1991	0	32	0	65	25	78	82	35	43	26	10	15	411	34.2	12
1992	0	7	22	33	30	62	43	61	61	34	18	0	371	30.9	12
1993	11	0	100	87	142	98	35	60	69	37	0	0	639	53.2	12
1994	0	0	0	19	34	56	18	30.5		63.5	7	1	229	20.8	11
1995	8.5	20.5	24	35	40	49	29	96	67	40	2	15	426	35.5	12
1996	0	0	0	7	28.5	40	23	38	37	40	43	0	256.5	21.4	12
1997	39												39	39	1
1998											25	0	25	12.5	2
1999	13	15	0										28	9.3	3
2000										36	10	0	46	15.3	3
2001	0	0	0	6	86	30	68	34	80	51	0	0	355	29.6	12
2002	0	8	4	23	44	85	32	20	46	43	16	0	321	26.8	12
2003	0	0											0	0	2
MÍNIMA	0	0	0	0	12	0	4	20	28	1	0	0	0	0	1
MÁXIMA	39	35	100	87	300	330	89	98	107	106.5	43	15	659	54.9	12
MEDIA	4.3	5.9	12.8	27.1	51.8	64.6	41.6	47.7	60.8	38.7	10.2	4	302.3	27.4	10.1
DESV.ST	8.9	9.5	20.6	22.6	57.5	60.2	21.3	22.3	21	24.4	10	5.2	166.4	12	3.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969											5		5	5	1
1970	8.8	0	0	0	55	135	315	305	310.5	100	25.5	14.5	1269.3	105.8	12
1971	0	0		27	129.5	90.51	140.52	184.5	152.53	92.53	22.5	1.5	841.09	76.5	11
1972	5	0	24	27.5	147.5	265	160	69	123.5	67.8	30.5	3	922.8	76.9	12
1974	5	1	0	61	125	235	332.5	77	355	30.5	7.5	5	1234.5	102.9	12
