COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7162 
 NOMBRE    : SOYALO (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SOYALÓ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.89027778 ° 
 LONGITUD  : -92.92361111 ° 
 ALTITUD   : 1175 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961							38.5	40	36	36	30	0	180.5	30.1	6
1962	0	0	0	26	38.5	44	71	48	40	25	0	0	292.5	24.4	12
1963	0	21	18	3.5	44	61.5	40	45.5	83.5	0	46	0	363	30.2	12
1964	0	0	0	22.5	60	62.5	55.5	40	53	40.5	3.5	14	351.5	29.3	12
1965	0	20	12.5	9.5	20	45.5	43.5	48	45.5		0	4.5	249	22.6	11
1966	4.5	0	0	27.5	55	51	26	51.5	65.5	53.5	3.5	5.5	343.5	28.6	12
1967	4.5	1	0	15.5	44	50.5	30.5	41	60.5	46	5.5	45.5	344.5	28.7	12
1968	7.5	6.5	0	34.5	45	28.5	33	33.5	64	41	0	20	313.5	26.1	12
1969	0		4.5	26		25	36	43.5	68.5	36	10.5	0	250	25	10
1970	4	0	0	32.5	13	63.5	42.5	60	41	20	3	5	284.5	23.7	12
1971		5.5	4.5	9	16	35	60	38	48				216	27	8
1972	8.5	1	2.5	9	40	60	36	30	25	11	18	22.5	263.5	22	12
1974	1.5	1.5	32	3.5	54.5	73	41	28.5	55.5	10	20	0	321	26.8	12
1975	1.5	11.5	0	0	33	23.5	49	40	26	29	18	0	231.5	19.3	12
1976	8.5	4.3	0	44	17	60	49	26.5	27	14.5	42	3	295.8	24.6	12
1977	0	0	2.5	35	92	46	28.5	40	27	22.5	17	7.3	317.8	26.5	12
1978	1.4	0	0	29.5	78	78	48				25.5	16	276.4	30.7	9
1979	5.5	2.5	0	52	26.5	39	42.5	35.5	42.5	9.5	1.5	10	267	22.2	12
1980	1.5	2	14.2	20.5	27	28.5	48.5	20	35	20	2	0	219.2	18.3	12
1981	0	4.5	0	24	33	39	31	30	15	20	1.5	2.5	200.5	16.7	12
1982	0	2.5	25	32	30	18	35	19	77	30	32	3	303.5	25.3	12
1983	7	40	30	0	13	60	45	22	20	18	3	8	266	22.2	12
1984	0	0.01	4	0	40	17	30	40	42	21	0.01	0.01	194.03	16.2	12
1985	3	0.01	0.01	6	15	34	35	22	20	35	8	6	184.02	15.3	12
1986	5	3	6	20	52	38	32	15	22	42		6	241	21.9	11
1987	2	0.01	15	16	19	62	23	25	45	3	9	16	235.01	19.6	12
1988	4	3	0.01	0	30			47	22	32	2	0.01	140.02	14	10
1989	0	10	0	2	35	32			42	12	7	5	145	14.5	10
1990	7	22	2	7	15	45	46	32	26	5	16	15	238	19.8	12
1991	2	5	5	5	28	33	25	37	26	27	3	4	200	16.7	12
1992	0.01	0.01	0.01	6	39	33	65	27	59	27	16	16	288.03	24	12
1993	2	3	24	3	25	38	65	87	34	32	7	4	324	27	12
1994	3	7	0.01	15	17	32	32	43	14	30	2	0.01	195.02	16.3	12
1995	0	2	4	30	28	67	38	32	39	35	4	8	287	23.9	12
1996	1	0	30	37	45	51	50	46.6	65	57	5.6	2	390.2	32.5	12
2000										25	0	5	30	10	3
2001	0	9		14	30	32	20	27	80	30	0.01	19	261.01	23.7	11
2002	6	9	8	4	32	50	28	24	84	24	18	6	293	24.4	12
2003	0	0	5	4	30	60	31	38	40	40	8	18.5	274.5	22.9	12
2004	3	0.01	12	13	19	55	39	40	47.5	16	15	0.01	259.52	21.6	12
2005	0	0.01	5	8	39	45	50	30	62	60	4	7	310.01	25.8	12
2006	0.01	2	3	1.5	61	35	43.5	47	32	33	20	8	286.01	23.8	12
2007	20	0	0	0.01	28	54	47	43	51	56.5	1.5	0.01	301.02	25.1	12
2008	6	0.01	8	10	20	37	68	51	34.5	17	7	6	264.51	22	12
2009	3	18	1.5	19	20	30	20	25.5	68	20	18	11	254	21.2	12
2010	6	0.01	0	68	50	80	33	70	125	10	20	0.01	462.02	38.5	12
2011	0.01	1.5	4.5	38	41	27	31	71	66	60	4	0.01	344.02	28.7	12
2012	4	6	10	9.5	41	97	32.5			50.1	0.01	10.3	260.41	26	10
2013	30.2	40.1	30.2	0	40.7	51.3	49.6	25.5	89.7	15.6	30.5	3.5	406.9	33.9	12
2014	1.3	0	0	20.3	50.6	61.4	5.5	70.7	75	31.9	2.2	3	321.9	26.8	12
2015	0	0	31	5.5	1.1	60.8	20.7	40	71.5	40	1.1	1	272.7	22.7	12
2016	0	0	0	0	40	66.1	23	99.5	40	0	5.2	4.9	278.7	23.2	12
2017	35.5	13.2	0	29.2	54	31.2	24.4	40.5	46.9	24.4	4.4	0	303.7	25.3	12
2018	5.1												5.1	5.1	1
2019			0	0	60	54.6	30.1	37	58.1				239.8	34.3	7
MÍNIMA	0	0	0	0	1.1	17	5.5	15	14	0	0	0	5.1	5.1	1
MÁXIMA	35.5	40.1	32	68	92	97	71	99.5	125	60	46	45.5	462.02	38.5	12
MEDIA	4	5.6	6.9	16.3	35.8	47.1	38.6	40.3	48.7	27.9	10.2	6.8	266.2	23.6	11.1
DESV.ST	6.9	9.2	10	15.4	17.4	17.1	13.5	16.7	22.5	15.4	11.2	8.3	78.2	6	2.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961							332.92	171.2	119.2	71	44.5	0	738.82	123.1	6
1962	0	0	0	32.5	54	268.5	252	196	314	87.5	0	0	1204.5	100.4	12
1963	0	25	22	3.5	111.5	307.5	421	161.51	404.5	0	46	0	1502.51	125.2	12
1964	0	0	0	22.51	89.5	353	351	166.5	361.5	86	4	14	1448.01	120.7	12
1965	0	20	19	9.5	74.5	331.5	199	337.5	241.5		0	10	1242.5	113	11
1966	4.5	0	0	74	208.5	420	247.5	304	455.5	115.04	6.5	9	1844.54	153.7	12
1967	6	1	0	43	80.5	270.5	184	171.5	159	155.5	5.5	57	1133.5	94.5	12
1968	13.5	8.5	0	54.5	132.5	191	235	106	231.5	97.5	0	20	1090	90.8	12
1969	0		4.5	72.5		167	290.5	390	298	45.5	18	0	1286	128.6	10
1970	4	0	0	32.5	42	321.5	288	250	325	73.6	6	5	1347.6	112.3	12
1971		7.5	9	10	35	210.5	255.3	306.1	243.5				1076.9	134.6	8
1972	16	1	2.5	21.5	183.5	361	217	107.5	114	17	57.5	27	1125.5	93.8	12
1974	2.5	1.5	56	11	189	207.5	205.5	130.5	310	18.5	35.5	0	1167.5	97.3	12
1975	1.5	11.5	0	0	127	131	128.5	181	146.7	87.2	36.5	0	850.9	70.9	12
1976	16	4.3	0	61	31	199	191	134.5	156.5	45	65.5	5	908.8	75.7	12
1977	0	0	2.5	35	150.5	212.3	78	171.5	154	69.4	28.1	15.5	916.8	76.4	12
1978	1.4	0	0	32.5	198.1	220.1	217.6				47.3	19.5	736.5	81.8	9
1979	16	5	0	93.8	88	164	201.3	228.5	255.5	38.5	2.5	29	1122.1	93.5	12
1980	2.5	4	15.2	20.5	63.5	143	204.5	128	266.5	42	2	0	891.7	74.3	12
1981	0	7	0	36	142	273.5	254	214.7	114.7	101.7	1.5	2.5	1147.6	95.6	12
1982	0	2.5	25	40.5	158	158.5	79	70	245.5	84	48	5	916	76.3	12
1983	7	44	30	0	25	106	179	136	159	29	7	8	730	60.8	12
1984	0	0.01	5	0	187.09	48.08	149.09	222.01	292.03	24.04	0.03	0.05	927.43	77.3	12
1985	3.03	0.03	0.01	23	37.04	233.04	222.04	130.03	67.04	55.04	21.01	6.03	797.34	66.4	12
1986	5	3.01	6.01	30	242.04	166.05	133.04	66.03	105.03	56.02		6.02	818.25	74.4	11
1987	2.02	0.01	15	48	61.02	316.03	190.06	154.08	229.03	6.01	17.03	16.02	1054.31	87.9	12
1988	4.04	5.03	0.01	0	36.02			326	172.04	104.02	2.01	0.01	649.18	64.9	10
1989	0	20.04	0	2.02	108.05	172.08			337.03	64.01	14.03	12	729.26	72.9	10
1990	10.03	40.02	2.02	28	54.02	286.01	283.03	131.02	166.04	17.03	62.05	27.03	1106.3	92.2	12
1991	2.02	5.02	7.01	19.02	71.03	264.5	144.02	175.09	135.05	157	12.02	8	999.78	83.3	12
1992	0.01	0.03	0.01	8.01	126.02	240.02	317.05	142.1	227.08	82.03	26.02	16.02	1184.4	98.7	12
1993	2.01	6.01	38	6.01	61.02	298.03	174.04	335.04	293.08	145.05	7.03	5.01	1370.33	114.2	12
1994	7.01	7.01	0.01	25	54	154	108.01	258.01	70.05	69.02	2.04	0.01	754.17	62.8	12
1995	0	2	6	80.5	52	240	208	308	206	111	6	14	1233.5	102.8	12
1996	2	0	32	96.01	142	303	343	176.62	256	93	103.5	3	1550.13	129.2	12
2000										100.05	0	5	105.05	35	3
2001	0	13.04		43.01	59	173.01	131.54	173.04	294.03	88.03	0.01	23	997.71	90.7	11
2002	8	13.4	15	4	98.01	116.05	166.01	36.02	314	92.01	48	13	923.5	77	12
2003	0	0	7	6	95.52	284.54	136.03	136	334.03	121.03	21.05	18.51	1159.71	96.6	12
2004	3.02	0.01	12.01	32	66.56	233.52	112.03	121.03	195.51	77.51	38.52	0.01	891.73	74.3	12
2005	0	0.01	8.01	8.01	164.51	219.02	348.52	144.54	160.52	142.53	4.04	8.5	1208.21	100.7	12
2006	0.06	3.01	5	2.52	304.03	209.52	218.02	228.06	113.02	132.05	52.03	15.02	1282.34	106.9	12
2007	34.01	0	0	0.01	95	216.55	151.02	279.5	119.03	262.02	1.5	0.01	1158.65	96.6	12
2008	7	0.02	8.02	18.02	130.5	254.51	402	278.51	181.53	69.01	9.01	6	1364.13	113.7	12
2009	5.51	20.01	1.5	37.51	127.51	198.02	99.05	199.02	278.01	129.52	47.04	17.02	1159.72	96.6	12
2010	7	0.03	0	113.01	148.02	330.03	273.52	428	285.03	10	23.04	0.01	1617.69	134.8	12
2011	0.01	1.5	6.5	42.5	49.5	135.52	274.01	384.51	266.02	167.01	7.51	0.01	1334.6	111.2	12
2012	5.03	19.04	10.02	16.03	100.03	311.03	145.02			290.1	0.01	15.3	911.61	91.2	10
2013	298.6	403.3	190.75	0	171.35	337.2	160.3	164.3	369.9	80.9	105.3	5.8	2287.7	190.6	12
2014	1.3	0	0	47.1	206.9	180.6	10	186.8	384.1	80.3	4.2	7.3	1108.6	92.4	12
2015	0	0	37	6.5	3.1	215.6	38.4	204.6	215.2	110.3	3.1	4	837.8	69.8	12
2016	0	0	0	0	71.1	132.6	100.4	205.1	107.9	0	6.7	4.9	628.7	52.4	12
2017	35.5	13.2	0	46.2	203.8	216.2	118.4	157.3	308.3	91.5	4.4	0	1194.8	99.6	12
2018	11.8												11.8	11.8	1
2019			0	0	254.5	84.4	71.1	118.8	176.9				705.7	100.8	7
MÍNIMA	0	0	0	0	3.1	48.08	10	36.02	67.04	0	0	0	11.8	11.8	1
MÁXIMA	298.6	403.3	190.75	113.01	304.03	420	421	428	455.5	290.1	105.3	57	2287.7	190.6	12
MEDIA	10.7	14.4	11.7	28.7	113	227.2	200.8	198.6	230.1	85.8	21.8	9.3	1063.5	93.9	11.1
DESV.ST	41.8	57	28.3	27.8	67.1	78.5	91.5	87.2	92.8	57.8	25.8	10.6	362.4	28.4	2.2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1974	99.7	103.7	139.6	141.5	179.6	98.5	111.6	111.1	107	97.8	91.2	78.5	1359.8	113.3	12
1975	90.1	124.4	165.4	184.1	154.7	128.4	113.3	96.3	100.5	76.9	91.5	90.5	1416.1	118	12
1976	92.1	120	195.1	194.9	184.1	119.9	130.5	124.4	93.2	108	81	72.9	1516.1	126.3	12
1977	102.7	100.3	177.6	149.6	137.5	97.9	107.5	77.1	68.8	78	87.3	84.4	1268.7	105.7	12
1978	100.3	102.5	140.2	162.9	155.7	151.9	96.4				84.4	85.8	1080.1	120	9
1979	95.1	94	134.9	125	131.5	91.7	91.3	69	59	90.6	79	68.8	1129.9	94.2	12
1980	91.3	94.6	172	142.2	157.8	108.5	108.3	81.1	63.2	73.4	63.9	81.3	1237.6	103.1	12
1981	88.2	80.9	98.5	129.2	118.9	75.9	66.6	72.9	66.3	75.8	95.8	85.8	1054.8	87.9	12
1982	97.8	83.1	120.3	120.2	99	75.1	103.1	103	74.2	79.7	78	76.6	1110.1	92.5	12
1983	79.2	75.4	116.9	116	125	102.6	87	78.9	65.6	82.9	86.1	79.2	1094.8	91.2	12
1984	80.6	96.4	135.3	154.3	89.2	79.6	66.1	66.6	47.2	85	75.5	68.4	1044.2	87	12
1985	74.9	73.6	118.1	115.7	122.6	76.7	77.2	74.9	81.6	92.1	94.6	87.8	1089.8	90.8	12
1986	75.87	102.1	129.1	153.3	113.5	93.6	108.9	117.3	103.5	114.2		98.5	1209.87	110	11
1987	120.1	141.5	173.1	138.2	146.5	79.5	78.7	92.3	82.9	106.9	99	99.4	1358.1	113.2	12
1988	95.2	105.5	169.9	187.9	186			88	85.4	70.6	93.7	103.6	1185.8	118.6	10
1989	107.9	110	166	181.6	127.3	89.8			70.1	80.6	98.8	106.9	1139	113.9	10
1990	101.5	90.9	137.6	159.6	137.6	81.6	81.7	87.8	74.5	91.7	80.8	90	1215.3	101.3	12
1991	112.75	90.88	179.89	185.5	112.13	107.71	95.15	85.18	78.35	84.42	72.08	82.83	1286.87	107.2	12
1992	86.67	114.8	173.61	174.77	142.52	80.35	74.35	85.35	63.7	76.95	77.65	82.75	1233.47	102.8	12
1993	95.55	116.3	140.15	162.47	134.05	89.73	91.3	72.1	60.35	73.05	74.95	73.6	1183.6	98.6	12
1994	78.45	92.65	161.25	156.05	143.15	90.47	106.35	75.7	88.85	123.65	120.85	96.1	1333.52	111.1	12
1995	95.65	114.75	180.05	158	153.35	93.4	77.4	63.9	58.4	65.05	78.7	73.3	1211.95	101	12
1996	91.35	152.5	155.4	143.85	114.5	85.55	75.85	80.4	65.4	98.5	103.25	110.85	1277.4	106.4	12
2000										93.5	128.6	108.65	330.75	110.2	3
2001	118.65	97.95		189.65	178.65	122.15	108.5	106.3	83.25	104.15	109.05	122	1340.3	121.8	11
2002	116.8	97.95	145.8	185.8	192.4	115.7	91.55	148.25	107.45	92.15	92.2	106	1492.05	124.3	12
2003	102.9	115.2	179.6	168.05	151.75	94.75	102.85	103.1	77.8	95.5	92.3	104.7	1388.5	115.7	12
2004	100.6	121.65	186.45	186.25	136.75	133.5	117.6	144.15	90.45	138.35	134.85	140.75	1631.35	135.9	12
2005	124.65	152.9	193.1	191.3	144.35	116.7	108.65	136.95	129.81	138.95	122.5	124.1	1683.96	140.3	12
2006	110.6	128.55	165.9	204.5	126.8	106.2	116.8	112.05	111.5	120.8	126.95	136.5	1567.15	130.6	12
2007	108.85	135.75	161.6	190.5	139.8	122.3	110.85	94.4	101.4	92.75	110.7	116.8	1485.7	123.8	12
2008	107.8	129.95	157.75	153.55	144.85	96.65	95.2	99.05	85.15	119.85	99.15	113	1401.95	116.8	12
2009	105.7	119.95	149.25	166.9	115.25	97.8	108.1	104.8	105.05	101.2	92.1	98.5	1364.6	113.7	12
2010	104.95	98.75	132.3	145.85	141	98.94	102.24	76.8	87.68	107.85	90.13	67.49	1253.98	104.5	12
2011	103.65	99.6	143	157.6	165.75	105.85	79.1	99.6	74.3	85.8	109.2	96.45	1319.9	110	12
2012	104.7	108.7	130	126.75	135	100.2	108.75						814.1	116.3	7
MÍNIMA	74.9	73.6	98.5	115.7	89.2	75.1	66.1	63.9	47.2	65.05	63.9	67.49	330.75	87	3
MÁXIMA	124.65	152.9	195.1	204.5	192.4	151.9	130.5	148.25	129.81	138.95	134.85	140.75	1683.96	140.3	12
MEDIA	98.9	108.2	153.7	160.1	141.1	100.3	96.9	94.6	82.2	94.6	94.6	94.7	1253.1	110.5	11.4
DESV.ST	12.6	19.7	24	24.7	24.3	18.1	16.2	22.1	18.7	18.7	17.4	19.1	239.2	13.1	1.8

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961							26.3	27.3	26.4	24.9	24.2	25.5		25.8	6
1962	23.9	28.6	29.5	29.4	30.1	28.1	27.4	27.4	26.7	26.5	24.9	25.2		27.3	12
