COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7164 
 NOMBRE    : TAPACHULA (OBS) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPACHULA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   : 76903 
 LATITUD   : 14.92083333 ° 
 LONGITUD  : -92.25 ° 
 ALTITUD   : 193 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1884		0	0		29	29							58	14.5	4
1885									52	86	24	2	164	41	4
1898												0	0	0	1
1899	0.4												0.4	0.4	1
1900	20.4												20.4	20.4	1
1933					0								0	0	1
1942									41.5	40.5	7.5	108.5	198	49.5	4
1943	29.3	0	18	25.6	0	10	80	0		109.5	27.3	7.6	307.3	27.9	11
1944	0	1.4	4.3	31.8	53.2	57.8	42.7	63.5	54.6	75.7	3	0	388	32.3	12
1945	0	2.7	5.2	1.7	37.8	91	41.1	41.4	103.6	150.6	15.6	0	490.7	40.9	12
1946	1.2	0.2	18	81	71.8	29.3	72.7	72.4	96.2	45.6	78.4	2	568.8	47.4	12
1947		0.5	48	25.6	20.9	69.7	79.8	95.3	73.7	46.2	50.3	21	531	48.3	11
1948	0	0.6	14.3	34.3	72	83.1	82.3	43.6	94	53.5	12	16.5	506.2	42.2	12
1949	0.3	0.5	67	19	50	62	56.5	62.9	87.4	211.5	16.5	0.2	633.8	52.8	12
1950	11	0.7	0	88.2	60	52.2	60.7	45	63.8	87.5	21.4	0	490.5	40.9	12
1951	0	0	39.2	20	89.8	137.5	116.3	78.3	116.5	38.4	31.6	0	667.6	55.6	12
1952	0	9	4.7	80.7	60.7	61.2	61.2	107.6	72.5	51.2	29.5	0	538.3	44.9	12
1953	0	2.1	0	21.5	57.2	55.3	113.6	51	197.8	91.3	15.3	4.2	609.3	50.8	12
1954	0	2.4	0	12	72.5	144.4	144.4	59.6	83.9	60	45.3	1.7	626.2	52.2	12
1955	11.5	7	13.1	18.3	48	83.8	69.8	35.7	48.4	113.4	21.1	11.1	481.2	40.1	12
1956	14.6	0	57	29.1	33.6	49.3	45	53.4	75.6	24.6	26.1	11.9	420.2	35	12
1957	0	3.8	0.8	80.3	71.6	60.6	63.9	77.8	54.6	48.8	18.2	0	480.4	40	12
1958	2	0	2	18.3	56.2	85.1	21.4	99.8	41.4	91.4	60.6	0.3	478.5	39.9	12
1959	10.6	8.7	4.3	42.5	34.8	113.6	65.1	82.3	82.3	141	5	0	590.2	49.2	12
1960	1	0	0.6	16.5	46	58.3	0	76	49.6	97	0	0	345	28.8	12
1961	0	0.7	0.5	37.6	30.1	53.8	51	83	89.9	72.1	123.4	8.1	550.2	45.9	12
1962	0	0	0	34.7	50.5	112.2	53	70.9	55.3	93.2	0	0	469.8	39.1	12
1963	0	1.1	27	25.9	75.1	0	86	66.3	145.6	0	0	0	427	35.6	12
