COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7167 
 NOMBRE    : TAPILULA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPILULA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.24861111 ° 
 LONGITUD  : -93.01333333 ° 
 ALTITUD   : 780 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965				34.5	43.2	33.5	27.2	46.5	47.1	80.1	61	66.6	439.7	48.9	9
1966	40.5	25.5	26	43.5	52.8	68.8	69.3	36.3	66	96.6	37	51.2	613.5	51.1	12
1967	97.6	44.5	77.3	37	48	86.2	23	52.6	155.2	196	44.4	185.6	1047.4	87.3	12
1968	140	41.6	42.4	33.3	44.3	37.2	84.1	35.4	86	127.2	42.9	88.3	802.7	66.9	12
1969	29.1		49	49.6		73.3		62.2	78.6	65.6	157.3		564.7	70.6	8
1970	66.6	35.8	19	16.6	125	116.6	75	125.5	73.9	88.9	88.8	26.8	858.5	71.5	12
1971	0	29	53.5	29.5	16.5	49.7	48	86	32	30.3	48.5	32	455	37.9	12
1972	56	120.6	33.5	26.5	22.6	83.4	54.5	46.6	48.8	42.6	84.9	112	732	61	12
1973	76.4	32.3	17.9	58.8	55.4	93.8	74.2	134	73.3	92.9	320	72.6	1101.6	91.8	12
1974	42	78.5	21.9	166	19.6	126	56.4	24.5	201	48	105	36	924.9	77.1	12
1975	49.5	23	46	21	48	43	51	38	69.5	123	120	23	655	54.6	12
1976	54	29	48.5		45.5	41	75.5	18.5	91	87	66.5	27.5	584	53.1	11
1977	15	19	29.5	20	19	78.8	39.5	86.8	34.7	84.5	126.5	102.5	655.8	54.6	12
1978	103.5	32	82.7	13.4	26.8	49.5	54.6	37	59.5	108	51.5	169.3	787.8	65.7	12
1979	51	60	15	48.5	67.5	45.5	9.7	40	223	113.5		108	781.7	71.1	11
1987								27.8	198.6	62.8	48.6	68.6	406.4	81.3	5
1988		58.6	38.6	64.4	24.3	42		60.2	62.8	64.8	64.5		480.2	53.4	9
1990			41.8	4.5	19.5	42.5	15.5	23	28.8	53.8	100.5	118.9	448.8	44.9	10
1991	42	78	34.8	69.5	160.8	110	110.8	70.5	51	44	86.4	69.3	927.1	77.3	12
1992	63.8	18.7	16.6	12.2	37.6	62.4	61.2	32.3	333.2	33.3	71.2	20.8	763.3	63.6	12
