COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7168 
 NOMBRE    : TONALA (DGE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TONALÁ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.08416667 ° 
 LONGITUD  : -93.74388889 ° 
 ALTITUD   : 55 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0	0	0.01	31	33.5	87.5	96	31	75.5	9	86.5	2	452.01	37.7	12
1962	0	0	0	9.5	26	139	73	79	60	74	0	0	460.5	38.4	12
1963	0	3	2	20	36	87	94	47	290	0.1	130	0	709.1	59.1	12
1964	0	3.5	0	44	40	111	69	59	67	21	3	1.5	419	34.9	12
1965	0	0	0	29	90	80	30	43.5	88	30.5	0	0	391	32.6	12
1966	0	5	0	18.5	83	52.5	63	42	93	20	0.5	0	377.5	31.5	12
1967	0	0	2	5.5	44.8	44.5	54	38	148	71	0.01	7.5	415.31	34.6	12
1968	0	28	0	12	80	73	67	37	115	38	15.3	3.5	468.8	39.1	12
1969	0	0	3.3	21.3	6.5	66.5	71.5	70.2	125.8	42.2	0	0	407.3	33.9	12
1970	0	0		0	24.5	77.3	96.8	64.5	70.1	20	0	10.5	363.7	33.1	11
1971	0	0	0	10.3	23	48	21	47.2	51.3	66	1.2	0.01	268.01	22.3	12
1972	0	0	6	58.3	55	55.8	40.8	88.2	51.5	52	24.5	0	432.1	36	12
1973	0	7.6	0	10.6	82	71.2	64.9	151	119	31.7	4.6	0	542.6	45.2	12
1974	47	20.2	64.5	37	103.8	120.5	79.5	36.8	142.8	4	8.2	0	664.3	55.4	12
1975	0.8	0	9	0	45.2	29.7	46.7	54.2	40.8	21.7	1.3	0.1	249.5	20.8	12
1976	0	3	0	79.8	68.1	43	58.4	51	60.3	22.9	12.9	0	399.4	33.3	12
1977	0	0	0	18	84	33.9	23.5	33	35.2	54.3	4.4	3	289.3	24.1	12
1978	5.3	1.1	3.6	34.9	57.9	48.3	82.9	79.6	66.5	68.6	9.7	0	458.4	38.2	12
1979	0	0	0.6	25.9	44.3	53.7	69.3	74.8	68.2	57.9	0	0	394.7	32.9	12
1980	12.1	0.2	0	17.9	81.3	21	96.2	58.7	257.5	6.9	0	0	551.8	46	12
1981	0	0	1.8	15.7	59.6	217.1	111.2	111.2	53.8	32.3	0.1	0	602.8	50.2	12
1982	0	58.1	1.3	9.5	114.9	39.8	39.7	16.2	125.4	24.2	19.1	0	448.2	37.4	12
1983	0	26.9	60.2	0	15.3	56.9	63.5	30.1	23.2	76	3.4	0	355.5	29.6	12
1984	0	0	0	0	66	49.4	69.1	61.8	149.6	23.5	0.5	0	419.9	35	12
1985	0	0	9.6	13.3	53.4	60.3	84.7	95.4	42.8	21.2	75.8	0	456.5	38	12
1986	0	0	0	49.7	107.1	60	74.3	77.5	33.5	24.1	7.3	0	433.5	36.1	12
1987	0	0	0.5	0	32.1	75.8	56.9	32.5	62.1	0	0	0	259.9	21.7	12
1988	0	0	0	0	32.2	65.8	90.2	85.3	214.8	63	6.6	0	557.9	46.5	12
1989	0	0	0	2.2	29.2	113	58	56.8	208.5	43.7	17	0	528.4	44	12
1990	0	13.4	0	23.5	35.7	74.4	58	75.1	50.2	22.8	5.5	6.8	365.4	30.4	12
1991	0	0	2.3	1.2	75.3	71.9	34.8	105.3	73	46.8	0	0.2	410.8	34.2	12
1992	0	1	25.1	46	36.7	82.2	42.3	59	72.3	8.6	17.8	0	391	32.6	12
1993	0		0	11.1	21.9	87.4	82.5	87.4	171.7	60.9	0	0	522.9	47.5	11
1994	0	0	8.1		60.3	36.6	32.7	28	50.9	85	18.8	0	320.4	29.1	11
1995	0	0		18.6	142.2	74.8	56	230.6	55.1	40.5	22.2	0	640	58.2	11
1996	0	0	0	11.8	73	43.3	70.8	112.6	56	6.5	2.7	2.5	379.2	31.6	12
1997	0	0	6.3	10.8	58	91.7	36	38.2	62.4	72	165.2	3.9	544.5	45.4	12
1998	0	14.3	0	0	28	87.5	59.3	94	180.8	44.6	96.4	0	604.9	50.4	12
1999	0	7	3	14	36	89	74	45	96	22	1		387	35.2	11
