COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7169 
 NOMBRE    : TUMBALA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TUMBALÁ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.26666667 ° 
 LONGITUD  : -92.3 ° 
 ALTITUD   : 1063 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961										150	28	66	244	81.3	3
1962	26		24	72	51	91	65	43	71	90	36	20	589	53.5	11
1963	39	78	51	37	64	39	74	91	91	64	182	18	828	69	12
1964	50	18	71	28	77			137	122	65	77	129	774	77.4	10
1965	62	38	48	40	18	110	70	70	107		40	49	652	59.3	11
1966	60	78	61	18	28	115	63	28	65	108	48	27	699	58.2	12
1967	40	48	16	37	51	47	42	43	86	229	38	20	697	58.1	12
1968	30	28	14	22	72	40	71	100	76	69	70	116	708	59	12
1969	42	76	43	25	66	144	63	59	96	78	93	34	819	68.2	12
1970	83	21	14	11	83	117	68	82	50	80	90	18	717	59.8	12
1971	33	55	80	52	70	93	75	55	80	85	110	40	828	69	12
1972	100	65	83	16	90	73	120	50	90	60	128	72	947	78.9	12
1973	20	33	8	25	123	80	40	252	100	75	120	137	1013	84.4	12
1974	26	80	8	90	35	100	52	45	212	107	180	40	975	81.2	12
1975	100	20	21	3	36	40	29	64	93	180	122	35	743	61.9	12
1976	94	32	23	18	50	68	84	80	121	91	89	82	832	69.3	12
1977	32	28	18	30	41	48	49.9	71	79	74.5	110	85	666.4	55.5	12
1978	62	26	35	35	108	65	112	46			104	112	705	70.5	10
1979	85	94	32	15	60	111	64	80	53	73	92	68	827	68.9	12
1980	45	87	22	55	62	105	100	100	56	48	60	52	792	66	12
1981	28	68	46	37	48		89	92	72	42	29	87	638	58	11
1982	43	73	40	65	55	56	80	54	91	70	100	62	789	65.8	12
1983	42	35	5	15	22	40	139	98	75	85	85	29	670	55.8	12
1984	64	29	20	20	91	63	80	53	67	67	60	103	717	59.8	12
1985	50	75	30	40	74	60	113	93	95	92	20	125	867	72.2	12
1986	70	35	0	0	145	123	60	95	55	60	50	100	793	66.1	12
1987	10	15	20	4	47	65	73	82	80	73	85	150	704	58.7	12
1988	110	60	12	30	27			116	56	141	103	60	715	71.5	10
1989	84	73	14	29	118	76		63	181	170	97	48	953	86.6	11
1990	61	40	53	43	26.5	64	53	75	85	81	170	160	911.5	76	12
1991	29	66	21	7.5	28	131	100	41	70	74	113	111	791.5	66	12
1992	48	63	45	36	25	120	69	65	78	76	78	84	787	65.6	12
1993	51	54	60	46	28	148	58.5	81	56	58	33	43	716.5	59.7	12
1994	53	89	36.5	21.5	41	68	61	42	68	92	57.5	30	659.5	55	12
1995	25	56.5	11	17	28	84	87	72	74	68	33	30	585.5	48.8	12
1996	65	45	15	36	23	60	65.5	62	133	85	90	31	710.5	59.2	12
1997	22	70	31	61	23.5	97.5	75	67	64	220	71	52	854	71.2	12
2011								118.5	134.5	148.8	75	53	529.8	106	5
2012	120									28.3	32	200	380.3	95.1	4
2013											80	80	160	80	2
