COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7170 
 NOMBRE    : TZIMBAC 
 ESTADO    : CHIAPAS 
 MUNICIPIO : FRANCISCO LEÓN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.24027778 ° 
 LONGITUD  : -93.23888889 ° 
 ALTITUD   : 740 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1962			5.5	75.4	30.5	77	40.5	59	75	106	19	24.5	512.4	51.2	10
1963	40	36.3	82.5	166.4	24.6	85	57	72	80		70.5	60	774.3	70.4	11
1964	48.5	11	25	149.5	23	78	64.2	200	58.5	66	120	167	1010.7	84.2	12
1965	107.7	73	73.5	89.5	4.4	54	69	48.5	30.9	51.7	56.6	59	717.8	59.8	12
1966	29.6	18	18	12	32.3	44.4	47.6	60.3	104.5	84.2	49.5	48	548.4	45.7	12
1967	47.6	33	13.3	28.5	110.5	80	55.5	73	237.5	54.7	30	195	958.6	79.9	12
1968	52	29.2	14.5	57	34	48.5	43.5	64.7	93.5	125	49.5	44.5	655.9	54.7	12
1969	55	34	36	11		68		73.6	80.5	53.1	92.3		503.5	55.9	9
1970	48	33	13	15.5	70.8	58.5	121	115.1	83.5	61.5	59.2	26.4	705.5	58.8	12
1971	25	19.5	41.5	30.8	11	83.98	16.5	69.3	71.1	51.4	163.5	91.9	675.48	56.3	12
1972	103.8	37	79	13	24.5	58.2	107.2	78	49.3	163.9	66.7	106.3	886.9	73.9	12
