COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7171 
 NOMBRE    : TZIMOL (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TZIMOL 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.2 ° 
 LONGITUD  : -92.26666667 ° 
 ALTITUD   : 1380 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0	0							19.4	50.7	26.4	2.2	98.7	16.4	6
1962	6.4	0	2	37.6	21.3	42.1	20	51	27.5	38.5	0.01	17.9	264.31	22	12
1963	1	4.8	1.7	7.2	18.2	22	54.4	19.5	54.7	14.9	34.5	4.2	237.1	19.8	12
1964	4.9	0	2.5	1.4	63.4	26.9	65.4	53.8	33	39.5	9	6.2	306	25.5	12
1965	0	2	22.5	16.5	29	64.5	7.5	49	76	0	11	5	283	23.6	12
1966	1.8	0	46.6	42.5	32	38	25	39	37	20	40	12.3	334.2	27.9	12
1967	7	0.01	15.5	19	16	60.5	12	42	50	38	21	10.5	291.51	24.3	12
1968	10	9.5	4	16.5	41	65	43	41	43	18	2	8	301	25.1	12
1969	22		0	32		40	19	39.5	55	22	3.5		233	25.9	9
1970	3	0	0	0	20	43.5	47.5	31	51.8	32.5	8.5	0	237.8	19.8	12
1971	1	16.5	57	17.9	40.8	39.5	34.5	55.2	40	110	8	1	421.4	35.1	12
1972	6.6	13.5	9.3	8	17.2	92	63.4	9.2	47	9.4	28.2	6.2	310	25.8	12
1973	0	1	9.5	11.5	24.6	31.2	17.4	57.2	29.6	56.4	0	2.7	241.1	20.1	12
1974	3.8	2.6	10.5	12	23.5	61	12.6	14.5	67.7	15	9.2	0	232.4	19.4	12
1975	1	1.6	1	1	18.3	73.8	78.1	12	33.4	44.1	5	3.9	273.2	22.8	12
1976	1.5	3.3	4.2	27.3	53.3	42.4	21.4	27.3	27.5	77.2	10.6	6.7	302.7	25.2	12
1977	0	0	0	10.7	54.9	32.2	7.8	20	33.4	2.2	24.3	5.5	191	15.9	12
1978	0	2.3	5	13.2	25.1	36.5	20.5	13	69.4	20.3	11.6	4.6	221.5	18.5	12
