COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7172 
 NOMBRE    : UNION JUAREZ 
 ESTADO    : CHIAPAS 
 MUNICIPIO : UNIÓN JUÁREZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.0625 ° 
 LONGITUD  : -92.08055556 ° 
 ALTITUD   : 1300 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1951	10	12	62	13	80	72	40	80	128	133	62	7	699	58.2	12
1952	0	43	46	137	88	186	61	125	152	74	75	0	987	82.2	12
1953	0	0	10	25	210	160.5	51	120.5	75.5	160.3	5	62	879.8	73.3	12
1954	0	76	100	200	40.3	96	68.7	190	80.8	65.5	8.5	0.3	926.1	77.2	12
1955	8.8	0	5.1	56.1	86	51	73	54.5	93.6	83.6	69.5	22.5	603.7	50.3	12
1956	0.7	41.3	20.6	11	42.8	108	88.6	30.5	108	47.5	20	28	547	45.6	12
1957	0	24.5	24.5	71.2	73.5	92.7	45	40.9	120	57	10.4	23	582.7	48.6	12
1958	17	11	36.5	41.6	88.8	82.5	95.3	58.7	75.3	93.2	36	50.5	686.4	57.2	12
1959	40	1	65.2	60	60.4	50	58	34	30	65	9.5	8	481.1	40.1	12
1960	20	3	32.4	52.6	30.3	30.6	30	30.5	50	30	36	12.4	357.8	29.8	12
1961	20.5	20.5	22.4	60	15.3	50	50.5	50.6	80	30.8	50.8	45	496.4	41.4	12
1962	2	20	42	43	79	65.3	55	72	49.2	36.1	34.1	2.8	500.5	41.7	12
1963	5	85.5	35.5	63.2	14	82	55.5	85.8	104				530.5	58.9	9
1965									80.1	90.5	70.8	0	241.4	60.3	4
1966	0	0	20.8		100	109	67	49.9	74	154	52.5	44	671.2	61	11
1967	3	6	60.3	96	42				108				315.3	52.5	6
1968	13	13	10	48	200	67	344	65	50.5	90	82	14	996.5	83	12
1969	130	35	42	27	63	90	95	147	140	72	21.3	25	887.3	73.9	12
1970	29	37	7	5.5	51.6	128.5	67.6	166.5	140	59.5	43	0.3	735.5	61.3	12
1971	24.5	35.5	3.7	94	87	53	68.6	78	89.2	50.6	51	7.3	642.4	53.5	12
1972	4	54.5	15.2	43	134	76.2	80	58	56.5	86.6	41	1.3	650.3	54.2	12
1973	8	0.1	11.5	56.7	88.8	78.8	45.2	133	126	51.6	104	21.8	725.5	60.5	12
1974	62.7	16.8	36	32.4	79.1	106	84.4	72.8	174.4	23.9	104	0	792.5	66	12
1975	17.3	4.6	14.4	8.1	51.5	180	40	35.4	100	81	114	36.5	682.8	56.9	12
1976	8.4	12.2	5.4	30.8	63.9	71.4	66.4	51.3	48.4	33.3	50.5	1	443	36.9	12
1977	4.7	13.3	11.8	51	61.2	56.5	37.2	65.8	66.5	45.4	54.8	37.6	505.8	42.1	12
1978	17.6	51.5	48.8	59	92.8	55	31.4	63.5	160	112.8	20	32.4	744.8	62.1	12
1979	40	0.2	22.1		66.2	67	69	98.5	138	137.5	8.2	3.8	650.5	59.1	11
1980	22.7	10	23.1	50	50.6	75	49.5	62.5	101.6	72.7	35.8	16.4	569.9	47.5	12
1981	4	6.5	80.5	22.4	76.3	205	97.4	176	56.4	41.5	26.4	36.5	828.9	69.1	12
1982	2.6	41	10.3	37.5	78	90.4	64	40.5	125	73	31.7	0.5	594.5	49.5	12
1983	0	41.5	62	39	27	102	63.5	53	119	43.5	34	43	627.5	52.3	12
1984	24	23.5	54	2.5	63	80	64	116	129	44	91	1.5	692.5	57.7	12
1985	20	17	27	106	52	81	53	107	111	70	65.5		709.5	64.5	11
1986	1	11.5	4.2	40	104	44	62	75	62	63		37.6	504.3	45.8	11
1987	0	0	20	40.5	66	130	116.5	75	57			15	520	52	10
1988	41	10.5	53	34	70.5	192	95.5	114	120	56	29.5	6.5	822.5	68.5	12
1989	11.6	1.5	6.5	33	108	72.5	79	144	80	92	51	64	743.1	61.9	12
1990	2.5	13.8	66.5	75	60	44	61	68	146	87	21	30.5	675.3	56.3	12
1991	43.5	5	36	65	40	117.5	45	45	96	149	58	4	704	58.7	12
1992	2	14.8	84.4	75	86	84	41	88	108	41	48	9	681.2	56.8	12
1993	20	1	51	60	68	70.5	34	64	59	85	12	0	524.5	43.7	12
1994	0	22	2	70	36	64	38	100	97	101	66	61	657	54.8	12
1995	1.5	63	26.5	58.5	70	107.5	81	180	52	109	14.5	95	858.5	71.5	12
1996	24	19.5	33	58.5	128	100	99	66	97	106	45	8.5	784.5	65.4	12
1997	18	24.5	65	54	65								226.5	45.3	5
1998			4.5	13.5	70	117	63.5	104	256	51	90	8	777.5	77.8	10
1999	42	30	15.5	50	58	102	59	67	109	81	51	11	675.5	56.3	12
2000	0	5.5	16.5	50	91	102	78	104	103	48	88	34	720	60	12
2001	7	34.5	16	37	90	73	65	68	60	72	31	18	571.5	47.6	12
2002	9	0.5	7	30	37	78	60	68	91	106	72	7	565.5	47.1	12
2003	0	5	46	104	50	102	68	147	82	107	28	4.5	743.5	62	12
2004	9	31	21	70	75	68	61	47	90.5	94	13	5	584.5	48.7	12
2005	1.5	0	80	13	76	81	81	63	134	350	52	4	935.5	78	12
2006	21	32	15	30	70.5	150	118	82	103	78	34	41	774.5	64.5	12
2007	6	4.5	1.5	62	49	97	70	135	63	186	13.5	2	689.5	57.5	12
2008	6	44	120	22	30	104	114	71	86	67	64.5	12	740.5	61.7	12
2009	3.5	1	10	15	51	91.5	94	45	88	80	24	50	553	46.1	12
2010	59	54	32.5	75	110	113	123	110	121	35	24	9.5	866	72.2	12
2011	12	11	65	54	22	145	81	135	124	105	17	26	797	66.4	12
2012	9	77	35	37	81	109	25	140	40	93	28	34	708	59	12
2013	26	3.5	65	60	80	71	89	55	110	86	54	26	725.5	60.5	12
