COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7174 
 NOMBRE    : VILLA CORSO (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VILLA CORZO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.19444444 ° 
 LONGITUD  : -93.2625 ° 
 ALTITUD   : 600 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970	0	0	0	24	30	29	54.5	21.5	60.1	31	3.5	0	253.6	21.1	12
1971	0	0	0	0	39	55.5	48.5	50.5	75	27.5	24	0	320	26.7	12
1972	0	0	0	37.5	40	64	53.5	51	43	15	22	0	326	27.2	12
1973	0	0	18	11	44	66	38	26	33	20	11	0	267	22.2	12
1974	6	0	29	2	47	21	37.5	34.6			1.5	0	178.6	17.9	10
1975	0	0	2	0	68	58	39	48	47	24.5	0	0	286.5	23.9	12
1976	0	0	0	25	24.5	38	40	50	51	21	13	0	262.5	21.9	12
1977	0	0	0	22	34	45	52	47	43	41.5	3.5	0	288	24	12
1978	0	0	0	53	45	65	41	26	48	31	3	0	312	26	12
1979	0	0	1	47	24	26	55	45	32	25	1	10	266	22.2	12
1980	0	0	0	0	76	30	45.5	72	63	17.5	11	0	315	26.2	12
1981	0	0	11.5	23	23.5	40	59	42	65	24.5	2	0	290.5	24.2	12
1982	0	0	0	3.5	64	37	44	42	45.3	71	11.5	3	321.3	26.8	12
1983	0	34	39	0	43.5	19	87.5	83	37	27	11	0	381	31.8	12
1984	0	0	0										0	0	3
1985					51.3	40.4	28						119.7	39.9	3
1986											12.2	0	12.2	6.1	2
1987	0	0	7	0	57	65	46	47.3	35.6	1.6	0	0	259.5	21.6	12
1988	0	0	0	13					33	45.5	1.5	3.4	96.4	12.1	8
1989	1	1	0	14	35	48	40	44	36	30	18	0	267	22.2	12
1990	0	9	0	12	64	60	29	29	39	8	2	1	253	21.1	12
1991	6	2	0	23	52	45	12	47.5	22.1	34.4	4.5	23.5	272	22.7	12
1992	13	1.7	12.5	32.5	13.5	56.5	24.5	22	110.2	18	9	5.8	319.2	26.6	12
1993	8	2.5	0	0.4	73.4	40	60.9	61	27.8	11.3	31.5	0	316.8	26.4	12
1994	0.7	0	25.5	6	78	35.7	43	37	45	6	65	0.01	341.91	28.5	12
1995	0	0	0	40.8	69.6	36.6	23	87	32	20	0	5.2	314.2	26.2	12
1996	0.3	0	0	8.6	75	40	53	62.5	81	11.3	11	0	342.7	28.6	12
1998									82	47.7	37.5	0	167.2	41.8	4
1999	0	0											0	0	2
2000										8.5	0	2.5	11	3.7	3
2001	0	1	0	0	36		46.5	38.5	40.5				162.5	20.3	8
