COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7176 
 NOMBRE    : TUXTLA GUTIERREZ (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TUXTLA GUTIÉRREZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.76166667 ° 
 LONGITUD  : -93.10277778 ° 
 ALTITUD   : 532 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970							65.8	61	62.9	7.2	0	0	196.9	32.8	6
1971	0	0	0	0	72.2	63		57.5	39	37	14.2	0	282.9	25.7	11
1972	2	0	5.2	32	31.5	36.5	27.8	23	17.8	5.7	26.2	1.5	209.2	17.4	12
1973	0	0	0	1.5	24.3	74.5	47.2	78	48	32.2	27.2	0	332.9	27.7	12
1974	2.2	1	16.8	4.6	55.7	28.5	46.7	34.5	63.5	1.6	1.7	0	256.8	21.4	12
1975	0	0	0	0	12.5	54	29	33	82	27.5	12.9	0	250.9	20.9	12
1976	0	1.5	0	0	16	30.5	58	100.2	80.5	69	16	0	371.7	31	12
1977	0	0	0	0	38	31.5	30	53.5	37.5	6.5	18	6.5	221.5	18.5	12
1978	0	0	0	2.5	17	20	45.9	47.3	31.5	30.5	10	5.1	209.8	17.5	12
1979	0	0.1	0	18.9	27.5	6.9	20	50.5	79	13.4	0	14.6	230.9	19.2	12
1980	8.2	0	0	30.7	42.9	45.6	53.3	24	38.5	6.4	0	0	249.6	20.8	12
1981	0	0	0.3	12.3	54.3	46.9	59	29.8	50	25.8	0	0	278.4	23.2	12
1982	0	0	0	30.2	34.5	31.6	45.7	60	50	60	10	8	330	27.5	12
1983	0	20.7	27.3	0									48	12	4
1985							65	52.3	37.5	15	22.5	0	192.3	32	6
1986	0	0	0	0	121	58	51	36	67.5	40.1	4.5	3	381.1	31.8	12
1987	0	0	11.9	0	5	50	34.5	17.5	78	3	0	0	199.9	16.7	12
1988	0.5	0	0	0	37			30	42.5	11.5	0	0	121.5	12.2	10
1989	0	0	0	0	25	36.5			87.5	13.5	0	0	162.5	16.2	10
