COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7181 
 NOMBRE    : ARCO DE PIEDRA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VENUSTIANO CARRANZA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.18333333 ° 
 LONGITUD  : -92.63333333 ° 
 ALTITUD   : 680 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969						56.8	93.2	57.2	44.8	29.9	1.8	0.9	284.6	40.7	7
1970	0	0	0	8.4	10.5	58.6	73.7	53.7	73.3	33.4	3.9	22.3	337.8	28.1	12
1971	0.01	0	0	0.01	13.5	52.5	65.3	66	60.9	37.6	13.2	0.01	309.03	25.8	12
1972	0	0.7	0.2	28	27.8	39.6	71	35.5	38	20.5	37	0	298.3	24.9	12
1973	0	0	0	8.5	16.5	72	90	57	13.5	128	10.3	0.1	395.9	33	12
1974	0	0.3	27.6	9									36.9	9.2	4
MÍNIMA	0	0	0	0.01	10.5	39.6	65.3	35.5	13.5	20.5	1.8	0	36.9	9.2	4
MÁXIMA	0.01	0.7	27.6	28	27.8	72	93.2	66	73.3	128	37	22.3	395.9	40.7	12
MEDIA	0	0.2	5.6	10.8	17.1	55.9	78.6	53.9	46.1	49.9	13.2	4.7	277.1	27	9.8
DESV.ST	0	0.3	12.3	10.3	7.6	11.7	12.3	11.2	22.9	44.1	14.1	9.9	124.1	10.5	3.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969						265.9	340.7	384.2	271.5	83.21	3.61	0.95	1350.07	192.9	7
1970	0	0	0	8.5	42.6	247.8	379.3	245	357.2	87.9	4.02	23.8	1396.12	116.3	12
1971	0.01	0	0	0.01	47.91	232	299.81	348.15	327.5	133.44	41.76	0.02	1430.61	119.2	12
1972	0	0.7	0.2	79.7	94.8	175.7	350.8	205.5	111	58	68	0	1144.4	95.4	12
1973	0	0	0	24.5	69.5	450.1	309.6	457.8	71.4	282.6	14.92	0.1	1680.52	140	12
1974	0	0.3	46	11.5									57.8	14.4	4
MÍNIMA	0	0	0	0.01	42.6	175.7	299.81	205.5	71.4	58	3.61	0	57.8	14.4	4
MÁXIMA	0.01	0.7	46	79.7	94.8	450.1	379.3	457.8	357.2	282.6	68	23.8	1680.52	192.9	12
MEDIA	0	0.2	9.2	24.8	63.7	274.3	336	328.1	227.7	129	26.5	5	1176.6	113	9.8
DESV.ST	0	0.3	20.5	31.9	23.8	103.9	32.1	102.8	129.1	90.1	27.9	10.5	574.4	58.6	3.5

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969						160.7	124.2	123.06	115.4	120.7	105.7	113.53	863.29	123.3	7
1970	138.5	137.1	223.5	264.8	229.6	176.8	141.2	139.7	119.5	110.9	99.3	119.8	1900.7	158.4	12
1971	112.4	150.74	227.83	237.53	232.54	117.81	158.83	66.01	152.86	130.95	131	130.34	1848.84	154.1	12
1972	155.6	178.2	248.3	243	188.5	152.5	167	148.3	150.2	142.6	116.4	125.6	2016.2	168	12
1973	147.2	166.5	246.4	239.6	225.4	158.6	149.3	141.5	129	115.8	105.3	107.8	1932.4	161	12
1974	138.1	147.7	205.4	210.2									701.4	175.3	4
MÍNIMA	112.4	137.1	205.4	210.2	188.5	117.81	124.2	66.01	115.4	110.9	99.3	107.8	701.4	123.3	4
MÁXIMA	155.6	178.2	248.3	264.8	232.54	176.8	167	148.3	152.86	142.6	131	130.34	2016.2	175.3	12
MEDIA	138.4	156	230.3	239	219	153.3	148.1	123.7	133.4	124.2	111.5	119.4	1543.8	156.7	9.8
DESV.ST	16.2	16.3	17.7	19.5	20.5	21.8	16.5	33.6	17.3	12.7	12.5	9	594.5	18	3.5

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969						34.7	32.8	31.8	30.8	30.9	29.5	30.9		31.6	7
1970	31.2	31.6	35.1	36.8	35.1	33.1	31.1	32.2	30.3	30.7	28.9	31.6		32.3	12
1971	31.9	33.6	34.7	34.5	36.2	32.4	31.6	31.3	32	31.6	30.4	32.4		32.7	12
1972	33	33.2	35.7	36.2	34.8	31.9	32.1	31.6	32.7	32	32.3	31.9		33.1	12
1973	32	33.4	37.4	36.8	35.5	32.2	32	31.7	32	31.4	31.3	29.4		32.9	12
1974	32.7	32.4	34.8	35.8										33.9	4
MÍNIMA	31.2	31.6	34.7	34.5	34.8	31.9	31.1	31.3	30.3	30.7	28.9	29.4		31.6	4
MÁXIMA	33	33.6	37.4	36.8	36.2	34.7	32.8	32.2	32.7	32	32.3	32.4		33.9	12
MEDIA	32.2	32.8	35.5	36	35.4	32.9	31.9	31.7	31.6	31.3	30.5	31.2		32.8	9.8
DESV.ST	0.7	0.8	1.1	0.9	0.6	1.1	0.6	0.3	1	0.5	1.4	1.2		0.8	3.5

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
