COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7183 
 NOMBRE    : BENITO JUAREZ (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA CONCORDIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.04166667 ° 
 LONGITUD  : -92.8175 ° 
 ALTITUD   : 550 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	0	0.1	8.3	52.1	54	49.2	56.8	57.9	48.9	37.9	11.7	0	376.9	31.4	12
1973	0	0	0	4.9	33.5	71	43	63.5	40.5	60.5	22.5	0	339.4	28.3	12
1974	3.9	7.5	14.5	3.2	65	28.5	67	62	66	30	10	0	357.6	29.8	12
1975	0	0	4	10	35	32	72	31.8	52	87.3	3.5	0	327.6	27.3	12
1976	0	6.5	0.5	10.7	30.9	48	47.6	66.5	27	51.3	15	0	304	25.3	12
1977	0	0	0.5	0.2	69.7	43	46	36.6	54	26.7	17	14.7	308.4	25.7	12
1979	0	0	0	61	30	54	80.5	83	64	45	0	4	421.5	35.1	12
1986											24	8.5	32.5	16.2	2
1987	0	0	18	23	49	50	55	58	47	1.5	5	0	306.5	25.5	12
1988	1	0	0	28				91	43	37	5	0	205	22.8	9
1989	0	0	3	4	50	40			45	62	8	0	212	21.2	10
1990	0	15	5	28	16	71.5	85	27	60	32.5	9	8	357	29.8	12
1991	7	0	0	15	11	57	35	78	42	51	23	0.1	319.1	26.6	12
1992	0	6	8.5	17	23	106	40	38.5	94.5	45.5	8	5	392	32.7	12
