COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7184 
 NOMBRE    : VILLA DE CHIAPILLA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHIAPILLA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.56944444 ° 
 LONGITUD  : -92.72 ° 
 ALTITUD   : 555 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970	0	0	0	5	32	17	83.5	60	54	10.5	0	17	279	23.2	12
1971	9	0.01	0.01	0.01	14	18	43	49.5	63	31.5	21.5	0	249.53	20.8	12
1972	0	0	3	7	24	71	24	43	25	18	58	2	275	22.9	12
1973	1	0	0	22	10	49	58	101	73	84	2	1.5	401.5	33.5	12
1974	3	0	18	23	40	32	31	36	46	3	6		238	21.6	11
1975	8	0	2.5	0	33	20	43	24	74	7	5	0	216.5	18	12
1976	0	0	6	7	22	58	83	65	27	37	34	0	339	28.2	12
1977	0	3	15	0	9	17	19	71	67	21	0	7	229	19.1	12
1978	0	0	1	5	62	35	68	39	41	38	1	17	307	25.6	12
1979	0	0	1.5	14	37	59	45	40	87	34	0	3	320.5	26.7	12
1980	22	0	0	18	15	27	75	29	102	11.5	13.5	0	313	26.1	12
1981	0	0	0	18	19	56	28	71	87	29	0	0	308	25.7	12
1982	0	8	6	4	53	100.2	31	15	51	19	8	3	298.2	24.9	12
1983	0	32	40	4	30	50	75	31	77	2.5	15	0	356.5	29.7	12
1984	0	0	4.63	0	43	53	78	31	60	15	0	0	284.63	23.7	12
1985	0	0	0	21	27	74	53	88.5	52	7	19	0	341.5	28.5	12
1986	0	0	0	0	64	36	35	15	26	50	0	0	226	18.8	12
1987	0	0	20	42	42	60	37	10	90	5	3	0	309	25.8	12
1988	5	0	0	11	17			40	20	9.5	0	0	102.5	10.2	10
1989	0	0	0	0	19.5	25	40	40	56	30	5	0	215.5	18	12
1990	0	3	0	0.01	35	22	56.4	31	92	49	38	6	332.41	27.7	12
1991	0	0	0	0	0	3	0.01	18	31	0	10	0	62.01	5.2	12
1992			9.9	12.1	10.2	30.5	51.6	50	20.9	10	16.6	4.5	216.3	21.6	10
1993	5.7	0	0	9.9	12.2	60.7	20.3	110.4	50	42.4	0	0	311.6	26	12
1994	0	2.6	0	3.6	18.8	60.4	50.9	28.1	57.5	16.1	8.2	0	246.2	20.5	12
1995	0.01	5.1	1.5	24.6	22.1	59.5	95.1	76.2	26.6	48.5	9.5	4.7	373.41	31.1	12
1996	0	0	0	0		45	71	40	37	15.5	0.01	0.6	209.11	19	11
1998										45.5	65	1	111.5	37.2	3
1999	0	0.01	5										5.01	1.7	3
2000										52.3	6	0	58.3	19.4	3
2001	0	3.2	0	6.8	127	29.9	22.5	39.7	45.3	42			316.4	31.6	10
MÍNIMA	0	0	0	0	0	3	0.01	10	20	0	0	0	5.01	1.7	3
MÁXIMA	22	32	40	42	127	100.2	95.1	110.4	102	84	65	17	401.5	37.2	12
MEDIA	1.9	2	4.6	9.2	31	43.3	48.8	46.2	54.9	26.1	11.9	2.4	253.3	23	10.9
DESV.ST	4.7	6.2	8.8	10.4	25	22.1	23.8	25.7	23.8	19.8	17	4.6	97.3	7.5	2.7

LLUVIA TOTAL MENSUAL
