COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7185 
 NOMBRE    : ESCUINTLA (SMN) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : ESCUINTLA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.31666667 ° 
 LONGITUD  : -92.66666667 ° 
 ALTITUD   : 80 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1945							93	93	80.5	70	77.5	0	414	69	6
1946	0	0	0	10	100.5	160.5	80.4	80.5	160.5	60.5	45	0	697.9	58.2	12
1947	0	0	20.5	65.4	60.4	50.4	70.8	58.4	84.3	110.6	110.4	60.4	691.6	57.6	12
1948	5.4	0	6.4	38.4	100.4	100.5	155.4	55.4	84	170.5	68	0	784.4	65.4	12
1949	0	30.4	40.4	20.6	80.4	130.4	95.4	80.5	164.4	80.9	0	0	723.4	60.3	12
1950	10.5	4.5	86.4	40.6	85.4	100.4	105.4	80.4	80.6	80.4	24.5	0	699.1	58.3	12
1951	0	0	5.4	30	55.5		87	66	117	47			407.9	45.3	9
1954						106.3	52	71	143.5	83	3	0.01	458.81	65.5	7
1955	6.3	0											6.3	3.1	2
1956								86.5	197.4	68	46.8	2.5	401.2	80.2	5
1957	38	28.4	0	98					87.6	71	4.5	0	327.5	40.9	8
1958	0	0	0	32	54	142	130	56	62	115	25	0	616	51.3	12
1959	0	0	38	30	85	195	80		89	122.8	40	0	679.8	61.8	11
1960	0	0	0	16.3	79.6	37.2	55.5	77.2	74.5	118.3	19.4	0	478	39.8	12
1961	0	0	2	58.5	105.7	119	47.3	72	71.8	92.7	142.2	3.2	714.4	59.5	12
1962	0	0	0	30.4	110.8	98.7	82.2	68	97.5	58.3	17.2	0	563.1	46.9	12
1963	0	0	11.4	22.3	54.3	73.7	90	122.5	137.8	65.8	76	0	653.8	54.5	12
1964	0	0	33.2			97.8	106.9	87.7	77.4	78.3	56.8	30.1	568.2	56.8	10
1965	37.6	13	53.3	18.2	63.6	112.4	62.4	81.7	111.5	140.1	30	1	724.8	60.4	12
1966	0	93.6	0	20.3	50.2	120	65.3	81	78	74	17.1	17	616.5	51.4	12
1967	0	0	37.7	58	70	81	50	62.9	71	77	20	1.5	529.1	44.1	12
1968	3	0	0	86.5	88.2	96	107.3	97		102.4	11.5	4	595.9	54.2	11
1969	0	0	10	17.5	60	151	136.5				28	16	419	46.6	9
1970	0	0	0	3.5	63.5	85	80	99	80	117.5	81.5	0	610	50.8	12
1971	4	9.6	23.6	40.5	49.5	106.5	49.5	122	51	70	25	11.5	562.7	46.9	12
1972	54	4.5	29	30.5	88	104	75	89	92	96		0	662	60.2	11
1973	16.5	0	4	84	82	116	73	129	84	124	60	7	779.5	65	12
1974	32	12	31	52	109	77	40	107	140	24	23	2	649	54.1	12
1975	0	0	13	17	71	67	118	80	65	55	200	2	688	57.3	12
1976	0	5	13	18	26	92	55	53	84	76	60	0	482	40.2	12
1977	0	0	0	30	150	66		70	62	30	10	10	428	38.9	11
1978	0		29	31	146	60	131	112		54	13	10	586	58.6	10
1979	0	0	0	80	120	40	40	60	120	80			540	54	10
MÍNIMA	0	0	0	3.5	26	37.2	40	53	51	24	0	0	6.3	3.1	2
MÁXIMA	54	93.6	86.4	98	150	195	155.4	129	197.4	170.5	200	60.4	784.4	80.2	12
MEDIA	6.9	6.9	16.8	38.6	81.8	99.5	83.3	82.7	98.2	84.3	46	5.9	568.4	53.2	10.5
DESV.ST	14.2	18.5	20.7	25.1	29.4	36	30.8	20.9	35.5	31.9	44.7	12.4	157.2	12.9	2.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1945							369.5	499	691.5	455	86.01	0	2101.01	350.2	6
1946	0	0	0	72	445.5	416.7	420	606.5	945.35	436.1	56.9	0	3399.05	283.3	12
1947	0	0	31.1	154.5	288	707	573.7	565.7	740.3	798.9	218	60.4	4137.6	344.8	12
1948	5.4	0	19.2	164.9	634	832.1	788.4	484.7	341.5	389.3	307.6	0	3967.1	330.6	12
1949	0	54.4	163	20.6	398.3	707.4	677.4	466.6	1100.6	677.2	0	0	4265.5	355.5	12
1950	20.9	4.5	237.8	166.7	541.9	731.7	598.1	783.1	739.5	378.7	24.5	0	4227.4	352.3	12
1951	0	0	5.4	30	229.3		499.6	486.5	866.5	363			2480.3	275.6	9
1954						715.81	463.52	480.23	646.32	556.83	3.01	0.01	2865.73	409.4	7
1955	6.3	0											6.3	3.1	2
1956								618.53	758.93	494.92	84.15	2.51	1959.04	391.8	5
1957	42.22	60.83	0	244.51					583.1	360	5.5	0	1296.16	162	8
1958	0	0	0	71	234.7	839	572	614.5	687	682	173	0	3873.2	322.8	12
1959	0	0	38	59	481	1048	662		741.3	589.7	74.8	0	3693.8	335.8	11
1960	0	0	0	42.9	256.4	300.1	473.8	445.7	559.3	520	56.7	0	2654.9	221.2	12
1961	0	0	3.2	92.4	325.8	571.8	531.3	454.5	505.5	396.3	338.6	3.2	3222.6	268.6	12
1962	0	0	0	33.1	372	865.3	461.6	656.7	713.2	370.5	26.1	0	3498.5	291.5	12
1963	0	0	21.4	71.7	243.2	446.7	703.6	454.8	942.3	312.4	330.7	0	3526.8	293.9	12
1964	0	0	33.2			599	701.6	524.8	396.5	301.3	98.3	60.2	2714.9	271.5	10
1965	93.6	15	74.6	48.6	326.5	669.7	428.3	378.1	747.7	504.8	70.4	1	3358.3	279.9	12
1966	0	93.6	0	54.4	276	815.5	503.8	445.8	506	476	30.7	17	3218.8	268.2	12
1967	0	0	119.8	191.5	270.4	572.8	455.7	377.4	689	403	54.9	1.5	3136	261.3	12
1968	3	0	0	141.1	430.1	702.2	574	644		483.4	19.9	4	3001.7	272.9	11
1969	0	0	22	45	229.5	852.5	782				80.5	16	2027.5	225.3	9
1970	0	0	0	3.5	178.5	624.5	502.5	810	772	868	148.5	0	3907.5	325.6	12
1971	4	11.44	47.51	74.68	118.24	518.5	421	836.5	248.91	537	145	54.76	3017.54	251.5	12
1972	58	4.5	95.5	64	455	494	441	694	573	429		0	3308	300.7	11
1973	40.33	0	4	214	291	882	433	613	647	921	180	7	4232.33	352.7	12
1974	63.5	18	48	52	590.5	384.6	319	592	672	57	66	2	2864.6	238.7	12
1975	0	0	20	17	278	574	682	908	578	336	400	4	3797	316.4	12
1976	0	5	14	42	134	623	216	291	631	254	120	0	2330	194.2	12
1977	0	0	0	35	288	360		647	426	227	15	21	2019	183.5	11
1978	0		29	45	284	472	684	674		137	21	18	2364	236.4	10
1979	0	0	0	204	431	315	228	549	801	353			2881	288.1	10
MÍNIMA	0	0	0	3.5	118.24	300.1	216	291	248.91	57	0	0	6.3	3.1	2
MÁXIMA	93.6	93.6	237.8	244.51	634	1048	788.4	908	1100.6	921	400	60.4	4265.5	409.4	12
MEDIA	11.2	9.2	35.4	87.7	334.5	630	523	572.5	663.8	453.8	111.6	9.1	3010.7	280.6	10.5
DESV.ST	23.7	22.1	55.6	67.8	131.3	191	148.4	145.3	183.8	192.7	110.7	17.8	929	76.1	2.4

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1959										112.6	106.7	112.3	331.6	110.5	3
1960	145.5	162.2	188.1	171.9	168.1	128.9	116.6	117	122.5	102.6	108.5	130.6	1662.5	138.5	12
1961	137.9	157	196	154	145.6	117.7	114.6	130.6	118	122.4	95.6	117.8	1607.2	133.9	12
1962	159.7	156.9	189.2	171.6	131	91.1	127	123.8	120.3	108	110.1	117.9	1606.6	133.9	12
1963	145.5	158.7	179.3	143	122.8	108.7	133.9	140.2	101.1	121.6	106.8	117.1	1578.7	131.6	12
1964	128.3	151.7	176.9			130	119.2	123.9	91.1	102.8	89.8	78.6	1192.3	119.2	10
1965	106.5	133	151	133.7	132	128.9	126.7	111.6	121.1	118.7	112.2	106.6	1482	123.5	12
1966	142.5	140.5	173.9	145.9	147.7	132	140.4	122.4	144.6	138.3	124.4	115.2	1667.8	139	12
1967	145	164.2	106.7	145.4	141.6	108.7	123.1	110.6	108	121.7	110.4	119.2	1504.6	125.4	12
1968	135.8	156	192	158.8	134	123.3	130.4	139.6		115.1	127.6	125.5	1538.1	139.8	11
1970											90.57	100.72	191.29	95.6	2
1971		87.57	130.32	127.01	160.24				117.88		15	23.63	661.65	94.5	7
1972	61.4	2	126.66		168.92		116.29		97.58				572.85	95.5	6
1973	71.19												71.19	71.2	1
MÍNIMA	61.4	2	106.7	127.01	122.8	91.1	114.6	110.6	91.1	102.6	15	23.63	71.19	71.2	1
MÁXIMA	159.7	164.2	196	171.9	168.92	132	140.4	140.2	144.6	138.3	127.6	130.6	1667.8	139.8	12
MEDIA	125.4	133.6	164.6	150.1	145.2	118.8	124.8	124.4	114.2	116.4	99.8	105.4	1119.2	118	8.9
DESV.ST	32.1	48.8	30.8	15.5	16.1	13.7	8.5	10.8	15.4	10.7	29.1	29	609.6	21.3	4.2

