COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7186 
 NOMBRE    : FINCA EL ESCALON 
 ESTADO    : CHIAPAS 
 MUNICIPIO : AMATÁN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.35 ° 
 LONGITUD  : -92.83333333 ° 
 ALTITUD   : 680 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1944					40	80	55						175	58.3	3
1945										76.1	36	47	159.1	53	3
1946	43	35.5	30		57	0	40	35	20	12	28	20.5	321	29.2	11
1947	31	80	49	76	75	70	65	53	95	51		205	850	77.3	11
1949			92	16	41.5	29	39	67.5	90.5	73.5	33	40	522	52.2	10
1950	63	78	30	74	97	53	68		84.5		77.5	126.8	751.8	75.2	10
1951	67		108	61.8	39		69.8	89.5	57	64.8	311	56	923.9	92.4	10
1952			64		94	69	74.5	102	102.5	214.5	30	226.5	977	108.6	9
1953	121	57.3	34	39		78.5	71.5		61	181.5	128.5	273	1045.3	104.5	10
1954	53.5	149	273.5										476	158.7	3
1955	66	137.7	132.5							287.5	35.8	69.5	729	121.5	6
1956	31	39.5		14.5	127.8	72	44.5						329.3	54.9	6
1960	130	43	103	54	42	71.5	147.5	78					669	83.6	8
1961		49	96	45	71	60.5	102	86	25	210	19	55	818.5	74.4	11
1962	65.5	53	37	37	70	80	49	62	79.5	140.5	73.5	73	820	68.3	12
1963	79	20.9	72	57	35	38.5	69	84	73	57	89	65.5	739.9	61.7	12
1964	40												40	40	1
1968									82.5	156.5			239	119.5	2
1970					37	130	72.5	202					441.5	110.4	4
1971						76							76	76	1
1973					121.5	27.5	77.5	279.5			322	57	885	147.5	6
1974	11	125	19	321	56.5	63	73	53.5	253.5	107	181.5	81	1345	112.1	12
1975		63				46	36	33	184.5				362.5	72.5	5
1976	196												196	196	1
1978						76							76	76	1
1983	37.5							43	92	151		151	474.5	94.9	5
1984	51			15									66	33	2
1985					39.5	54.5	128	80.5	24	94.5	123	57	601	75.1	8
1986	89	19	0.01	0.01	211	69.5	27	47.5	71	70.5	112.5	117	834.02	69.5	12
1987	46	55	52.5	17	21	96.5	56	72	217.5	44			677.5	67.8	10
2012									80	72	18	215	385	96.2	4
2013	90.5	47.5	58	45.5	77.5	90	36	80.5	87.5	51	83	182	929	77.4	12
2014	248	11	111	139	120	42	83.5	60	129.3	199	158.3	36.5	1337.6	111.5	12
2015	134.5	62	37.5	132.8	30	49	59	77	139	102.5	116	190	1129.3	94.1	12
2016	83.3	117.5	75	37.5	80	61	63	67.2	120.5	50	69	48.3	872.3	72.7	12
2017	303	14.5	85	307.5	103.5	65.5	51.8	48.2	95.2	188.5	55.8	37.8	1356.3	113	12
2018	152	46.5	165.5	38.7	40	74.5	61	46.5	56.5	72.8	236.7	250	1240.7	103.4	12
2019	63.5	61	40.6	36.5	36.5	140	74.3	50.8	138.3				641.5	71.3	9
2020	90.7	140	107.3	35.5	111.2	93	60	66	140	138.4	280	102	1364.1	113.7	12
2021	146	102	80	63.5	74.7	87	27.5	72.5	180	174	29.2	114	1150.4	95.9	12
2022	126	122	100	383.7	68.7	100	70	47.1	80	270.5	108	120	1596	133	12
2023	132.3	240	100	78.3	78.3	111.01	113	40	200	116.7	300	212	1721.61	143.5	12
MÍNIMA	11	11	0.01	0.01	21	0	27	33	20	12	18	20.5	40	29.2	1
MÁXIMA	303	240	273.5	383.7	211	140	147.5	279.5	253.5	287.5	322	273	1721.61	196	12
MEDIA	96.2	75.7	79.7	85	72.3	70.4	66.6	75.8	105.5	122.4	117.5	115.3	722.5	90.2	8
DESV.ST	66.5	52.8	54.3	101.2	40.4	28.6	27.2	50.9	57.5	71.8	96.8	75	441.6	34.3	4.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1944					164.5	533.4	193.01						890.91	297	3
1945										441.71	83.92	166.1	691.73	230.6	3
1946	220.3	187.1	96.91		163	0	253.6	206.9	148.11	68.1	142.7	54	1540.72	140.1	11
1947	123	327.5	166	118.5	376.5	367	437.6	533	655	435.6		548	4087.7	371.6	11
1949			182	72.5	138	184.3	92	392.9	730.2	361.4	118.8	178.2	2450.3	245	10
1950	262	155.5	102.82	172.32	181.51	459	416.73		500.11		221.5	256.92	2728.41	272.8	10
1951	243		264.8	142.81	137		585.51	484.21	616.42	327.93	713.9	263.4	3778.98	377.9	10
1952			90.5		354.1	610.1	498.21	511.82	636.65	1128.31	110.23	618.41	4558.33	506.5	9
1953	196.32	144.53	82.51	72.31		521.11	353.43		532.23	451.52	489.75	526.61	3370.32	337	10
1954	172.92	428.91	452										1053.83	351.3	3
1955	183.6	425.01	266.31							1376.42	149.63	263.65	2664.62	444.1	6
1956	76.03	85.5		25.61	811.1	559.51	407.01						1964.76	327.5	6
1960	319.02	123.04	162	175.51	126.52	621.5	476.06	240.61					2244.26	280.5	8
1961		136.5	355	176.01	142.52	362.53	628	353.02	298.61	1143.52	48.03	184.02	3827.76	348	11
1962	285.5	58.5	100.01	218	135.01	400.54	391.51	261.52	815.01	680.51	239.51	165.55	3751.17	312.6	12
1963	239.53	113.43	236.81	82.02	107.52	236.05	470.03	578.22	518	365.03	436.01	350.02	3732.67	311.1	12
1964	200.93												200.93	200.9	1
1968									738.54	783.01			1521.55	760.8	2
1970					152	916.5	566.5	651					2286	571.5	4
1971						540.53							540.53	540.5	1
1973					222.5	122	332	1030			432	136.5	2275	379.2	6
1974	39	566.5	71.5	568	220.5	424	334	283.5	824	668	486.5	156.5	4642	386.8	12
1975		170.5				339.5	188.5	221.5	863.5				1783.5	356.7	5
1976	764.54												764.54	764.5	1
1978						540.5							540.5	540.5	1
1983	352.12							394.5	304	473		485.5	2009.12	401.8	5
1984	271.04			20.5									291.54	145.8	2
1985					198.05	394.52	614.51	280.59	43.01	183.03	284.53	170	2168.24	271	8
1986	561.02	40.54	0.02	0.03	740	385.53	161.05	337.01	357.02	313.54	393.02	324.54	3613.32	301.1	12
1987	97.54	103	95.51	52.01	35.01	700.03	485.51	340.52	943.05	304.04			3156.22	315.6	10
2012									564	316.7	49.5	605.4	1535.6	383.9	4
2013	324.2	162	195	119.15	278.2	461.8	310.4	613	518.6	478.4	611.9	638.6	4711.25	392.6	12
2014	619.9	55.9	221	483.1	536.5	262.9	232.3	423	830.1	806.2	459.2	71.4	5001.5	416.8	12
2015	453.24	177	115.1	211.8	98.4	277.9	164.9	299.2	714.1	472.6	425.7	583.1	3993.04	332.8	12
2016	255.2	286.5	130.05	73.2	201.5	518	331.8	430.8	430.1	259	342.2	145.3	3403.65	283.6	12
2017	553.8	36.7	149.1	361.64	258.6	446.4	305.7	203.5	586.6	619.8	175	111.3	3808.14	317.3	12
2018	533.7	84.3	306.1	168.9	105.4	219.4	231.1	345.4	391	427.3	587.66	385.2	3785.46	315.5	12
2019	273.5	211.4	158.1	93.9	117.2	660.8	179.7	156.8	558.5				2409.9	267.8	9
2020	208.43	439.4	144.02	103.41	427.81	467.3	199.96	428.06	737.09	980.84	1865.23	259.22	6260.77	521.7	12
2021	414.74	196.51	218.63	166.23	281.42	501.82	110.49	251.74	763.53	702.4	192.35	212.83	4012.69	334.4	12
2022	578.63	431.01	172.96	621.2	200.72	495.53	331.64	475.92	753.11	671.44	388.23	361.65	5482.04	456.8	12
2023	512.1	554.51	186.11	152.42	115.32	307.51	506.01	329.45	598.05	642.43	835.95	444.44	5184.3	432	12
MÍNIMA	39	36.7	0.02	0.03	35.01	0	92	156.8	43.01	68.1	48.03	54	200.93	140.1	1
MÁXIMA	764.54	566.5	452	621.2	811.1	916.5	628	1030	943.05	1376.42	1865.23	638.6	6260.77	764.5	12
MEDIA	321.9	219.3	174.8	178	242.3	432.4	348	394.9	585.1	567.2	395.5	309.5	2826.6	370.1	8
DESV.ST	181.5	160.3	95.9	163	183.8	181.5	152.7	179.6	216.2	307.8	365.7	180.9	1552.9	132	4.1

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2012									76.65	88.71	94.21	89.47	349.04	87.3	4
2013	78.26	80.31	116.34	108.72	109.64	90.41	110.02	77.82	65.6	65.71	45.84	56.12	1004.79	83.7	12
2014	56.31	76.35	126.48	119.8	75.6	71.26	105.73	119.7	100.05				851.28	94.6	9
2021												9.18	9.18	9.2	1
2022	20.32												20.32	20.3	1
MÍNIMA	20.32	76.35	116.34	108.72	75.6	71.26	105.73	77.82	65.6	65.71	45.84	9.18	9.18	9.2	1
MÁXIMA	78.26	80.31	126.48	119.8	109.64	90.41	110.02	119.7	100.05	88.71	94.21	89.47	1004.79	94.6	12
MEDIA	51.6	78.3	121.4	114.3	92.6	80.8	107.9	98.8	80.8	77.2	70	51.6	446.9	59	5.4
DESV.ST	29.3	2.8	7.2	7.8	24.1	13.5	3	29.6	17.6	16.3	34.2	40.3	463.1	40.8	4.9

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1946												26.3		26.3	1
1947												26		26	1
1960	23.3	23.6	26.5	28.4	30.5	27.7	28.2	27.3						26.9	8
1961		23.9	27.9	28.8	31.5	28	26.9	24.9	25.9	23.2	26.2	26.3		26.7	11
1962	25.3	29.1	31.3	30.3	31.6	31.5	28.4	29.7	21.6	24.8	26.3	27.5		28.1	12
1963	25.7	21.8	28.4	31.5	30.8	30.9	29.5	21.7	20.7	23.7	24	23.3		26	12
1964	23.8													23.8	1
1968									29.3	28.4				28.9	2
1971						29.9								29.9	1
1973					30.2	31.4	30.4	28.3			27.5	23.9		28.6	6
1974	26.7	25.4	28.9	29.3	31.2	28.8	29.5	30	28.2	25.1	26.6	25.8		28	12
1975		27.1				31.4	30.6	30.6	27.7					29.5	5
1976	22.3													22.3	1
1978						29.8								29.8	1
1983	29.9							30	29.1	27.4		25.2		28.3	5
1984	22			31.7										26.9	2
1985					30.3	29.7	29.6	29.9	29	27.7	26.9	21.8		28.1	8
1986	20.9	26.7	27.5	32.2	30.6	29.9	30.4	29.2	29.2	27.5	26.8	25		28	12
1987	23.2	22.9	27.2	24.7	30.5	31	30.2	30	30	25.1				27.5	10
2012									29	27.8	26.4	25.7		27.2	4
2013	24	26.2	26.4	30.8	30.3	30.1	30.3	30	29.1	28.2	25.3	23.9		27.9	12
2014	21.8	26	28.1	29.4	28.4	29.8	30.7	30.5	28.1	26.8	24	24.1		27.3	12
2015	22.2	23.5	25.4	30.6	31	30.2	30.7	31	29	27.8	27.3	25.5		27.9	12
2016	23	22.6	27.2	29.6	31.5	30.3	31	29.5	28.9	27.7	25.5	26.1		27.7	12
2017	25.1	27	28.7	31.8	33.6	31.6	32.9	31.9	30.5	29.8	30.5	29.2		30.2	12
2018	26.7	30.3	33	32.7	34.3	34.1	34.9	32.7	32.8	32.9	29.7	26.7		31.7	12
