COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7188 
 NOMBRE    : IXTAPA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : IXTAPA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.80277778 ° 
 LONGITUD  : -92.90416667 ° 
 ALTITUD   : 1120 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1942										12	13		25	12.5	2
1943											5.3	14	19.3	9.7	2
1946	0	0	0	20	66								86	17.2	5
1947									25.5	0	40	11	76.5	19.1	4
1948	0.01	0.01	0.5	3	211	62	45	9	18	0.1	0.1	0.1	348.82	29.1	12
1949	0	0	0	0	0.2	10.1	0.3	0.3	0.1	0.1	0.01	0.01	11.12	0.9	12
1950	3.5	0.4	4	10	40	40	40	40	40	40	5	5	267.9	22.3	12
1951	5	26	30	50	20	80	58	40	48	23	30	0.01	410.01	34.2	12
1952	5	0.01	0.01	180	38	55	50	60	60	40	8	2	498.02	41.5	12
1953	0	0.01	0.01	0.01	40	50	60	40	50	50	20	5	315.03	26.3	12
1954	0.01	0.01	20	30	20	50	28	70	50	40	0.01	4	312.03	26	12
1955	4	5	3	2	60		85.3	30.5	40.5	80	5.3	50	365.6	33.2	11
1956	8.5	2	15.3	45.3	40.3	60	45.3	40.8	50.3	40.5	20	8.3	376.6	31.4	12
1957	8.3	40.5	30	40.3						5.3	5	3	132.4	18.9	7
1958	8	5.3	1.5	20.3	15	22.3	40.5	30.3	25.3	40.3	20.5	5	234.3	19.5	12
1959	6.3	2.3	10	18.3	18.5	70.3	35.3	45.3	40.3	40.4	32	2.3	321.3	26.8	12
1960	2.3	1	0.01	6.3	40.3	50.3	50	20	40.3	60.3	30.5	5.3	306.61	25.6	12
1961					31	51	55	30	31	16	28	1	243	30.4	8
1962	1	0.01	1	36	14	31.5	22	36	57	32	2	0.01	232.52	19.4	12
1963	3.5	10.5	18	7	27	38	56.5	72.5	37.5	1	27.5	1	300	25	12
1964	1	0.01	1.5	21	47	63.5	47.8	45.1	45	20	14.5	1	307.41	25.6	12
1965	5	17	14	10	23	53	24.5	28	38.5		2.5	4.5	220	20	11
1966	0.01	0.01	0	9.5	30	43	42	49	29	21.5	0.01	1	225.03	18.8	12
1967	3.5	0.01	10	10.5	12	67	41.5	29	32	23.5	2	20	251.01	20.9	12
1968	8	4	0.01	34	45	31	40	40	40	20	2	1	265.01	22.1	12
1969	0	0	2	11.5	26	16.5	45	30	44	23	6.5	0	204.5	17	12
1970	8.5	0	0	1	30	44	31	55	68	17	1	1	256.5	21.4	12
1971	0.01	0.01	1.5	0.01	22	42	38	177	42	25	25	28	400.53	33.4	12
