COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7189 
 NOMBRE    : LA CONCORDIA (SMN) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA CONCORDIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.08333333 ° 
 LONGITUD  : -92.63333333 ° 
 ALTITUD   : 540 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0.01	0.01	40	23.2	26.5	31.9	60.4	59.2	40.8	20.8	18.3	0.01	321.13	26.8	12
1962	0.01	0.01	4.8	0	28.2	55.8	55.6	130.8	75.3	50.9	0	0	401.42	33.5	12
1963	0	0	0	13.2	60.2	55.6	103.7	42.7	55.7	19.6	45.4	0	396.1	33	12
1964	0	0	0	37.2	38.6	45.3	55.2	50.2	55.6	58.4	11		351.5	32	11
1965	0.01	0	0.01	35.6	19.3	65.3	37.5	105.6	100.2		0	0	363.52	33	11
1966	7	0.01	0.01	22.4	35.4	22.4	42.4	66.5	75.4	19.4	0.01	0.01	290.94	24.2	12
1967	0	0.01	0.3	0	39.5	15.3	38.2	45.8	28.6	22.7	0.01	45.8	236.22	19.7	12
1969	0	0	0	0	0	96	35.2	23	37.3	39.2	18.2	0	248.9	20.7	12
1970	0	0		6	108	72	68.4	45	62.3	35.3	40.2	0	437.2	39.7	11
1972	0	0	0	0	0	0							0	0	6
1973					0	0	0	0	0				0	0	5
MÍNIMA	0	0	0	0	0	0	0	0	0	19.4	0	0	0	0	5
MÁXIMA	7	0.01	40	37.2	108	96	103.7	130.8	100.2	58.4	45.4	45.8	437.2	39.7	12
MEDIA	0.7	0	5	13.8	32.3	41.8	49.7	56.9	53.1	33.3	14.8	5.7	277	23.9	10.5
DESV.ST	2.2	0	13.2	14.9	31.6	30.8	26.8	37.8	28.1	15.3	17.7	16.2	150.5	13.2	2.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0.31	0.28	40.3	31.78	116.32	135.11	276.46	323.66	305.55	111.63	62.43	0.31	1404.14	117	12
1962	0.31	0.28	4.8	0	132.8	450.7	173.3	671.2	470.7	150.21	0	0	2054.3	171.2	12
1963	0	0	0	18.2	217.6	158.3	329.3	128.3	378.6	98.5	64.4	0	1393.2	116.1	12
1964	0	0	0	81.8	71.4	319.27	223.4	186.83	210.8	95.6	11		1200.1	109.1	11
1965	0.01	0	0.01	54.38	28.09	509.28	234.2	277.01	229.8		0	0	1332.78	121.2	11
1966	7	0.01	0.01	52.9	80.21	148.6	199.5	213.8	313.38	75.95	0.01	0.01	1091.38	90.9	12
1967	0	0.01	0.31	0	54.7	81.52	126.5	222.5	113.1	119.26	0.01	45.81	763.72	63.6	12
1969	0	0	0	0	0	315.9	352.9	23	469.8	227.1	18.2	0	1406.9	117.2	12
1970	0	0		6	234.8	365.5	372.2	314.2	550.6	165.2	88	0	2096.5	190.6	11
1972	0	0	0	0	0	0							0	0	6
1973					0	0	0	0	0				0	0	5
MÍNIMA	0	0	0	0	0	0	0	0	0	75.95	0	0	0	0	5
MÁXIMA	7	0.28	40.3	81.8	234.8	509.28	372.2	671.2	550.6	227.1	88	45.81	2096.5	190.6	12
MEDIA	0.8	0.1	5	24.5	85.1	225.8	228.8	236.1	304.2	130.4	27.1	5.8	1158.5	99.7	10.5
DESV.ST	2.2	0.1	13.3	29.5	83.3	175.7	113.1	188.7	171.5	48.7	34.7	16.2	688.2	60.1	2.5
