COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7190 
 NOMBRE    : LA TRINITARIA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA TRINITARIA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.11777778 ° 
 LONGITUD  : -92.05166667 ° 
 ALTITUD   : 1540 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1970	4	3.5	0	3	32	32	34	28	48	49	4	13	250.5	20.9	12
1971	4	0.01	6.5	6	18	26	43	42	17	22	16	5	205.51	17.1	12
1972	6.5	20	15.5	2	37	48	26	41.5	38	28.5	20	2.5	285.5	23.8	12
1973	4.5	0.5	2	5	13.5	57	27.5	70	14	31	18	15.5	258.5	21.5	12
1974	4	12	8	5	28.5	40	23	40	55	13	1.5	3.5	233.5	19.5	12
1975	1	0.5	7.5	0.5	55	13	73	25.5	44	39	26.5	2	287.5	24	12
1976	4	1.5	6	20	20	40	25	16	25.5	37	18.5	4	217.5	18.1	12
1977	0.5	7	0	37	47	50	14	36.5	30	9	3.5	10	244.5	20.4	12
1978	2	5	0	3	46.5	45	29	83	31.5	28	4	7	284	23.7	12
1979	0	2	0	35	18.5	56	37	26	39	24	0	5	242.5	20.2	12
1980	20	22	8.5	8.5	20	17.5	35	23	40.5	69	7	2.5	273.5	22.8	12
1981	4	2	13	22	43.5	89	12	34	25	40	1	1.5	287	23.9	12
1982	2	3.5	27	25	38	49	12	10	49	45	12	6	278.5	23.2	12
