COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7191 
 NOMBRE    : MALPASO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPACHULA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 14.91972222 ° 
 LONGITUD  : -92.25694444 ° 
 ALTITUD   : 200 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	39	1	10.4	103	48.2	234	44.4	74.5	105.4	85	176.7	31.5	953.1	79.4	12
1962	0.4	0.2	17.5	90	88.5	105.4	95.5	79	149.2	81	27.5	2	736.2	61.4	12
1963	1	26	58.2	29.5	68.5	62.1	63.2	90	217	91.1	48.2	0	754.8	62.9	12
1964	0	0	31.6	41.5	59.5	106.7	169	77	122.5	116	50.5	51.1	825.4	68.8	12
1965	23.8	31.6	44	45.8	77.5	122.5	47.5	66.5	160	102.3			721.5	72.2	10
1966	0.01	0.3	3	51	92.2	100	100	70.8	83.7	83.2	19.6	32	635.81	53	12
1967	0	2	54.9	38.5	53	77	65.5	68.5	102.5	108.4	97	13.5	680.8	56.7	12
1968	29.3	1.5	0.1	40	107.3	81	104.1	80	89.8	128.2	49.8	23.3	734.4	61.2	12
1969	0.2		53.6	64.2	78	141.6	93.9	112	221	77.4	42	12.5	896.4	81.5	11
1970	9	0.5	0	8.1	103.8	100.8	70.5	97	124	113	22.7	21.2	670.6	55.9	12
1971	79.3	8.7	30.9	24.8	93.6	36.7	60	88.3	104.1	90.7	50.3	15.5	682.9	56.9	12
1972	17.8	9.6	53.9	99.2	94.9	80.4	46	141.6	108.8	52.5	103.4	0	808.1	67.3	12
1973	13.5	26	8.8	78.5	92.4	93.5	52.1	110	100.6				575.4	63.9	9
1974	39	14.2	62.8	32.8	121.8	93	56.9	78.5	207.5	79.5	49	0	835	69.6	12
1975	9.7	10.7	105.5	41.6	70.5	53.5	94.7	105	100.5	99	74	13.6	778.3	64.9	12
1976	19.5	0	7.5	39.5	94	92.5	94.3	50	63	67.5	76.9	5.7	610.4	50.9	12
1977	1.5	4.5	2.5	48.9	100	85	54	59	88.5	70.8	16.5	86.5	617.7	51.5	12
1978	8	12	22.6	122.8	95.5	105	73.9	116.7	141.3	62.7	74	3.5	838	69.8	12
1979	6.5	0	42	106	48.5	91.2	95.5	73.4	97.7	134.2	31	18.3	744.3	62	12
1980	6.1	13.8	24.3	62.7	76.8	89.6	78	78.5	70	76.4	43.8	8.7	628.7	52.4	12
1981	1	2.5	13.7	97.8	36.5	112	80	82	107.5	73	66	36	708	59	12
1982	0.7	41.5	6	43.4	135.6	67.5	83.8	42.4	126.8	70.4	65	8.7	691.8	57.6	12
1983	0	27.5	34.4	0	61	91.7	96.4	49	105	50.5	21	10	546.5	45.5	12
