COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7192 
 NOMBRE    : OCOSINGO (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OCOSINGO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.9 ° 
 LONGITUD  : -92.1 ° 
 ALTITUD   : 978 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964					28	42.8	95	30	56	44	13	30	338.8	42.4	8
1965	18	8	5	22	22	35	27	26.5	31		25	8	227.5	20.7	11
1966	17	8	23	22	35	43.5	30	31.5	73	48			331	33.1	10
1967	6	11	26	49	15	20	17	44	88	100	10	78	464	38.7	12
1968	36	4.5	60	26	49	45	55	39.5	42	33	17	19	426	35.5	12
1969	13	18	20	16	26	23	30	66	63	47	32.5	3	357.5	29.8	12
1970	20	10	0	16	28	24	20	30	41	68	11.5	14	282.5	23.5	12
1971	5	7.5	17	38	50	58	21	30	49	29	78	7	389.5	32.5	12
1972	40	20	30.5	7	43	61	46	26.5	40	18.5	19	28	379.5	31.6	12
1973	8	9	2	53	15	27	25	70	18	27	34	10	298	24.8	12
1974	34	26.5	37.5	23.5	17	21	31	6.5	68	29	10	21	325	27.1	12
1975	11	18	5	12.5	18	57.5	25	21.5	45	69	37.5	10.5	330.5	27.5	12
1976	9.5	28.3	3	14	23.5	31	20.5	37	86	22	20	5	299.8	25	12
1977	1	6	9	12	19.4	60.6	30.8	33	46.9	46.7	15.6	20.3	301.3	25.1	12
1978	8.1	15.6	9	29.6	58	36.3	34	25	54	19.4	28	43.5	360.5	30	12
1979	9.3	22.4	35.2	17.4	60.4	95.6	48	34	63.4	41	17.5	18.6	462.8	38.6	12
1980	9.1	9	38	24	57.2	34.3	20	42.1	55.5	60.6	26.5	9	385.3	32.1	12
1981	11.4	23	45.8	12.6	52	54.4	38	44.5	40.2	36	7.5	30	395.4	33	12
1982	2	20	22	31.6	42.4	30.3	22	13.4	42	36.5	35	5.5	302.7	25.2	12
1983	8	23.5	24.5	33	24	35	21	26	31.9	25	33.5		285.4	25.9	11
1984	15.5	8	12	13	63.4	54.5	57.6	33	58.5	47	30.8	33.5	426.8	35.6	12
1985	38.5	18.4	17.8	29.5	18	30	32.8	38	25.4	24.4	18.2	12.8	303.8	25.3	12
1986	14.8	18.6	21	9.5	20	36.8	30.8	30.4	38	20.4	27	18	285.3	23.8	12
1987	0	0		9.5	20	36.8	24.2	30.4	38	20.4	27	18	224.3	20.4	11
1988					0	25.8	18	31.6	24.2	22	16.5	8.4	146.5	18.3	8
1989	9.8	15.4											25.2	12.6	2
MÍNIMA	0	0	0	7	0	20	17	6.5	18	18.5	7.5	3	25.2	12.6	2
MÁXIMA	40	28.3	60	53	63.4	95.6	95	70	88	100	78	78	464	42.4	12
MEDIA	14.4	14.5	21.1	22.6	32.2	40.8	32.8	33.6	48.7	38.9	24.6	19.6	321.3	28.4	11.1
DESV.ST	11.6	7.6	15.5	12.3	17.5	17.2	17.1	13.4	18	19.9	14.4	16.4	95.1	6.9	2.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964					137.45	259.75	361.08	142.1	297.59	125.65	62.6	107.66	1493.88	186.7	8
1965	73.17	28.19	11.15	34.06	58.52	226.54	102.1	146.87	146.08		101.15	48.57	976.4	88.8	11
1966	37.55	31.51	49.06	101.5	127.53	181.03	138.03	123.35	388.55	257.58			1435.69	143.6	10
1967	26.04	33.54	57.06	112.01	32.01	173.04	100.5	139.51	301.53	356.59	68.04	88.07	1487.94	124	12
1968	111.52	19.55	68.07	42.05	122.52	256.02	165.01	175	122.55	144.05	31.57	55.51	1313.42	109.5	12
1969	32.5	59	44	58	58	121.5	176	478	395.5	182.5	72	26	1703	141.9	12
1970	48	46	0	17	116	135.5	137	123	257.5	233	42	32	1187	98.9	12
1971	30	33.5	68	96.5	341	380	151	155	246	109	182	64.5	1856.5	154.7	12
1972	105.5	71.5	73.5	23.5	103.5	258.5	233	155.5	132.4	146.7	90	71.9	1465.5	122.1	12
1973	89.7	77.9	3	78.3	109.7	129.3	114.8	289	86.8	184.5	77.5	38	1278.5	106.5	12
1974	77.5	94	51	102	82.5	131	136.1	47.6	297.6	188.5	53.5	68.5	1329.8	110.8	12
1975	110.7	71.5	11.5	22.5	60	169.5	115.5	111	145.9	314.3	85.2	65.6	1283.2	106.9	12
1976	55.1	58.5	7.2	29.5	89.5	181	118.5	134.5	210.5	137.5	99.3	26.6	1147.7	95.6	12
1977	1	12.8	9	43.3	83.4	176.5	108.1	103.1	219.2	151.1	52.6	73.8	1033.9	86.2	12
1978	24.4	21.1	16	43.6	142.2	259.3	163.8	118.2	302.7	141.7	92.3	59	1384.3	115.4	12
1979	37	43.3	53.6	91.5	271.3	309.9	296.8	218.9	281.7	139.9	71.6	102	1917.5	159.8	12
1980	26.3	19.4	80.6	77.3	262.4	172.1	115.8	228.8	327.4	217.3	68.4	49.6	1645.4	137.1	12
1981	14.8	69	112.2	45.2	123.5	236.4	214.8	331.8	316.4	178.6	19.5	60.8	1723	143.6	12
1982	4.2	49.6	40.4	73	161.5	159	99.2	65.5	254.6	149.8	59.7	18.9	1135.4	94.6	12
1983	22.6	40.6	41.8	51.2	44	294.8	178	146.6	77.9	90.1	74.6		1062.2	96.6	11
1984	50.5	23.5	47.2	17	297.4	223.6	223.1	250.1	342.3	164	102	52.1	1792.8	149.4	12
1985	38.5	38.2	51.3	29.5	18	278.5	64.8	186.9	134.9	97.8	62.3	48.9	1049.6	87.5	12
1986	25.3	41	39.6	16	81.4	286.4	166.7	107.4	228.3	114	112.5	43.8	1262.4	105.2	12
1987	0	0		16	65.4	286.4	139	107.4	217.7	114	112.5	43.8	1102.2	100.2	11
1988					0	183.63	32.69	115.56	104.92	81.59	26.55	8.45	553.39	69.2	8
1989	27.86	27.84											55.7	27.9	2
MÍNIMA	0	0	0	16	0	121.5	32.69	47.6	77.9	81.59	19.5	8.45	55.7	27.9	2
MÁXIMA	111.52	94	112.2	112.01	341	380	361.08	478	395.5	356.59	182	107.66	1917.5	186.7	12
MEDIA	44.6	42.1	42.5	53.1	119.5	218.8	154.1	168	233.5	167.5	75.8	54.5	1295.2	114	11.1
DESV.ST	33.5	23	28.9	31.8	87.6	67	70.6	92.2	93.5	68	34.2	24.7	401.3	32.7	2.2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964					152.68	112.3	107	117.25	103.58	82.5	69.5	71.6	816.41	102.1	8
1965	73.1	85.2	115.77	153.1	148	112.9	118.88	116.1	120.2		76.9	67.9	1188.05	108	11
1966	61.6	70.4	91	113.1	126.4	102.1	124.69	117.7	121.17	98.01			1026.17	102.6	10
1967	60.5	73.6	114.7	120.4	139.6	114.1	128.3	130.9	120.75	103.9	92.6	95.58	1294.93	107.9	12
1968	77.8	83.9	111.1	116.9	132.1	104.01	120.9	112.3	105.4	95.43	72.49	78.7	1211.03	100.9	12
1969	88.9	91.6	98.9	130.4	126	136.1	152.97	153.2	141.99	130.7	115.2	88.7	1454.66	121.2	12
1970	81.9	94	112.7	146.72	104	94.1	136.9	115.7	101.6	112.36	72.4	69.2	1241.58	103.5	12
1971	92	102.4	160.2	168.6	161.4	173.9	156.5	127.3	98.9	106.1	86.7	79.7	1513.7	126.1	12
1972	91.7	100.7	141.7	159.6	142	133.49	125.28	119.85	120.2	109.6	88.3	81	1413.42	117.8	12
