COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7194 
 NOMBRE    : RAYON (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : RAYÓN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.2 ° 
 LONGITUD  : -93 ° 
 ALTITUD   : 1340 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	88	88	35	49	16	55	77	33	63.1	24.1	91.4	180	799.6	66.6	12
1973	58.5	60	39	47.5	200	60	32.5	220	22	105	80.5	35.5	960.5	80	12
1974	18	74	8.5	29	26	11	20	47	57	50	83	27.5	451	37.6	12
1975	35	25	39	49	41	26	14.6	12	33	12	13	20	319.6	26.6	12
1976	18	13	9	29.5	21.5	69.5	60	41	50	180	90	81.5	663	55.2	12
1977	49	35.5	58.5	35	20	102	37	58.5	27	128	100	136	786.5	65.5	12
1978	80	34	83.5	24	38	30	41.5	24	49	126	45	140	715	59.6	12
1979	79.5	53	15	30	50	50	46	52	140	102	120	110	847.5	70.6	12
1980	36.5	40	66	30	53	68	68.5	40	70	90	57	38	657	54.8	12
1981	30	80	50	36	120	42	42	45	50	180	83		758	68.9	11
MÍNIMA	18	13	8.5	24	16	11	14.6	12	22	12	13	20	319.6	26.6	11
MÁXIMA	88	88	83.5	49	200	102	77	220	140	180	120	180	960.5	80	12
MEDIA	49.2	50.2	40.4	35.9	58.5	51.4	43.9	57.2	56.1	99.7	76.3	85.4	695.8	58.5	11.9
DESV.ST	26.1	24.9	25	9.3	58.1	26	19.9	58.8	33.3	58.1	30.5	58.6	188.7	16	0.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	173	144.5	38	83	54	274	233	187.2	285.3	111.7	338.9	313	2235.6	186.3	12
1973	193.6	191.9	72	152.8	304	423.1	188.4	910.9	209.5	687.5	144	81.5	3559.2	296.6	12
1974	38	298.5	16.5	85	90	104	110	159	306.5	296	299.7	95.1	1898.3	158.2	12
1975	137	92	81	101	139.8	88	106.6	68	142	79	47.6	100	1182	98.5	12
1976	84	61	20	55	77	407	266	199	206.5	514.5	548.5	360	2798.5	233.2	12
1977	143.5	190	138.5	111.5	56	308	153	327	211	252	241.5	340.5	2472.5	206	12
1978	295	172	245	68.5	182	194	258.5	180.5	342.5	376	176.5	313	2803.5	233.6	12
1979	292	123.5	69	107	198.5	342	247.5	315.5	736	319	420.5	303	3473.5	289.5	12
1980	107	164.5	112.5	169	126.5	469	320	128	287	378.5	266.5	223	2751.5	229.3	12
1981	133	431	200	74.5	265	358.8	216	255	182	448.5	305.5		2869.3	260.8	11
MÍNIMA	38	61	16.5	55	54	88	106.6	68	142	79	47.6	81.5	1182	98.5	11
MÁXIMA	295	431	245	169	304	469	320	910.9	736	687.5	548.5	360	3559.2	296.6	12
MEDIA	159.6	186.9	99.2	100.7	149.3	296.8	209.9	273	290.8	346.3	278.9	236.6	2604.4	219.2	11.9
DESV.ST	83	107.2	76	36.4	86.9	131.5	69.9	237.9	168.4	181.3	141.9	114.6	708	60.3	0.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	80.5	94.5	139.2	150.7	127.5	108.4	114.8	91.9	88.8	78.5	64.8	61.5	1201.1	100.1	12
1973	63.9	58.1	146.8	118.1	103.3	90.6	88.6	86	136.7	201.7	117.9	116.2	1327.9	110.7	12
1974	61.3	77.3	70.5	114	113.7	95.6	96.7	99	89.2	90.5	67.2	86.6	1061.6	88.5	12
1975	101.5	96.5	133.5	112.6	123.4	120.9	111.5	85.5	92.2	74.8	71.7	53.6	1177.7	98.1	12
1976	69.3	82.9	99.3	114.3	110.5	92.3	99.3	91.4	71.6	60.7	52.6	44.3	988.5	82.4	12
1977	54.3	53.6	127.6	92.5	103.3	91.8	101.3	108.3	100.2	67.7	59.5	51.2	1011.3	84.3	12
